class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75
C,0.459692389,0.266849697,-0.439062059,0.486315817,0.220632255,-0.41109401,0.502562523,0.221942186,-0.411148459,0.51642859,0.224229813,-0.411354929,0.442639261,0.222982064,-0.398339599,0.430412859,0.225020826,-0.398340702,0.420228183,0.227360591,-0.39890039,0.544896543,0.254434943,-0.210055143,0.415513575,0.251414955,-0.139194325,0.49311012,0.318821311,-0.363674164,0.438828647,0.318122029,-0.345914155,0.646040678,0.520298004,-0.133614331,0.330924928,0.452319205,-0.014360426,0.683386743,0.819988847,-0.19859165,0.084098667,0.579390943,-0.440276057,0.644298673,1.004469156,-0.357548326,0.226073787,0.312426567,-0.966392338,0.639295399,1.082069993,-0.40582633,0.266067386,0.249225199,-1.05943799,0.609780908,1.049296618,-0.397664607,0.293246269,0.243206441,-0.9747926,0.606737375,0.988261759,-0.358236849,0.294970393,0.272697389,-0.945877254,0.566168189,0.995685041,-0.023370247,0.368177265,1.004033446,0.025937829,0.585019708,1.413915038,-0.151309609,0.354286969,1.413108826,0.167730853,0.548586547,1.778279424,0.156127378,0.34382835,1.767903447,0.451908171,0.545491159,1.833279729,0.168313622,0.335580379,1.821444035,0.472012818,0.520558298,1.92051816,-0.175872967,0.372356772,1.915201426,0.137358829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228157371,0.332244694,2.43E-07,0.260526836,0.333228528,-0.006341669,0.290004253,0.317906827,-0.010737672,0.310861617,0.306786865,-0.016195506,0.32729122,0.296567559,-0.021683205,0.290099502,0.257320911,-0.006982188,0.310959131,0.226061329,-0.018285831,0.328997195,0.213793039,-0.027570391,0.344671041,0.207694262,-0.033728614,0.27626276,0.246641487,-0.011803549,0.296707571,0.203970879,-0.02358037,0.318928838,0.200690165,-0.031929262,0.337513775,0.209007621,-0.036851943,0.260441482,0.245320812,-0.017878633,0.28077209,0.214490741,-0.032411784,0.302520365,0.219278231,-0.040114686,0.318769425,0.232275516,-0.043638278,0.244450808,0.253305554,-0.024430094,0.266272128,0.249264777,-0.037976712,0.283125728,0.261566609,-0.042957418,0.295144558,0.277534485,-0.044874873
C,0.468380868,0.269248664,-0.448379129,0.495593369,0.223967209,-0.418173015,0.510484099,0.224946365,-0.41828388,0.522970796,0.226696908,-0.418559372,0.447979987,0.224498808,-0.40835914,0.434892714,0.225940645,-0.408475876,0.424568564,0.228020534,-0.409003735,0.548524678,0.25321418,-0.222508699,0.417419851,0.251663685,-0.166233316,0.497861803,0.320571601,-0.375911981,0.444237143,0.319787145,-0.36261344,0.65062058,0.516702712,-0.162337989,0.325179756,0.458482802,-0.031807974,0.68879509,0.828726947,-0.201911539,0.076985508,0.579110861,-0.39836818,0.646612644,1.019726515,-0.322256148,0.218278602,0.329521298,-0.814246476,0.639391482,1.100104094,-0.363577843,0.261246145,0.26332283,-0.887130916,0.606681883,1.072207212,-0.354365855,0.287625372,0.255828142,-0.79900831,0.599810719,1.044282675,-0.319555491,0.289502978,0.285509884,-0.789652169,0.568270504,1.014404178,-0.012709794,0.366585702,0.990625978,0.014812874,0.599829376,1.367544413,-0.334158123,0.364304036,1.383850336,0.125032365,0.555614889,1.708443761,0.102937683,0.351351619,1.718313932,0.483351141,0.551725209,1.758082867,0.132986918,0.342666894,1.771644115,0.511336267,0.521619737,1.863156796,-0.17062895,0.379223168,1.866538167,0.2125808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219700366,0.340710223,1.07E-07,0.256299615,0.340973884,-0.004801037,0.291053981,0.335033,-0.010946279,0.316156477,0.331803679,-0.019054733,0.334359646,0.323566318,-0.026907612,0.288862646,0.265899569,-0.003036857,0.308069289,0.225310564,-0.016171858,0.324821293,0.22645092,-0.027090253,0.335775614,0.237176359,-0.033130843,0.277458698,0.254947603,-0.008175548,0.297846228,0.208119497,-0.021968069,0.317682564,0.214149296,-0.032220561,0.327271461,0.232581064,-0.037520651,0.263338804,0.248949677,-0.014741285,0.283574641,0.203616992,-0.026422668,0.303986251,0.210283011,-0.032416657,0.315458715,0.227722272,-0.034531403,0.2478434,0.248677641,-0.021999966,0.266731948,0.221511289,-0.031370223,0.285915226,0.221478045,-0.035100739,0.299898595,0.230284885,-0.036105093
C,0.470714569,0.264157236,-0.450583994,0.499227941,0.222498953,-0.41449219,0.513888121,0.224084914,-0.414410204,0.525893807,0.226164401,-0.414504141,0.451165617,0.221344814,-0.404008955,0.437544197,0.222510278,-0.403823137,0.426920176,0.224267304,-0.404280573,0.550057054,0.253080904,-0.193815365,0.418262869,0.249765933,-0.130029649,0.50063771,0.31732446,-0.372252971,0.445218027,0.313028991,-0.357025534,0.648754895,0.526309371,-0.131111369,0.32999897,0.460545421,-0.010990083,0.682540834,0.847905457,-0.181102723,0.07716468,0.570024729,-0.439620554,0.646963358,1.046724677,-0.262902051,0.22937341,0.314150989,-0.938841045,0.64188534,1.126406312,-0.30417788,0.272174805,0.253837824,-1.037875056,0.607232571,1.097467422,-0.290041685,0.294940054,0.256816089,-0.940112233,0.600145698,1.072650433,-0.261615574,0.295961738,0.282889247,-0.917026997,0.574300528,1.005690098,-0.042604864,0.36610347,1.000716329,0.04535,0.56667906,1.475871801,-0.022148913,0.360535026,1.45985198,0.178103253,0.540973604,1.849464417,0.354548395,0.34363997,1.831146955,0.486773908,0.542703509,1.905309677,0.369477212,0.336673647,1.886108994,0.509435534,0.50389272,1.988653898,-0.003624433,0.36596781,1.979349852,0.13508606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223085672,0.341878653,1.28E-07,0.256669164,0.34386003,-0.0066106,0.290279835,0.337819666,-0.012778446,0.315107822,0.335473895,-0.02023001,0.332645357,0.328241348,-0.027569085,0.287286431,0.265828848,-0.005203712,0.306107461,0.228558689,-0.01749821,0.322435677,0.226411447,-0.027647145,0.334497333,0.233523503,-0.03342583,0.275996208,0.256194502,-0.009114522,0.295240462,0.211979881,-0.022025365,0.314823449,0.214786291,-0.031815447,0.325983107,0.231079191,-0.037023108,0.262069464,0.252530068,-0.014459694,0.28077814,0.209345892,-0.0259952,0.300705343,0.212188393,-0.032595929,0.313342333,0.226510435,-0.035276309,0.246964931,0.254569322,-0.020523449,0.265130013,0.226982683,-0.030170862,0.283414155,0.224150509,-0.03440775,0.297700047,0.230409414,-0.035869732
C,0.465481192,0.269503057,-0.457130015,0.493783385,0.22553362,-0.42094931,0.509837508,0.225785911,-0.42091459,0.522495091,0.226824105,-0.421056926,0.445591986,0.227549493,-0.406031907,0.433060825,0.228748381,-0.405792087,0.42316851,0.229840755,-0.406229556,0.546967089,0.252380967,-0.197577745,0.41783914,0.25368607,-0.113109306,0.497744471,0.320007801,-0.378068686,0.443135351,0.318010032,-0.356907457,0.653267384,0.536294103,-0.152952164,0.330857962,0.466400266,0.022543939,0.676548839,0.858458936,-0.210064262,0.079524696,0.572551966,-0.415016592,0.655390382,1.057432175,-0.26521787,0.232020289,0.30888927,-0.905530095,0.653300762,1.137109995,-0.305264682,0.276694179,0.246804103,-1.004065871,0.617569447,1.109848738,-0.291230142,0.298834503,0.251466036,-0.898036361,0.609434128,1.08642149,-0.263391137,0.298962981,0.277822077,-0.882134914,0.567153156,1.075200677,-0.065256752,0.350211293,1.05761838,0.068047307,0.552912176,1.503512979,-0.018251373,0.352179199,1.478483915,0.194047809,0.526692092,1.872768879,0.397592068,0.33285141,1.845522046,0.510920227,0.531303644,1.929109097,0.415982157,0.325765103,1.901084185,0.535239697,0.480565786,2.009828568,0.037443008,0.348703474,1.995069742,0.152964577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222192109,0.34129864,9.99E-08,0.257644415,0.343559682,-0.004720712,0.292365223,0.337923706,-0.010031262,0.317020148,0.336079895,-0.017302159,0.334766388,0.33130309,-0.024423815,0.29045257,0.263998747,-0.000624967,0.30946058,0.230169952,-0.011499021,0.325077891,0.228541508,-0.021248868,0.336377352,0.235873699,-0.027124124,0.27933678,0.253482521,-0.005497674,0.297708303,0.210604817,-0.017463578,0.316779524,0.21390146,-0.027101513,0.328005224,0.230714649,-0.032390203,0.265717834,0.248837918,-0.011880623,0.284058213,0.20518443,-0.023100726,0.30413124,0.209537357,-0.029873699,0.317142367,0.225798085,-0.032747716,0.25132829,0.250319183,-0.018894205,0.26987654,0.223460197,-0.028215641,0.287797093,0.222706631,-0.032280378,0.3013677,0.231606022,-0.033729464
C,0.469694614,0.269802094,-0.492754877,0.498698533,0.227621794,-0.454963595,0.514105678,0.228102863,-0.454874098,0.526563644,0.229274884,-0.45501858,0.449072063,0.227862298,-0.442204863,0.435937464,0.228795707,-0.442067683,0.425965846,0.229986906,-0.442483813,0.55153966,0.255018771,-0.22839269,0.418198407,0.254045069,-0.155037597,0.501151621,0.322830677,-0.412579626,0.444897085,0.31843096,-0.393994063,0.654091299,0.536536336,-0.159783542,0.327539414,0.466189444,-0.029490363,0.680987775,0.855313361,-0.20312497,0.076836288,0.573585391,-0.453923136,0.657608509,1.052538157,-0.275674909,0.233228892,0.310585618,-0.94185555,0.654043436,1.132040501,-0.319531202,0.276847839,0.248622656,-1.042750955,0.617894292,1.101850271,-0.304276824,0.299154639,0.251759112,-0.94595778,0.600871503,1.010166764,-0.27426073,0.298988163,0.279146135,-0.920536816,0.563628793,1.079693913,-0.04752215,0.343533993,1.060684323,0.050183438,0.547361374,1.515379667,0.058438845,0.340606838,1.489616752,0.147467673,0.517190754,1.890013456,0.543482065,0.32011193,1.862944126,0.469394863,0.520140052,1.947286606,0.569357634,0.312169641,1.91961813,0.49453336,0.476525068,2.031708241,0.202933386,0.343023032,2.017576218,0.100235619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224827319,0.340163738,1.06E-07,0.258148581,0.342776418,-0.005583949,0.292636424,0.336289078,-0.011229,0.317165226,0.334495693,-0.018427689,0.335004359,0.328112036,-0.025447698,0.292810947,0.264450908,-0.002404185,0.312450498,0.232266918,-0.013210818,0.328766316,0.228549495,-0.022567535,0.339976251,0.232742667,-0.028080035,0.281803578,0.253571689,-0.006774098,0.300479025,0.211305127,-0.018405017,0.319410205,0.213666916,-0.027447941,0.329145521,0.229352564,-0.032257125,0.267926842,0.248899296,-0.012605112,0.286422789,0.205712289,-0.023771761,0.305835068,0.209373236,-0.030092614,0.316993177,0.224733412,-0.032544922,0.252892226,0.249987945,-0.019070322,0.271577388,0.222839028,-0.028848987,0.289713055,0.222248867,-0.032994073,0.302669436,0.231059775,-0.034311336
C,0.472236097,0.273816764,-0.459866583,0.499240577,0.22851862,-0.429517329,0.514489472,0.229021892,-0.429523766,0.526976883,0.230419934,-0.429705143,0.452284902,0.229955971,-0.418968916,0.439320803,0.231160939,-0.418868601,0.428979069,0.232559144,-0.419362366,0.551672935,0.256818235,-0.224684089,0.42094332,0.2570436,-0.160339072,0.503560364,0.325647831,-0.385642499,0.44988513,0.324063301,-0.369847149,0.652003706,0.52966851,-0.171601743,0.332054675,0.466078758,-0.018768338,0.691137373,0.848479986,-0.238247111,0.079229802,0.578064382,-0.42307362,0.653687656,1.034865737,-0.354819298,0.22042565,0.331006408,-0.925492465,0.647290289,1.112067938,-0.400557578,0.263845026,0.261158109,-1.014689207,0.614588082,1.079270005,-0.385820657,0.288397014,0.257262588,-0.925028443,0.607421458,1.0556041,-0.352582902,0.288817465,0.2860412,-0.905128777,0.570976615,1.005003095,-0.046056546,0.355177194,1.039565563,0.048735157,0.568372905,1.458785534,-0.013469974,0.358795851,1.436126232,0.214457124,0.544312,1.81919837,0.356615633,0.343702167,1.789418936,0.531108141,0.547897398,1.873684764,0.372175038,0.33497864,1.844009519,0.555852473,0.506048739,1.955511689,0.029129649,0.364679694,1.933990836,0.21447435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218748555,0.340356976,8.87E-08,0.256662667,0.341238886,-0.00510658,0.291538209,0.335288584,-0.011809437,0.316527069,0.33244437,-0.020251434,0.333823532,0.324123681,-0.028562292,0.289781183,0.264026791,-0.004982576,0.307842374,0.225696266,-0.018111875,0.3247132,0.225442007,-0.029177086,0.336618066,0.233315319,-0.035790596,0.277986765,0.254715472,-0.010354112,0.297279239,0.209455609,-0.024637492,0.316788554,0.214725479,-0.03504638,0.327017605,0.231860548,-0.040516142,0.263436258,0.251098514,-0.01696698,0.282268047,0.207654312,-0.028517872,0.301691592,0.211462125,-0.034156222,0.313709855,0.225036561,-0.03631812,0.247676253,0.254011482,-0.024333114,0.264461577,0.227501571,-0.033290699,0.282383621,0.223019093,-0.036861837,0.296850026,0.226329744,-0.038076472
C,0.463894665,0.275670648,-0.554414153,0.489074796,0.229199946,-0.505057812,0.503352284,0.229004622,-0.504974902,0.515094399,0.229903877,-0.504783273,0.443280995,0.232169867,-0.493340909,0.429650843,0.233310834,-0.493268341,0.419096649,0.234643221,-0.49375087,0.53813982,0.256781638,-0.237075135,0.408815563,0.257685244,-0.172393337,0.493234783,0.326132953,-0.461007893,0.438683361,0.324575126,-0.44526729,0.648961663,0.515155017,-0.18500708,0.318770289,0.478790343,-0.017350297,0.733983159,0.861221492,-0.334286243,0.060345501,0.578433275,-0.415796369,0.560349762,0.929165721,-0.492198646,0.226246089,0.312066078,-0.859555125,0.512590349,0.98581332,-0.555895209,0.273944318,0.246835366,-0.960501313,0.472673833,0.950712025,-0.497904867,0.296401769,0.248384133,-0.863895774,0.485301912,0.931242228,-0.471044153,0.296298027,0.277463615,-0.838695526,0.59094882,1.0940727,-0.043245956,0.361675143,1.096125484,0.046283334,0.588104904,1.535872817,0.089191698,0.376827717,1.535806417,0.142654732,0.568553567,1.917275786,0.642094076,0.371426582,1.914014816,0.502406061,0.571783125,1.978221893,0.675222635,0.366830468,1.972112894,0.529815316,0.5446257,2.061831236,0.284133911,0.396576285,2.068515778,0.106590524,0.579365373,0.924236298,-2.18E-07,0.531621218,0.909464538,0.004418727,0.481674969,0.928224087,0.002544263,0.447596908,0.947726429,-0.001979601,0.42502442,0.965648055,-0.006772032,0.456921905,0.968016386,-0.001771705,0.415700734,1.019598365,-0.012880501,0.414620757,1.034675717,-0.021596616,0.419376135,1.039410233,-0.026630573,0.472907573,0.992982149,-0.009757269,0.433633387,1.044731617,-0.019263433,0.437301725,1.052731276,-0.026420301,0.447770178,1.053018689,-0.031393215,0.493377,1.015111923,-0.017538764,0.456896514,1.065158844,-0.024781382,0.460888475,1.069751859,-0.023847258,0.473276585,1.068275571,-0.023053575,0.515567303,1.033546209,-0.024683308,0.485929072,1.076118231,-0.027547548,0.486799896,1.079963088,-0.022391416,0.495479405,1.078988552,-0.018364284,0.21904324,0.336099863,7.04E-08,0.258179337,0.337150991,-0.000889518,0.291563928,0.329472274,-0.004155862,0.315579206,0.325178295,-0.010173914,0.33354944,0.316029429,-0.015581002,0.288243383,0.25239411,0.004060019,0.3036654,0.21056582,-0.008368064,0.321259469,0.213238239,-0.019129356,0.334590256,0.227184504,-0.025209101,0.277685761,0.245016277,-0.003103775,0.296158522,0.198203236,-0.016025489,0.316859603,0.203773499,-0.02569533,0.329771817,0.222991496,-0.030819187,0.266221732,0.243395507,-0.011982639,0.287449092,0.201594234,-0.024193758,0.310634524,0.206431761,-0.030508345,0.326177955,0.224037379,-0.032531768,0.255253077,0.249473765,-0.021337634,0.278882027,0.223383874,-0.030865684,0.300281852,0.219382644,-0.034848895,0.317260623,0.225294292,-0.036006104
C,0.458176196,0.256289423,-0.564850509,0.482110202,0.210709229,-0.516371071,0.497329652,0.210794508,-0.516297162,0.510657668,0.21185869,-0.516094625,0.433755577,0.215205058,-0.504630864,0.4184677,0.217987359,-0.504536033,0.406326681,0.221061289,-0.504933298,0.536469877,0.243995845,-0.240636319,0.398316532,0.249737129,-0.181525722,0.494141817,0.309943676,-0.468330473,0.432297081,0.311056256,-0.453465283,0.663206398,0.525958538,-0.125769004,0.312609583,0.482323915,-0.053539317,0.709738076,0.864539564,-0.216420621,0.057125121,0.599572539,-0.44559446,0.602484226,1.039372325,-0.386109143,0.221037194,0.316564143,-0.940492451,0.58977586,1.119065523,-0.445979178,0.269256532,0.241280377,-1.054380178,0.557851017,1.081075668,-0.423510015,0.294165015,0.241740763,-0.960896969,0.558283031,1.061338902,-0.385044038,0.293654442,0.271393776,-0.921231389,0.599722683,1.130683661,-0.032406747,0.36692965,1.131837726,0.035395652,0.590346694,1.623855829,-0.077501245,0.37475881,1.623786569,-0.042360406,0.579399705,2.063452721,0.321043521,0.380111158,2.06106925,0.14051564,0.584719539,2.124335289,0.33637768,0.377848506,2.121380806,0.147880271,0.547555864,2.212265015,-0.090778142,0.407178879,2.21294117,-0.321545273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197692692,0.348591059,-1.64E-08,0.244691342,0.342737198,0.003132322,0.27816847,0.332566947,-0.000816091,0.302173793,0.326210707,-0.009001975,0.320498109,0.319570422,-0.017311107,0.274762481,0.259223402,0.00588569,0.295023263,0.216309696,-0.008299753,0.310922563,0.223747194,-0.02063165,0.320302457,0.24092564,-0.027887683,0.263176084,0.252224743,-0.004789664,0.284734935,0.201561421,-0.020008072,0.304436147,0.212386131,-0.030995959,0.315229386,0.234545156,-0.036898348,0.250233114,0.251545191,-0.01695353,0.272145808,0.204693899,-0.030590234,0.295086503,0.211681634,-0.036576364,0.310865641,0.229781419,-0.038552187,0.23806645,0.259011894,-0.029316425,0.259577274,0.231353492,-0.039470159,0.281633794,0.227481365,-0.04284443,0.300109297,0.232064813,-0.0438531
C,0.456369787,0.266076863,-0.531626999,0.480833709,0.222122058,-0.494387239,0.495738089,0.222538128,-0.494236052,0.507883132,0.2235744,-0.494200796,0.435306638,0.225174367,-0.483047098,0.422392517,0.227341473,-0.482974201,0.412197202,0.229371846,-0.483380705,0.530156136,0.24955678,-0.256097704,0.403406531,0.25224191,-0.191193894,0.489725977,0.318090498,-0.445955604,0.431557983,0.316460907,-0.429808378,0.651653945,0.513865232,-0.155652314,0.311092407,0.472007334,-0.045553748,0.709873915,0.833774447,-0.188935772,0.062320024,0.597917557,-0.415851593,0.62369895,1.014409542,-0.287882268,0.20619449,0.340335548,-0.891714394,0.605023444,1.103342533,-0.332391918,0.254937857,0.26260668,-0.990605474,0.56832689,1.066083789,-0.307250023,0.273795784,0.259695947,-0.893156826,0.571420968,1.008221865,-0.281784862,0.275559485,0.293214202,-0.869595647,0.590594053,1.018119812,-0.044591475,0.374677122,1.022858858,0.047102451,0.580999553,1.539961219,0.0405958,0.367682338,1.533930421,0.077500187,0.560490668,1.943455219,0.531047165,0.365996718,1.933113456,0.377821952,0.5636338,2.000535727,0.557665884,0.362878859,1.989667416,0.400883138,0.529853165,2.090642452,0.174301639,0.396226466,2.085818768,-0.023134407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204562053,0.347100139,4.72E-08,0.244584247,0.346006751,0.000716394,0.277447164,0.33556962,-0.001867924,0.300017536,0.329022527,-0.007547596,0.317013115,0.321742207,-0.012670133,0.270885289,0.260493726,0.00517201,0.285260201,0.217194915,-0.007831552,0.304093331,0.221738756,-0.018957108,0.316359639,0.237071618,-0.025012044,0.259675533,0.253311247,-0.002731794,0.276534319,0.204894662,-0.016553154,0.298953444,0.212477207,-0.026112415,0.310480773,0.232781976,-0.03074193,0.247912675,0.251135558,-0.012282802,0.268193752,0.207592905,-0.024538057,0.292553127,0.213978842,-0.030001635,0.307118148,0.231590688,-0.031274982,0.236497924,0.256732643,-0.022225892,0.257941604,0.229484096,-0.031584248,0.279042482,0.227666646,-0.034842733,0.29418841,0.234877691,-0.035384327
C,0.456305683,0.267505765,-0.452540249,0.480189711,0.224521771,-0.414558798,0.494877249,0.224722251,-0.41457206,0.506499946,0.225436389,-0.414621651,0.434168518,0.227403879,-0.406308115,0.420670599,0.229455605,-0.406218588,0.409784615,0.23177582,-0.406717479,0.528094947,0.251243234,-0.193680584,0.397437453,0.256896377,-0.146012187,0.488162577,0.31688875,-0.374954194,0.430544704,0.31719172,-0.364087969,0.651577473,0.519019842,-0.123596832,0.308179379,0.473374009,-0.01510744,0.714682221,0.839844704,-0.19067961,0.060202479,0.587335467,-0.374128014,0.629334927,1.012189269,-0.326479733,0.215136886,0.317629397,-0.79260987,0.622241855,1.107521057,-0.379183114,0.258969724,0.247562706,-0.881634355,0.576201916,1.055957437,-0.357032657,0.281633079,0.252808511,-0.787293613,0.576975346,1.004596114,-0.321649283,0.283825636,0.281228721,-0.769417644,0.593467474,1.008669496,-0.030120563,0.376145095,1.00339222,0.032656912,0.593258083,1.489172697,-0.049818948,0.385961831,1.482599258,0.058334459,0.576667607,1.881130457,0.291718364,0.375837654,1.876460791,0.263368547,0.580110252,1.933320522,0.30387637,0.369768351,1.934043169,0.27488488,0.544278026,2.029633999,-0.063273877,0.400587738,2.0206182,-0.10943538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20804581,0.344318539,1.09E-07,0.243647575,0.348185062,-0.001856648,0.275058925,0.338029146,-0.003641536,0.297894716,0.330879807,-0.007820508,0.315717012,0.323610574,-0.01136297,0.269917965,0.262837648,0.007455399,0.286619544,0.225279033,-0.00217468,0.303172559,0.225196123,-0.01123077,0.314373821,0.236816436,-0.016313186,0.259521842,0.253836811,0.002271116,0.275531173,0.211431339,-0.008064626,0.295560718,0.214213133,-0.016715784,0.308259487,0.231526136,-0.021299815,0.248805687,0.250150889,-0.004800873,0.266165018,0.209997535,-0.015099955,0.288278848,0.211406171,-0.021524971,0.303488612,0.227117866,-0.023804424,0.238146245,0.253500402,-0.012445274,0.257511854,0.228359804,-0.020717356,0.276236206,0.22556366,-0.024530111,0.290780813,0.234101504,-0.025591923
