class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75
F,0.464862645,0.259601295,-0.38327381,0.487371773,0.219438255,-0.354576051,0.501702428,0.220760763,-0.354599178,0.513297617,0.222458601,-0.354720592,0.444113642,0.221750498,-0.340022057,0.430663884,0.224526107,-0.339933246,0.419743359,0.227836266,-0.340459257,0.539518654,0.250568509,-0.158331335,0.41322273,0.250780642,-0.07568872,0.496922642,0.314320147,-0.312057853,0.434696287,0.311755598,-0.290818602,0.643953204,0.506938457,-0.077664234,0.329575628,0.476909757,0.043003064,0.700163543,0.805637896,-0.14285706,0.123297192,0.682186842,-0.284253895,0.643146634,1.000316978,-0.347050041,0.223777264,0.366844475,-0.796734154,0.63013792,1.090105295,-0.405571878,0.235761672,0.264071524,-0.90124625,0.595613837,1.035814404,-0.40581575,0.254179865,0.244257033,-0.830724359,0.589553654,0.99185127,-0.354075015,0.26599279,0.291291416,-0.784594953,0.563675582,0.992390454,-0.031162381,0.359062791,0.981514096,0.033917319,0.568432212,1.465452433,-0.22057423,0.337714314,1.454957247,0.109775268,0.543039143,1.865696073,0.046758711,0.332490414,1.847207427,0.309399784,0.544393897,1.921985984,0.053228177,0.327091187,1.902662277,0.319409668,0.509676218,2.005083561,-0.317863286,0.358365029,1.994329333,-0.043138899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21260637,0.365064293,-5.92E-08,0.250010252,0.339287043,-0.011229736,0.279141814,0.306968778,-0.015832411,0.285443127,0.272098899,-0.022351816,0.272426665,0.243834659,-0.027758382,0.273607582,0.243225828,0.010097198,0.281639129,0.208408475,-0.003194877,0.278945863,0.216947973,-0.017945174,0.274422407,0.228244796,-0.026509659,0.254800767,0.229787201,0.007641138,0.265416771,0.179387003,0.00245855,0.268222958,0.154878616,-0.005832432,0.271278322,0.133217454,-0.012595769,0.23594965,0.227805421,0.000808223,0.244187534,0.180802256,-0.004782768,0.247527525,0.15571633,-0.009041104,0.251165658,0.133195877,-0.012273407,0.215734348,0.235333815,-0.008246434,0.220912829,0.199434787,-0.010291311,0.224053949,0.178611442,-0.008854461,0.227133602,0.158411443,-0.008373528
F,0.46872434,0.254847765,-0.427337348,0.490404695,0.212713897,-0.394559652,0.504693508,0.213330686,-0.394539475,0.516668856,0.215107679,-0.394582599,0.447756588,0.217144072,-0.375561953,0.434016377,0.220703661,-0.375392318,0.423208177,0.224403203,-0.375799239,0.544760346,0.247949898,-0.174352512,0.416534513,0.248687804,-0.069244049,0.502085447,0.307795107,-0.348161548,0.440242827,0.307086289,-0.320395768,0.651005387,0.505202413,-0.104443982,0.337643951,0.477219284,0.071071342,0.695066154,0.818936586,-0.185709298,0.127916545,0.67628324,-0.285700649,0.635491729,1.012889028,-0.383232057,0.232999057,0.355988324,-0.874008775,0.641817927,1.122665763,-0.440702975,0.239742398,0.255164623,-0.987673938,0.5826599,1.062505722,-0.434008509,0.260691762,0.242576838,-0.914612949,0.588289738,1.009625196,-0.38694942,0.273999542,0.287121236,-0.86373347,0.570641041,0.995306849,-0.066400141,0.364381909,0.986872673,0.069030017,0.571492553,1.492501974,-0.118094906,0.355495542,1.486894608,0.197586313,0.55102706,1.901765823,0.211122036,0.350403339,1.892542005,0.464418173,0.555803418,1.958683372,0.222750947,0.34654963,1.948996067,0.483162016,0.513094187,2.039201975,-0.173798323,0.368747056,2.039169788,0.080941446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21768114,0.369105279,-2.33E-08,0.252303064,0.344341397,-0.011678604,0.277448297,0.310452878,-0.016298829,0.286738127,0.274076432,-0.022655686,0.277254075,0.245570138,-0.027670814,0.271280706,0.251390278,0.00813893,0.280109167,0.216596603,-0.005700916,0.279282689,0.225525737,-0.019975403,0.275263399,0.236908525,-0.02801015,0.25339815,0.237566561,0.006165914,0.263064653,0.186961114,0.000333284,0.266429275,0.161382362,-0.007349545,0.269448549,0.137190133,-0.013429584,0.236021712,0.235428184,-0.000176819,0.243086711,0.188679203,-0.006556793,0.246422797,0.163729072,-0.010399392,0.249600291,0.140971243,-0.012852538,0.21734944,0.242595673,-0.008738928,0.22216022,0.205751091,-0.011368001,0.225715593,0.184462085,-0.009967575,0.229064047,0.165360212,-0.009157346
F,0.46728158,0.2668145,-0.416265577,0.488410085,0.22425729,-0.387846678,0.502422273,0.224618137,-0.387782365,0.51386714,0.225733042,-0.387810498,0.447057158,0.22819978,-0.370847106,0.43388921,0.231244624,-0.370680213,0.423298061,0.23467797,-0.371074885,0.539865017,0.253679931,-0.178256795,0.418059051,0.258054674,-0.086769298,0.499284565,0.319419444,-0.339917064,0.440890968,0.318335533,-0.315729558,0.650179505,0.508643985,-0.099363603,0.339067101,0.475374043,0.045566823,0.695662856,0.817490876,-0.190465599,0.133437276,0.666299582,-0.282597631,0.62672466,1.012953639,-0.399674386,0.226383373,0.365400136,-0.835002124,0.626528025,1.108449697,-0.464478105,0.23352237,0.269877166,-0.948301494,0.588207662,1.057920933,-0.462032378,0.255080163,0.252440631,-0.885661304,0.582038522,1.009355307,-0.406761944,0.267205566,0.296331882,-0.828718543,0.571162045,0.992333114,-0.044001747,0.368246257,0.988809586,0.046722464,0.564969003,1.48098433,-0.107776806,0.347657681,1.475223184,0.099352904,0.534313202,1.891671896,0.177451208,0.338173985,1.885369658,0.285020292,0.535623133,1.947327495,0.185679913,0.332933128,1.944180727,0.294217885,0.497352064,2.032526016,-0.19289887,0.359501272,2.028283358,-0.099341892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218933463,0.365167558,-1.92E-08,0.254494905,0.339975655,-0.012108891,0.282473117,0.307356626,-0.01689432,0.286802053,0.272200376,-0.023067024,0.272793174,0.245416433,-0.028149519,0.270650744,0.249707192,0.006618936,0.279605538,0.213175893,-0.007477381,0.278766841,0.224926502,-0.022133779,0.274860263,0.238310307,-0.030164767,0.252518475,0.237995744,0.004840354,0.261734307,0.188744187,-0.000783012,0.264807463,0.163364828,-0.009568962,0.268156648,0.140274778,-0.016619384,0.234618381,0.237621933,-0.001085082,0.241778299,0.191911578,-0.007456167,0.244965523,0.1658528,-0.012724064,0.248562127,0.14311415,-0.016357614,0.215086043,0.245939046,-0.009056388,0.220799357,0.2081673,-0.012198255,0.225079492,0.186837003,-0.011558613,0.229108512,0.166945383,-0.011304853
F,0.469279826,0.266479671,-0.461459637,0.49160403,0.222077504,-0.430092156,0.506241441,0.223469317,-0.430028439,0.51893121,0.225981101,-0.430021673,0.450255632,0.225175723,-0.41503197,0.43718797,0.227986202,-0.414800346,0.426133871,0.230667412,-0.415112555,0.545784056,0.25660789,-0.200465918,0.420814037,0.252261996,-0.120672762,0.502544641,0.321387768,-0.376873583,0.443325222,0.318225265,-0.355792254,0.64980942,0.515743673,-0.086863235,0.338081956,0.466473579,0.001028232,0.688633204,0.821545839,-0.137297049,0.13186726,0.689662635,-0.345373303,0.637733698,1.006830573,-0.350047857,0.228118867,0.378851712,-0.945553184,0.643320441,1.115595222,-0.41307646,0.233180255,0.267958462,-1.069217205,0.603235006,1.059973478,-0.424798071,0.257349938,0.249383986,-1.01341629,0.594849408,1.015789628,-0.363770694,0.271805644,0.292978406,-0.941959202,0.570116997,0.994799912,-0.030544048,0.347810328,1.042388201,0.033743974,0.556972742,1.515659809,-0.132312879,0.344071627,1.500169754,0.011412124,0.53954035,1.9452039,0.136371762,0.343751699,1.928235292,0.139779299,0.542650104,2.005387306,0.141051069,0.338407308,1.988052368,0.141637906,0.505238891,2.081449986,-0.257990241,0.370001376,2.072727442,-0.278682113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205857664,0.404783726,5.60E-08,0.245934397,0.340862751,-0.006038287,0.264401913,0.292024404,-0.00806239,0.275790155,0.266582906,-0.012631052,0.272634387,0.251921982,-0.016380256,0.236164331,0.237295762,0.005548432,0.24516432,0.192020029,-0.002637705,0.251203328,0.176022291,-0.012776422,0.25271067,0.157820776,-0.021093013,0.227497175,0.254459649,0.000964555,0.244324043,0.208789051,-0.007138441,0.253700733,0.184782475,-0.017882071,0.257164568,0.159535468,-0.027753921,0.222632065,0.284072697,-0.006114722,0.251688182,0.268510729,-0.018414255,0.259766012,0.272739053,-0.0292348,0.256205887,0.272393346,-0.036577579,0.222115025,0.320134461,-0.014072946,0.255339921,0.320349395,-0.02404245,0.264829278,0.31567359,-0.031391013,0.264206976,0.309277207,-0.037358284
F,0.464645237,0.260721445,-0.389421225,0.486541569,0.21611923,-0.364423394,0.500922322,0.216887891,-0.364533722,0.513702035,0.218800128,-0.364712328,0.4444682,0.22016263,-0.346440822,0.431176126,0.223440588,-0.346303701,0.420478672,0.226981699,-0.346812338,0.543407679,0.250132263,-0.165963456,0.417002529,0.250042975,-0.073426709,0.49916023,0.316018403,-0.315129995,0.436546743,0.313749671,-0.290675253,0.6513381,0.508459389,-0.074152119,0.334653318,0.462399483,0.047938913,0.69123739,0.811960876,-0.12319304,0.126296252,0.696279883,-0.285145253,0.632138848,1.004617095,-0.343112916,0.219094843,0.384288669,-0.830664992,0.629592896,1.110467076,-0.404251337,0.227596566,0.269627839,-0.93732053,0.59192735,1.051457167,-0.414257914,0.252842307,0.250739336,-0.877292812,0.58195591,1.011997461,-0.352416456,0.266918719,0.296824932,-0.82151401,0.561127543,0.989566207,-0.012129012,0.362327129,0.980235636,0.014577843,0.588185847,1.439148307,-0.248261422,0.340993881,1.446626902,0.023626456,0.548386276,1.849110723,0.019344652,0.341321945,1.859951854,0.170893282,0.543722212,1.900774479,0.029673073,0.335213661,1.918250561,0.175241455,0.519769311,2.00171566,-0.314829379,0.368264318,2.003269196,-0.176725924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212042511,0.385203302,6.36E-08,0.250785321,0.347273469,-0.021130463,0.275461823,0.305489779,-0.029767107,0.28069523,0.271301746,-0.037555519,0.274784446,0.244828671,-0.044452708,0.247918174,0.243894368,-0.007791138,0.255155444,0.19818376,-0.018842682,0.257725656,0.180513114,-0.031742945,0.256710202,0.159118056,-0.042044967,0.232525304,0.24307929,-0.005388939,0.247292817,0.196408451,-0.014441668,0.252568215,0.172889486,-0.025691573,0.254234731,0.14917329,-0.035536382,0.220354795,0.25435698,-0.006409979,0.238532975,0.220827088,-0.016623704,0.243596822,0.201619565,-0.024506278,0.243710399,0.183419466,-0.031221909,0.210678831,0.275863051,-0.009839518,0.230354831,0.262900978,-0.016506422,0.237555847,0.252401859,-0.019233091,0.240095675,0.243241549,-0.022442486
F,0.469892591,0.267992675,-0.443036854,0.492125422,0.224454537,-0.411752641,0.506358206,0.2252561,-0.411683738,0.518502593,0.227329865,-0.411689103,0.450391352,0.228283644,-0.398295045,0.436974823,0.231469393,-0.398120165,0.426055044,0.234543741,-0.398512304,0.546221614,0.256404579,-0.187434107,0.42050156,0.255566061,-0.113147579,0.502507627,0.322997928,-0.360370338,0.44381243,0.319609463,-0.34104085,0.652455807,0.510879934,-0.084642887,0.334782332,0.466811359,0.009392243,0.692559063,0.813602448,-0.130083606,0.12928319,0.68846029,-0.352740943,0.635542631,1.003642082,-0.326748043,0.225766927,0.382278264,-0.97233212,0.642512441,1.10349834,-0.383406401,0.234929651,0.277706027,-1.091683507,0.600528836,1.0512532,-0.385980189,0.255936861,0.262090743,-1.033718824,0.586094618,1.0122087,-0.334946722,0.269189745,0.305440605,-0.967038453,0.575201511,0.99384582,-0.031248357,0.367238879,0.982747316,0.034007613,0.573005438,1.481134534,-0.044545304,0.356200218,1.471150517,0.062985778,0.555110276,1.887681365,0.287102312,0.354767919,1.875059843,0.273435086,0.557729959,1.944616795,0.29917872,0.349781334,1.931679368,0.285309613,0.5240798,2.025307178,-0.075886562,0.384197891,2.017966986,-0.117656209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216396302,0.380068779,-7.23E-08,0.255452543,0.354797602,-0.012469332,0.285071641,0.32074663,-0.017103964,0.287229985,0.285050392,-0.02299458,0.271502674,0.258347571,-0.028167853,0.270608246,0.257709712,0.007856773,0.279229581,0.222423792,-0.004165101,0.278906763,0.224921465,-0.018126091,0.27681765,0.22650674,-0.027026577,0.250837088,0.245620176,0.006039654,0.258891076,0.195823014,-0.000428979,0.260614634,0.172337338,-0.010754699,0.262054265,0.152051836,-0.019202823,0.231835172,0.244774833,0.000252701,0.239136666,0.198451087,-0.0073674,0.241544276,0.174327031,-0.014606019,0.243544072,0.152875394,-0.019972201,0.212792069,0.25270316,-0.007409293,0.217368662,0.215838701,-0.011662131,0.219322428,0.196768701,-0.012567039,0.220850125,0.178425908,-0.013902202
F,0.466433227,0.260772884,-0.452584922,0.488125652,0.216020584,-0.426021188,0.502956033,0.216758311,-0.426035076,0.51608634,0.218455181,-0.426184356,0.445343107,0.219310224,-0.411758363,0.431989104,0.222291127,-0.411696494,0.421493143,0.225418434,-0.412190527,0.545711517,0.248584449,-0.214207008,0.415589333,0.24893707,-0.13813588,0.501007795,0.31665647,-0.372349203,0.440234363,0.314375192,-0.352468669,0.64865905,0.503993452,-0.107345305,0.332441449,0.465664864,0.003881208,0.693121791,0.808395743,-0.149283394,0.127368629,0.701050103,-0.334473789,0.629177928,0.998796999,-0.359763563,0.220720246,0.389137268,-0.909945369,0.626273334,1.097751021,-0.412690401,0.228430793,0.278629363,-1.017984748,0.590555727,1.04186821,-0.417846739,0.251461625,0.259272337,-0.956279874,0.581958294,1.004851103,-0.366895229,0.264361918,0.305355489,-0.90012753,0.56689769,0.979597628,-0.019792743,0.363780558,0.973573387,0.022057181,0.578657627,1.43811655,-0.14094536,0.342939258,1.435404181,0.057325952,0.554991782,1.84348464,0.15428327,0.34467715,1.842975974,0.240405709,0.553836167,1.897829533,0.16673772,0.339644849,1.900821805,0.248221681,0.52866745,1.987449527,-0.182124361,0.373899132,1.983323574,-0.11562822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213829458,0.390381545,1.17E-07,0.255035788,0.348399401,-0.018223936,0.277437031,0.306588233,-0.026355635,0.281249434,0.274353683,-0.034388863,0.269191325,0.250185609,-0.041806754,0.253459871,0.242358193,-0.005666207,0.257558048,0.195199683,-0.016888069,0.259803444,0.174434483,-0.028900683,0.258363724,0.150482863,-0.038683999,0.236212432,0.243875548,-0.00582674,0.249278516,0.194734469,-0.016045755,0.254813492,0.169268996,-0.027025916,0.256307393,0.143281132,-0.036064088,0.221184865,0.257823437,-0.009324005,0.238068402,0.22265403,-0.021242563,0.243561536,0.200357437,-0.030012798,0.244427428,0.178543121,-0.036847871,0.209270298,0.281978875,-0.015043062,0.233192876,0.269831508,-0.024344249,0.24440144,0.259994,-0.028712327,0.251132846,0.250707388,-0.032699399
F,0.467248827,0.268168151,-0.392615348,0.490053236,0.226137638,-0.371924132,0.504345894,0.226890564,-0.371931612,0.5164904,0.228436336,-0.372170597,0.448749632,0.229422629,-0.352228463,0.435710967,0.232103109,-0.352157742,0.425368249,0.235062122,-0.352667153,0.544694841,0.257220507,-0.185631096,0.420340627,0.258629322,-0.085057586,0.500122845,0.323776662,-0.321955621,0.441357434,0.319528639,-0.294852227,0.650240421,0.510048687,-0.104111388,0.336393535,0.469044328,0.055683009,0.69202131,0.808724761,-0.161701232,0.133495241,0.677093089,-0.271430582,0.632965147,1.003337502,-0.362215698,0.228636459,0.372497559,-0.8105793,0.637368619,1.102980137,-0.418863595,0.235608935,0.26988548,-0.915138602,0.599353135,1.051226974,-0.426026821,0.257238507,0.255034804,-0.848266959,0.585612297,1.0134058,-0.369808108,0.271113068,0.299626648,-0.799566627,0.562607348,0.991525829,-0.031181103,0.357270747,0.983027339,0.033441227,0.567305923,1.440774083,-0.16154407,0.318569064,1.437573075,0.078413442,0.537010193,1.841456294,0.101766393,0.321273625,1.83798492,0.234644979,0.534451902,1.894433498,0.111794829,0.317456514,1.893963218,0.240001872,0.510078907,1.986120939,-0.224339753,0.349503458,1.979225874,-0.10445895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21887356,0.374256313,-8.86E-08,0.254653335,0.349970937,-0.012721935,0.283450246,0.32006228,-0.018778028,0.289590061,0.285939753,-0.026110196,0.273483962,0.260883272,-0.032864027,0.267002672,0.256055474,0.004931592,0.275623232,0.222443998,-0.008088772,0.277642727,0.228892162,-0.022431327,0.277401268,0.232188955,-0.031650383,0.249059394,0.245985031,0.002361662,0.256144732,0.195256889,-0.004830368,0.258604705,0.171799839,-0.015482444,0.261285275,0.150866851,-0.024568029,0.23109825,0.246519521,-0.003981534,0.237589404,0.200018257,-0.012365723,0.240341783,0.174825221,-0.020225313,0.243183732,0.152459815,-0.026270432,0.212004289,0.256149799,-0.012173298,0.215430811,0.219789639,-0.017170243,0.217134386,0.199009255,-0.018648906,0.219148532,0.178901285,-0.020623745
F,0.469126791,0.273112178,-0.434356123,0.490176618,0.233951628,-0.410753816,0.504083395,0.234798253,-0.410776138,0.51576668,0.235925436,-0.410916507,0.449896485,0.237174451,-0.39591524,0.437677562,0.239706278,-0.395798981,0.42816028,0.242101908,-0.396294653,0.541002631,0.261928856,-0.214456037,0.42237702,0.264498174,-0.135451779,0.501049221,0.326506257,-0.360997796,0.443236887,0.324682772,-0.340165973,0.644885063,0.510605216,-0.119213425,0.334561169,0.470701873,-0.005655536,0.69567436,0.811174035,-0.14482978,0.131414294,0.671785235,-0.336366028,0.643255234,0.997547328,-0.325246572,0.222803384,0.368191183,-0.847205162,0.644107163,1.082421541,-0.378708094,0.226364493,0.266397893,-0.946989655,0.607844591,1.04055357,-0.384172499,0.2476044,0.246985257,-0.883179843,0.591787636,0.996258795,-0.333317906,0.261923522,0.289935797,-0.835704207,0.568674922,0.980359852,-0.023718024,0.367881417,0.978958845,0.026122307,0.572410345,1.429926157,-0.194708467,0.351720005,1.429873347,0.052389432,0.545953512,1.820159435,0.064065225,0.341587454,1.819217086,0.212092638,0.545845389,1.871738195,0.071326114,0.334856987,1.87400651,0.218446285,0.512265384,1.96292603,-0.275397092,0.361210942,1.958810687,-0.135793686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218398646,0.376717061,-1.01E-07,0.253906578,0.351283818,-0.014361894,0.28227067,0.318246007,-0.021729361,0.288089097,0.281271219,-0.030200399,0.270399004,0.253565341,-0.03797761,0.266355187,0.25350529,0.003543068,0.276554018,0.221812606,-0.011297917,0.278862059,0.230033785,-0.026735896,0.278077245,0.23431851,-0.036454942,0.248593286,0.243185759,0.001275079,0.256981492,0.192711592,-0.006905188,0.260582328,0.169985339,-0.017279888,0.264854521,0.147757277,-0.026025768,0.230841637,0.244715616,-0.005184724,0.236297593,0.197459027,-0.015083385,0.239913121,0.173534513,-0.022637755,0.243916854,0.150388777,-0.028244898,0.211920813,0.255813092,-0.013637709,0.216064066,0.219545081,-0.019925274,0.218917117,0.198053643,-0.021524521,0.222347602,0.175608903,-0.023531051
F,0.472043693,0.273651421,-0.428466022,0.492869794,0.233954132,-0.405141503,0.506375194,0.234551132,-0.405148745,0.518090665,0.235781968,-0.405237257,0.453641593,0.236689389,-0.391218662,0.441111863,0.239040077,-0.391166776,0.430551857,0.241956055,-0.391699553,0.545107841,0.262773633,-0.209495977,0.425542057,0.264760852,-0.132133797,0.503626764,0.327379823,-0.356170654,0.447021544,0.32413137,-0.335974097,0.651303172,0.512429118,-0.124404952,0.339285284,0.479506791,0.003720062,0.693767428,0.820943236,-0.171298638,0.137508601,0.691906691,-0.309378684,0.638042748,1.010110378,-0.364176631,0.221219018,0.384383321,-0.837423027,0.616713524,1.089403987,-0.420004785,0.229174331,0.276987344,-0.940928757,0.597587585,1.055682063,-0.425024688,0.250017226,0.256782413,-0.879700184,0.588203371,1.00806284,-0.373258471,0.264935523,0.303916663,-0.829015851,0.578447282,0.989102125,-0.030094948,0.373729229,0.981615067,0.03243285,0.575853825,1.451192975,-0.070111118,0.353856295,1.444839716,0.096392341,0.550157011,1.847760677,0.214998871,0.348319024,1.839191675,0.28808412,0.55054462,1.901567817,0.224212676,0.342742085,1.895113111,0.297811478,0.520385325,1.986612797,-0.121067658,0.373240471,1.977499008,-0.065312788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217411488,0.392080367,3.77E-08,0.257425219,0.356615543,-0.019129025,0.28243342,0.316774666,-0.02692505,0.282555103,0.286167473,-0.034187332,0.267393112,0.267231137,-0.040785082,0.258396745,0.247653514,-0.003146701,0.261972964,0.200938359,-0.011794943,0.264178544,0.181746721,-0.022904171,0.264479786,0.159331217,-0.032052893,0.239172012,0.243352339,-0.00108225,0.246038511,0.195227817,-0.008272286,0.250373274,0.172056079,-0.01842339,0.253160894,0.149401098,-0.02722094,0.222681627,0.249121323,-0.002385824,0.229978442,0.2060453,-0.010296002,0.234026223,0.184227958,-0.017047049,0.236092255,0.161735415,-0.022670189,0.207877621,0.262312621,-0.006005629,0.214953884,0.229948744,-0.010577424,0.217237756,0.212637976,-0.012065051,0.218555525,0.195579678,-0.014270534
