class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75
G,0.479239166,0.242659271,-0.46967721,0.50259012,0.203174174,-0.442278206,0.51665622,0.204621077,-0.442262948,0.527935565,0.20670408,-0.442174137,0.4588328,0.204500064,-0.431657463,0.444691241,0.206974804,-0.431496322,0.434205055,0.2101987,-0.431796402,0.552012265,0.236670434,-0.220068961,0.423562109,0.23648411,-0.153441265,0.508552969,0.299461663,-0.386833578,0.451895237,0.296095669,-0.369010001,0.652766109,0.497190207,-0.122808978,0.33614701,0.449804842,-0.023368059,0.679687142,0.796828508,-0.157298192,0.217029184,0.74408859,-0.304985017,0.628842294,0.991676867,-0.402853876,0.192335367,0.447073162,-0.980297208,0.621235609,1.094073892,-0.465350211,0.173361868,0.375029445,-1.105256319,0.591501772,1.041778445,-0.482721508,0.196076363,0.34022671,-1.090209842,0.585320234,0.99918139,-0.416435301,0.215915591,0.364995301,-0.995124161,0.562630534,0.992438853,-0.028403524,0.360861003,0.985324681,0.030922359,0.551493227,1.459426045,0.031396445,0.349837661,1.445294261,0.120791376,0.533921897,1.850188494,0.444032133,0.349210352,1.833477259,0.417075962,0.538408875,1.902811289,0.465741813,0.34721154,1.887062788,0.437946409,0.501970649,1.978909731,0.118244633,0.367159724,1.966218829,0.051383041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175359547,0.447879493,-1.93E-07,0.208534181,0.399692237,-0.005092765,0.225528762,0.34752804,-0.009566288,0.217873961,0.310086846,-0.016445929,0.201282725,0.302599818,-0.022585424,0.196385369,0.302068323,0.001354244,0.197536081,0.272377551,-0.014546238,0.207706124,0.291596889,-0.027662233,0.215073973,0.315863132,-0.034771223,0.175425366,0.305434644,-0.003014978,0.177413389,0.282465994,-0.018426746,0.191268474,0.305809319,-0.027373621,0.199532405,0.331992269,-0.031079743,0.156387433,0.316179007,-0.009485893,0.160677209,0.299428642,-0.02237048,0.173723221,0.323630154,-0.022613095,0.180062056,0.348487437,-0.020229254,0.138820812,0.332038969,-0.016950928,0.146779284,0.325129151,-0.022745451,0.156864852,0.342265308,-0.01948211,0.161644295,0.359405249,-0.015425717
G,0.485902548,0.249367177,-0.439436615,0.508530557,0.211292028,-0.417064518,0.521962106,0.213061035,-0.417135894,0.532929122,0.215456426,-0.417099059,0.468241215,0.210318327,-0.405974299,0.455234826,0.211680889,-0.405818701,0.444759905,0.213674843,-0.406231105,0.552433789,0.243836582,-0.218922764,0.435880363,0.237374008,-0.148365825,0.512067914,0.305330157,-0.364808679,0.460711569,0.29897511,-0.34583056,0.653636396,0.503844917,-0.163432449,0.340194017,0.457250237,-0.009608989,0.678624809,0.817554593,-0.214578301,0.212940171,0.754732966,-0.249527767,0.629349113,1.004068613,-0.465938032,0.173780203,0.480197072,-0.888727963,0.618275762,1.100368381,-0.525375009,0.129015356,0.402467608,-0.989961267,0.58735466,1.062730789,-0.549991131,0.14988625,0.355626762,-0.993548036,0.580634832,1.010207176,-0.481405914,0.16995433,0.390583634,-0.908576131,0.558416963,0.997860491,-0.035537094,0.365234643,0.998794913,0.03802783,0.545975804,1.448200345,-0.047314771,0.349344552,1.43293786,0.144759834,0.520202994,1.836732984,0.287687391,0.335537255,1.822191238,0.405990839,0.523025095,1.88885355,0.302384049,0.331658036,1.878529787,0.421801805,0.484527051,1.966992855,-0.02828829,0.345241606,1.948953629,0.067598075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172945127,0.491943061,-1.49E-07,0.185968354,0.417663813,-0.006999256,0.180607334,0.353837252,-0.007282761,0.153586939,0.31317237,-0.010206237,0.124473803,0.306419432,-0.012003699,0.155179098,0.327541679,0.022256793,0.125115007,0.278727949,0.012258739,0.106521547,0.259869635,0.000145423,0.091160797,0.250794888,-0.006655654,0.139268845,0.344126463,0.020033397,0.11483904,0.309684515,6.69E-05,0.127848238,0.329616576,-0.016247625,0.13925077,0.35548535,-0.021460935,0.125819832,0.361230075,0.015020256,0.104857065,0.329490095,-0.003754881,0.122330442,0.349959761,-0.009768269,0.137246788,0.376684368,-0.006896618,0.113762386,0.379886925,0.008905178,0.101085149,0.344543308,0.001276321,0.102719784,0.333055347,0.001047784,0.103068158,0.32645452,0.003754302
G,0.482536614,0.2445485,-0.413423538,0.504608929,0.20506829,-0.391847879,0.518312037,0.207215726,-0.391924828,0.529852748,0.20983839,-0.392009884,0.463751733,0.203936577,-0.382644475,0.450883687,0.205408275,-0.382656306,0.441195488,0.207421064,-0.383072108,0.550969064,0.238913402,-0.207278162,0.432005167,0.232408106,-0.147313789,0.509221911,0.301967561,-0.343029737,0.457749754,0.296408534,-0.32683748,0.651871085,0.485125899,-0.157310456,0.338411242,0.449520648,-0.013846448,0.679476619,0.791492999,-0.181741804,0.222660869,0.741685688,-0.248499438,0.612518251,0.992566526,-0.39689216,0.183503896,0.470886111,-0.838365436,0.613630652,1.075425744,-0.448999256,0.134187639,0.391001523,-0.933796585,0.578980565,1.030740261,-0.478632927,0.146695107,0.347100317,-0.935332179,0.575004697,0.994136453,-0.411499411,0.169606,0.380653739,-0.855249107,0.567983985,0.97774893,-0.019068768,0.366729826,0.976703227,0.020973947,0.559704781,1.395943046,-0.064896934,0.357127517,1.393974662,0.155869424,0.525237024,1.76356864,0.265731752,0.339626431,1.765687108,0.427143157,0.525298297,1.810468793,0.284078836,0.335922807,1.820423007,0.444423735,0.492010117,1.898731232,-0.005505537,0.348949522,1.892900467,0.132942989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17320621,0.492211521,-4.20E-10,0.184836745,0.415124238,-0.007713563,0.178257108,0.353296846,-0.005398993,0.155101776,0.314473301,-0.004949386,0.126295209,0.309084505,-0.00279492,0.158492595,0.331254154,0.027820595,0.128582895,0.28300941,0.023910604,0.108820312,0.261982858,0.014655331,0.091094851,0.246847481,0.008206028,0.141773999,0.347562104,0.028224014,0.119701713,0.311831981,0.019735077,0.117992982,0.302329957,0.005249151,0.114765793,0.295808077,-0.002740346,0.128705904,0.366903841,0.025332667,0.11482136,0.342523217,0.015084618,0.126455247,0.35079357,0.006077465,0.13550213,0.363536298,0.004038815,0.117565729,0.387459159,0.021059599,0.112613872,0.368805826,0.016294835,0.120722651,0.370551288,0.013890007,0.127214685,0.37664026,0.014344029
G,0.48559612,0.250400364,-0.380161345,0.508572996,0.208557844,-0.352749139,0.522131979,0.210444629,-0.352765083,0.533441782,0.213081703,-0.352849603,0.467618048,0.20931083,-0.344378889,0.454526007,0.211446702,-0.344143569,0.443897247,0.213591814,-0.344493151,0.553792298,0.243308127,-0.142910764,0.434014797,0.238406479,-0.086831011,0.512667775,0.307351589,-0.300723165,0.459993601,0.303857744,-0.286185533,0.652777314,0.497947037,-0.086911567,0.341919482,0.44826144,0.042971812,0.682596207,0.804066539,-0.131310686,0.219297618,0.74576211,-0.218301147,0.629131615,0.988816857,-0.372342885,0.183981806,0.46642673,-0.878071785,0.626322567,1.084268212,-0.434594095,0.144405723,0.390605986,-0.993658423,0.592267513,1.05262804,-0.462902486,0.158771157,0.347475708,-0.988950372,0.586596072,1.009052157,-0.389236867,0.178487629,0.383468747,-0.897239208,0.560092747,0.998506844,-0.023798492,0.363818705,0.994388163,0.026225846,0.552290559,1.449907184,0.009090978,0.355820328,1.434955835,0.134945482,0.529258728,1.839381933,0.360741109,0.344942331,1.827006578,0.41999492,0.531116068,1.892478228,0.377685547,0.341780782,1.883057356,0.438504934,0.496405542,1.970738649,0.043156657,0.358307898,1.958118677,0.073593311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175059676,0.479936063,-6.89E-08,0.187927127,0.410387009,-0.011653176,0.184738159,0.349336624,-0.013363379,0.158050075,0.312549412,-0.016479578,0.129112989,0.309698313,-0.018270865,0.153574407,0.327665061,0.015188895,0.123802677,0.279212058,0.005402997,0.105584309,0.258044958,-0.005939329,0.089694038,0.243629247,-0.013493516,0.139041528,0.346360922,0.015241355,0.117324814,0.310414076,-0.004714734,0.13207005,0.329694539,-0.019616883,0.144140437,0.352343887,-0.024463939,0.128205135,0.365014821,0.012399521,0.110360831,0.331848383,-0.007375297,0.129129738,0.352138549,-0.01296609,0.143295333,0.377934873,-0.010079122,0.119343087,0.38445875,0.008142728,0.108480901,0.35498786,-0.004201007,0.122065902,0.364190966,-0.005760809,0.133483306,0.380191594,-0.002907038
G,0.483800799,0.243777454,-0.39845708,0.507323027,0.204466686,-0.37190479,0.521067441,0.205990076,-0.371957123,0.532728493,0.207909241,-0.372028112,0.464771181,0.20390135,-0.36383754,0.45143646,0.205185413,-0.363630325,0.440807879,0.207405746,-0.364018828,0.553969383,0.237194836,-0.170392737,0.43118161,0.232336044,-0.115372084,0.510588408,0.299878389,-0.323490083,0.457412392,0.295844436,-0.309218913,0.649868131,0.501490831,-0.117300615,0.342732072,0.45531565,0.014177246,0.679979444,0.816240847,-0.151633009,0.21214442,0.757771492,-0.232982725,0.621097922,1.010152459,-0.378496617,0.179527372,0.466659248,-0.87153846,0.6215536,1.110703707,-0.438698947,0.14036864,0.389187336,-0.980780482,0.580057919,1.069825888,-0.465185076,0.156745702,0.343593121,-0.978383422,0.575049877,1.025913,-0.394619614,0.17596814,0.377507627,-0.890224576,0.568314195,1.002111554,-0.024077712,0.367823184,0.996363223,0.026414338,0.555351973,1.459762573,0.019850181,0.352290481,1.44494462,0.12877956,0.53315109,1.854794741,0.381423563,0.345801294,1.841706038,0.400105417,0.535689116,1.908524275,0.398375183,0.343197286,1.897958279,0.416792721,0.501260459,1.987707615,0.071621284,0.363478005,1.974769831,0.057489581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176432818,0.486938655,-7.31E-08,0.191182226,0.412064791,-0.005971155,0.187780619,0.351024598,-0.006012877,0.164556697,0.314582705,-0.009080537,0.135290533,0.31105715,-0.011291048,0.157720447,0.322598666,0.023103543,0.128853515,0.274726897,0.014587542,0.111486636,0.254439592,0.002405523,0.095333599,0.241057724,-0.006083973,0.143121317,0.342307955,0.01981361,0.119291745,0.306216031,0.002754139,0.131739661,0.323911875,-0.012573947,0.141731858,0.345496655,-0.018745005,0.131594911,0.363384128,0.013769449,0.113462925,0.330882072,-0.002735002,0.130115196,0.351367265,-0.008051239,0.141863689,0.376281857,-0.006213444,0.121950671,0.386132985,0.006535408,0.110315293,0.360650837,-0.00295907,0.123781592,0.371982127,-0.003052431,0.135134473,0.388881862,0.000110015
G,0.483900785,0.247577608,-0.412430227,0.505582392,0.205254421,-0.394607365,0.518868029,0.206693709,-0.394703895,0.529984772,0.208919287,-0.394829214,0.465065569,0.206815109,-0.383069098,0.451746792,0.209117234,-0.383061588,0.4408997,0.211196363,-0.383505225,0.552796781,0.239263669,-0.212735102,0.430793762,0.234173641,-0.141759381,0.511357427,0.305330336,-0.341347039,0.459892601,0.301956058,-0.322055042,0.655365944,0.484422386,-0.152192518,0.341704756,0.441581309,-0.000306342,0.679078639,0.795043111,-0.182952866,0.225342184,0.737787008,-0.221661374,0.632609844,0.973460197,-0.43536067,0.183570266,0.474171698,-0.803049684,0.620465517,1.069927454,-0.494139493,0.138395935,0.396412909,-0.898863137,0.592819095,1.031238914,-0.526002526,0.15204528,0.350891709,-0.901405513,0.583564997,0.990237892,-0.452745974,0.174522042,0.386968315,-0.82062453,0.566001713,0.973195136,-0.023325613,0.366148174,0.97834152,0.025340309,0.569920123,1.396273375,-0.206158191,0.362843603,1.395491481,0.131650001,0.535203695,1.772384882,0.142624587,0.351015925,1.777254939,0.410994112,0.533697963,1.817875147,0.163999751,0.347061366,1.83413887,0.42940098,0.503912866,1.916390538,-0.133567929,0.361788243,1.905056477,0.113817908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174517632,0.486841202,-9.86E-08,0.186653569,0.412800431,-0.003663125,0.182433277,0.353230149,-0.001064044,0.158852458,0.317511082,-0.001860191,0.132278755,0.315366864,-0.001689267,0.149219841,0.324760139,0.027706465,0.121091411,0.276964188,0.022735341,0.103309266,0.258430511,0.013280743,0.086524159,0.245603189,0.006886686,0.136679769,0.344082326,0.02439639,0.112754017,0.30976069,0.010512532,0.12182346,0.320863575,-0.004413681,0.129237801,0.335301578,-0.010577069,0.128667682,0.365374923,0.018464059,0.108766079,0.334678292,0.003183044,0.128392756,0.355313003,-0.004352046,0.144332588,0.378693461,-0.003546605,0.123406768,0.386814445,0.011836036,0.112233117,0.353258431,0.005334476,0.123485997,0.358360976,0.005625302,0.133852214,0.369864523,0.008654594
G,0.485718876,0.266052365,-0.396323621,0.508647382,0.221964836,-0.377713174,0.521812201,0.223465025,-0.377678573,0.533493519,0.225425243,-0.377674371,0.467527866,0.221493423,-0.367698461,0.453751326,0.223218679,-0.367847621,0.442661464,0.225020066,-0.368142903,0.554045379,0.25151211,-0.206302375,0.42999655,0.247121468,-0.145948321,0.511272013,0.321943164,-0.330074608,0.460692585,0.317659736,-0.313715249,0.647906005,0.492499769,-0.169387445,0.343944013,0.453691542,-0.021066504,0.67449832,0.806490481,-0.175633401,0.212754086,0.744714141,-0.220485017,0.626283109,0.989052474,-0.392541766,0.176035523,0.472014546,-0.746517479,0.620532155,1.095522761,-0.449964434,0.127833724,0.390400887,-0.83519727,0.583098054,1.061279058,-0.486302704,0.143831283,0.349607646,-0.838871956,0.579068005,0.998302519,-0.411709487,0.166595906,0.38323456,-0.764025629,0.561729789,0.97735554,-0.013996748,0.367926389,0.976760507,0.016044032,0.561353564,1.388312936,-0.149256766,0.364037663,1.384708762,0.140122995,0.53191936,1.746893048,0.132186472,0.349294752,1.74965322,0.368653744,0.529933572,1.792631984,0.146115661,0.344469607,1.806190014,0.38247034,0.501731098,1.886001945,-0.132285118,0.358631074,1.870631456,0.083145946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168102667,0.495356441,-3.33E-08,0.180413604,0.419878513,-0.014351428,0.174192026,0.356529176,-0.012620162,0.146635801,0.321236938,-0.01081403,0.118427269,0.318498284,-0.006413182,0.14711751,0.330330759,0.020813398,0.114808194,0.280934662,0.016922783,0.093111768,0.262089491,0.008577502,0.071779281,0.251407981,0.003497847,0.133459449,0.350569159,0.025158536,0.108529113,0.315037072,0.014820933,0.106997639,0.306723118,-0.000798923,0.103032589,0.302588105,-0.008229449,0.124485835,0.372732759,0.026064528,0.108681098,0.355001181,0.012902156,0.124972984,0.370397985,0.001768407,0.136966735,0.388027638,0.000263576,0.117419139,0.395132154,0.025425097,0.112864971,0.377459466,0.019802414,0.122019708,0.380286902,0.016976187,0.128181472,0.38786,0.018158909
G,0.465846449,0.265862405,-0.38087669,0.489135921,0.222989693,-0.360341638,0.503319502,0.223726451,-0.360352665,0.515657306,0.224739254,-0.36043182,0.446112216,0.223875999,-0.345363051,0.432632685,0.225009978,-0.345155984,0.422395229,0.226739883,-0.345581025,0.539907694,0.250425696,-0.180111691,0.41354385,0.247769967,-0.092892848,0.494028568,0.316117644,-0.313438356,0.440437883,0.316211283,-0.289824128,0.644410431,0.49753353,-0.112236872,0.330281973,0.463148117,0.035911217,0.682611465,0.817523539,-0.152019098,0.172503054,0.766296148,-0.188163817,0.618918359,1.004929781,-0.368092984,0.153657168,0.469486237,-0.755878091,0.592255771,1.112725735,-0.427928925,0.114424646,0.380543411,-0.858051598,0.554583728,1.065163612,-0.439442098,0.133728385,0.337231904,-0.838814914,0.567295372,1.017511129,-0.376775414,0.155832082,0.368947983,-0.765936971,0.557293952,0.990803421,-0.01899893,0.359326839,0.987940192,0.021425189,0.557647288,1.447835088,0.025920236,0.349296927,1.432345867,0.104922488,0.534812689,1.835030794,0.362833083,0.342149913,1.820304155,0.331712246,0.538227499,1.886016488,0.378440112,0.338472128,1.875724554,0.345883965,0.5007357,1.972273707,0.064317979,0.362790823,1.955625057,-0.005315773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151196882,0.505825698,-9.33E-08,0.147259444,0.448927969,-0.013191346,0.135430709,0.394162834,-0.012319613,0.115888558,0.36311096,-0.011112999,0.093793675,0.353585422,-0.007918527,0.136707842,0.328070134,0.019363917,0.107848011,0.274059176,0.021136681,0.086429551,0.252961397,0.016015552,0.065334693,0.235037804,0.01209076,0.130299717,0.337095439,0.024174286,0.103203997,0.291071951,0.024171846,0.087731779,0.269326776,0.012950704,0.072815731,0.249929219,0.005158945,0.126694635,0.353954405,0.025719538,0.110332564,0.3308869,0.022637809,0.104407601,0.325918198,0.009926166,0.097343363,0.320973039,0.002494558,0.125525713,0.371559232,0.025774026,0.119277239,0.358052611,0.025207968,0.115167178,0.353543282,0.020788617,0.109758936,0.349366218,0.018273775
G,0.474862874,0.265947223,-0.353485465,0.497994035,0.223480463,-0.329252124,0.511219084,0.224208057,-0.329337031,0.522843957,0.225410402,-0.329405397,0.45613724,0.22375387,-0.319602162,0.442311436,0.224674702,-0.319430649,0.431361914,0.225923121,-0.319864094,0.540970266,0.249241352,-0.147950947,0.418700129,0.248367786,-0.087719567,0.499549687,0.318109512,-0.286472112,0.448960066,0.316236228,-0.2709333,0.640144169,0.502893746,-0.108575545,0.331847697,0.469773114,0.043186966,0.679675817,0.817613244,-0.154778734,0.177129149,0.772604823,-0.193085894,0.611250937,1.016456723,-0.39297238,0.156712085,0.481381059,-0.778727233,0.592335105,1.116615057,-0.45303005,0.122337878,0.400464594,-0.876643956,0.555939496,1.073334813,-0.470358551,0.141326934,0.35534513,-0.86591512,0.55444181,1.020503283,-0.403687567,0.162691206,0.388692498,-0.791336477,0.560976744,0.975770712,-0.018983422,0.368911147,0.987063825,0.021192215,0.55654639,1.416185498,-0.034720223,0.353775501,1.404330492,0.09815976,0.531338573,1.794637203,0.298929542,0.347169816,1.788075686,0.312885046,0.533198118,1.844037294,0.314768702,0.344409198,1.842137098,0.324358791,0.500323415,1.928602695,0.007556883,0.363833725,1.921027541,-0.01407632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153939366,0.493982911,-4.49E-08,0.171658829,0.423126012,-0.003933445,0.169044122,0.363391548,-0.004479056,0.149786219,0.326916277,-0.007967536,0.122777417,0.320989668,-0.010067089,0.134643674,0.327191085,0.018166432,0.108088821,0.27821666,0.009495321,0.089775346,0.260571182,-0.001106724,0.068854451,0.250645399,-0.007932544,0.119352445,0.345965326,0.014583406,0.106043316,0.316399306,-0.002464024,0.121998847,0.338715702,-0.016192673,0.130649194,0.359403938,-0.021018831,0.108500496,0.367979705,0.008902024,0.099459827,0.352477461,-0.006423692,0.12298467,0.372477025,-0.012374922,0.137942255,0.389364153,-0.011410329,0.100741297,0.393510878,0.002449105,0.097099543,0.384994179,-0.004515896,0.112143874,0.398896426,-0.004612038,0.123078838,0.410802424,-0.002023647
G,0.475131035,0.260628581,-0.370934874,0.498760283,0.218684062,-0.351444572,0.511994481,0.219027042,-0.351484805,0.524041951,0.219686374,-0.351583719,0.456077516,0.220346749,-0.3413513,0.441956699,0.221562624,-0.341193765,0.43059811,0.223027945,-0.341633439,0.545565963,0.244693041,-0.174466595,0.419529378,0.243063688,-0.11028222,0.500116944,0.312319487,-0.30336675,0.449283272,0.310675025,-0.286390334,0.641304016,0.489542425,-0.127946988,0.331726193,0.460697353,0.024155509,0.680768371,0.80057162,-0.162684515,0.191223085,0.758546114,-0.206086159,0.618040264,0.994593441,-0.394476801,0.157788783,0.479457319,-0.791979849,0.613430202,1.095171809,-0.455137432,0.123905398,0.405729711,-0.8896662,0.561827838,1.049241662,-0.475687593,0.143342525,0.354755044,-0.886482596,0.563385248,1.007688046,-0.406382322,0.162413687,0.385583937,-0.806667507,0.559225917,0.982372224,-0.019697573,0.363111734,0.978860438,0.021869509,0.560507715,1.396502733,-0.054765243,0.351067036,1.391007662,0.126189262,0.532754779,1.77253592,0.26187548,0.338098109,1.770630598,0.37844947,0.533097804,1.821393967,0.276933312,0.334227532,1.826436281,0.393784881,0.501837492,1.909166932,-0.024696501,0.3527762,1.9001683,0.061891984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157146633,0.488540173,5.03E-08,0.171726301,0.425942183,-0.007126082,0.170402065,0.367302209,-0.006430682,0.149088487,0.332500935,-0.007892907,0.120586388,0.327131063,-0.00822443,0.144858167,0.330924898,0.018312382,0.120168798,0.287330091,0.010732024,0.101643108,0.26915133,0.001247027,0.07985317,0.254529297,-0.004746227,0.127311021,0.343837738,0.014878625,0.106544569,0.295490086,0.003171481,0.094803423,0.27322647,-0.010064861,0.079999864,0.251388252,-0.016560527,0.11509639,0.364755958,0.008524774,0.102142408,0.345885187,-0.008248706,0.12421415,0.369574815,-0.017116463,0.139902964,0.385770589,-0.0171772,0.105426311,0.390246272,0.001339812,0.101914033,0.379930973,-0.008287057,0.115619242,0.395896077,-0.009560148,0.126223743,0.408956528,-0.00752511
