class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75
I,0.483738989,0.261376858,-0.475320905,0.50679189,0.223597586,-0.454048067,0.520626664,0.225618899,-0.453947961,0.531960547,0.227866232,-0.453992218,0.463411421,0.219752371,-0.447442591,0.450426489,0.219277143,-0.447477192,0.441237062,0.220142022,-0.447967917,0.552296996,0.2544837,-0.277119905,0.428340852,0.246579036,-0.237243563,0.511054218,0.317327201,-0.405924946,0.460168779,0.312071145,-0.395639271,0.644412398,0.522524655,-0.147534296,0.338891506,0.472601831,-0.147717223,0.702479661,0.820494235,-0.093344226,0.181446075,0.756866217,-0.12838158,0.591789007,1.011645079,-0.286065191,0.315354764,0.951205432,-0.319920778,0.577365756,1.112118363,-0.348892391,0.335400164,1.032242537,-0.370963275,0.548072457,1.076839328,-0.355712563,0.378692716,1.000983596,-0.37624979,0.549336135,1.043792009,-0.291413844,0.37781176,0.978800535,-0.320577472,0.561788857,0.983691752,0.002580195,0.359625429,0.9795807,-0.000966209,0.59220624,1.372983694,-0.221241638,0.351100564,1.400153875,-0.012915464,0.542751968,1.739127398,0.136211008,0.353582144,1.764250517,0.184565574,0.535812259,1.787397146,0.157906398,0.35207507,1.822873354,0.1930314,0.510929823,1.904885769,-0.130739719,0.379473448,1.905200124,-0.130772665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0.476682514,0.256588042,-0.447152227,0.502543628,0.219410479,-0.41749388,0.5165537,0.221927941,-0.417431206,0.529236734,0.224368989,-0.417457581,0.456769049,0.213590145,-0.403115094,0.443278223,0.212970555,-0.403004736,0.431976736,0.213325977,-0.403411627,0.554227769,0.256036282,-0.215318203,0.421172798,0.241455421,-0.142653123,0.504190505,0.31537497,-0.375064701,0.447407007,0.310232341,-0.355524808,0.647611618,0.527715027,-0.122512005,0.329554439,0.472655952,-0.011787176,0.686695158,0.854291797,-0.172526866,0.141546816,0.712028861,-0.256625623,0.599934578,1.0259341,-0.401281893,0.198727399,0.437616289,-0.733156741,0.603660524,1.107847571,-0.464560688,0.205836624,0.347150922,-0.833334923,0.56909883,1.071703315,-0.473612398,0.228592962,0.326936066,-0.784137428,0.55104804,1.012523174,-0.413148314,0.242861539,0.357029974,-0.729195058,0.554106832,1.001096845,-0.018018881,0.356607974,0.97490871,0.020632396,0.541739762,1.452013612,-0.147201687,0.306322843,1.437766194,-0.062908538,0.511830807,1.868306875,0.091732509,0.299662113,1.85063529,-0.026043719,0.511573792,1.925717473,0.09635397,0.296368092,1.911622286,-0.036081936,0.476660579,2.007907629,-0.254334986,0.320336789,1.98563838,-0.408489317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185234785,0.407938778,-4.20E-07,0.224480733,0.375721157,-0.004867333,0.251712441,0.348220855,-0.00858606,0.256422251,0.316078186,-0.016511859,0.247471124,0.290402502,-0.023446517,0.244728267,0.292010844,0.008692236,0.247747958,0.276990384,-0.008026348,0.236009806,0.306690425,-0.021715455,0.226902425,0.333134621,-0.02710974,0.221829146,0.284627318,0.003737423,0.22630772,0.272983551,-0.017084202,0.216134742,0.307348758,-0.030315993,0.208608806,0.337878197,-0.033761196,0.200633571,0.281506389,-0.003753734,0.205441758,0.265200019,-0.022696618,0.201003104,0.29669863,-0.02767913,0.197450057,0.325612515,-0.02403266,0.180884406,0.281935781,-0.011830993,0.180559471,0.241400674,-0.018805765,0.180644467,0.222577691,-0.017742811,0.181743473,0.208906889,-0.01375107
I,0.471904576,0.254118383,-0.362644404,0.498022854,0.214879453,-0.332300574,0.512333453,0.216848239,-0.332417011,0.524708807,0.218950137,-0.332780182,0.452639192,0.21264714,-0.319490224,0.438980281,0.212935507,-0.319567174,0.4286713,0.214149296,-0.319818407,0.551530421,0.251245558,-0.132296279,0.41941005,0.243427619,-0.068568252,0.501059353,0.313426286,-0.286680371,0.443225622,0.309109092,-0.268364817,0.64535892,0.5101403,-0.044390667,0.328918934,0.466548324,0.058026589,0.686779499,0.829831302,-0.139028236,0.146297574,0.72448945,-0.212878272,0.630042136,1.018703341,-0.399950564,0.199025005,0.433308244,-0.644760489,0.641453028,1.100395799,-0.46409598,0.19990012,0.33730346,-0.732830107,0.610224903,1.067587495,-0.469955683,0.223453492,0.313191772,-0.685295761,0.594607234,1.047088742,-0.410315603,0.241718888,0.347145081,-0.636681199,0.550526202,0.985440969,-0.030373987,0.355193883,0.9648422,0.031597968,0.616736114,1.180595756,-0.44409126,0.256412894,1.16377914,-0.417890728,0.492596209,1.620167017,-0.172272593,0.313666105,1.661827445,-0.266580105,0.473290026,1.662413836,-0.153288692,0.329279184,1.708076954,-0.254928499,0.453832448,1.794502616,-0.421006739,0.33199054,1.864373922,-0.538666487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185369134,0.425827146,-4.39E-07,0.226392508,0.380687684,0.003522741,0.250462085,0.344583869,0.003169368,0.259618819,0.31374231,-0.002771392,0.254905254,0.293932736,-0.008162169,0.238037109,0.290053844,0.016019773,0.241544709,0.260948122,0.002735508,0.234644413,0.293776363,-0.009629015,0.225410089,0.32038492,-0.016379859,0.222021773,0.290536702,0.007480475,0.230358571,0.261722594,-0.009696753,0.225286305,0.30182749,-0.021000141,0.217459649,0.336023033,-0.025013402,0.20904851,0.296704203,-0.003094842,0.220354423,0.266664535,-0.01878118,0.217699513,0.300801247,-0.022430208,0.211445272,0.332143337,-0.020488633,0.199827939,0.30738157,-0.013525605,0.211439818,0.27929759,-0.021884063,0.213027984,0.29210484,-0.021562446,0.212578848,0.30613184,-0.019175775
I,0.474444389,0.253115773,-0.353975207,0.499896139,0.215684354,-0.324981898,0.513931513,0.217449188,-0.325082213,0.525284827,0.219536126,-0.325405151,0.4547185,0.213929042,-0.310078204,0.440591335,0.214500666,-0.310156882,0.430396646,0.215784132,-0.310466588,0.551632106,0.251766384,-0.13625598,0.420528978,0.245387852,-0.061961763,0.502583861,0.311854422,-0.283998847,0.445936769,0.308936954,-0.263017684,0.648876131,0.519904733,-0.06140361,0.334622383,0.470112741,0.061291106,0.692246377,0.84286499,-0.150809273,0.151234984,0.707212448,-0.210886687,0.634093106,1.021496773,-0.391561478,0.204150245,0.418311298,-0.6300475,0.639383554,1.10529983,-0.453252733,0.204765603,0.325616777,-0.718372941,0.60978055,1.07048595,-0.458080918,0.228903294,0.302935869,-0.666542768,0.595722973,1.048833013,-0.400922298,0.244464189,0.336634278,-0.621167064,0.558814883,0.994829595,-0.037974175,0.360692024,0.973913908,0.038976975,0.60786128,1.239783764,-0.401280969,0.28589502,1.245665193,-0.317657113,0.517458379,1.692626238,-0.157599553,0.327719301,1.732089996,-0.190698251,0.505313694,1.743360043,-0.145396113,0.342396647,1.78106463,-0.184698641,0.483048737,1.861338854,-0.439044327,0.334293664,1.927013636,-0.479169905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194940358,0.421068668,-4.75E-07,0.211166367,0.366932243,-0.002344357,0.225115016,0.322194695,-0.0046993,0.234158516,0.288366169,-0.010945131,0.232482031,0.268587381,-0.015703799,0.213217929,0.283156037,0.009942067,0.221483275,0.259405494,-0.002758037,0.217471719,0.291847765,-0.013694086,0.211937472,0.312478036,-0.019791378,0.215174422,0.294362724,0.004186405,0.228126928,0.26941523,-0.015184371,0.221254483,0.307122082,-0.026880994,0.21459429,0.337771893,-0.030601848,0.219885468,0.307397962,-0.003666292,0.233764753,0.282253593,-0.021687122,0.226216719,0.312607795,-0.027154118,0.218987614,0.34056747,-0.025718721,0.228180751,0.321674347,-0.011616654,0.238666475,0.294723958,-0.020347593,0.231566504,0.296886235,-0.021689519,0.225817144,0.301239491,-0.020562548
I,0.47074753,0.261032164,-0.370992541,0.49391517,0.226469383,-0.343275905,0.50903672,0.228155315,-0.343304604,0.521207511,0.230022773,-0.343453616,0.452224165,0.224918306,-0.32520625,0.43970713,0.225524664,-0.325190276,0.429953992,0.225708827,-0.325573236,0.546906233,0.259737194,-0.153418794,0.420452774,0.252490342,-0.064245261,0.499767721,0.317049444,-0.301916957,0.443128198,0.313521683,-0.277596354,0.646765351,0.520992696,-0.073070869,0.33179915,0.464530349,0.065065831,0.6879462,0.843225598,-0.13769488,0.145831972,0.701481998,-0.207021907,0.610822141,1.023054481,-0.350342095,0.201763302,0.431050122,-0.691076577,0.604566693,1.10593307,-0.409574032,0.211981148,0.349114358,-0.789988756,0.572803438,1.072057486,-0.417100817,0.23617132,0.330345571,-0.743282497,0.553423941,1.020233154,-0.359206796,0.247748584,0.35758543,-0.68717593,0.55133152,1.001627326,-0.038942952,0.352345765,0.971886992,0.040675052,0.559505463,1.335861802,-0.324640751,0.273012549,1.312035799,-0.215934798,0.513105094,1.783200383,-0.033135008,0.296747178,1.788101196,-0.112199679,0.510104001,1.83808279,-0.019978996,0.303505898,1.844665289,-0.113525435,0.475680649,1.939559221,-0.33851862,0.307962894,1.963209987,-0.434359789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193947807,0.404212952,-4.18E-07,0.232663468,0.374190867,-0.005353133,0.259255022,0.346279681,-0.00892595,0.264896184,0.314778298,-0.015894085,0.256906003,0.289703012,-0.021785978,0.251501888,0.296784848,0.005652156,0.250848055,0.278738886,-0.008897361,0.240377784,0.307122558,-0.020258714,0.233036011,0.331721276,-0.024868328,0.230607197,0.290008366,0.00204715,0.231543928,0.272430867,-0.017011615,0.222227544,0.306891322,-0.028188743,0.214962319,0.338439047,-0.030931395,0.210602403,0.287216067,-0.00364106,0.211807743,0.265305221,-0.020756222,0.208282679,0.297169238,-0.024528181,0.205516651,0.326890796,-0.021176463,0.191662177,0.288823575,-0.009860147,0.189833686,0.251586318,-0.016435996,0.189586952,0.231075644,-0.016410384,0.190110505,0.212917507,-0.014024466
I,0.479411542,0.264545083,-0.31762296,0.502788126,0.226160944,-0.293894649,0.516798556,0.227979049,-0.293918937,0.527918518,0.229541361,-0.294256479,0.458513647,0.222384214,-0.276183248,0.445043862,0.222436368,-0.276160538,0.435011327,0.222704649,-0.27652511,0.552093863,0.257940233,-0.128712311,0.424091905,0.249915257,-0.038190603,0.507552087,0.322313309,-0.255764008,0.451388538,0.318657517,-0.230962008,0.647656798,0.521868348,-0.059335005,0.336362928,0.46516937,0.096316934,0.690826178,0.835103095,-0.084726341,0.143043607,0.732096791,-0.150041237,0.636009336,1.041606903,-0.238611013,0.197815537,0.437589824,-0.590132296,0.628386617,1.115655303,-0.2863608,0.198328972,0.347015262,-0.671309471,0.597688556,1.081071734,-0.289565444,0.223053142,0.330164135,-0.623553395,0.585789561,1.05561316,-0.243897945,0.240619451,0.361042321,-0.584009767,0.556492805,0.997466266,-0.033869833,0.3594504,0.968761861,0.03527648,0.601329565,1.306953788,-0.457023293,0.294245183,1.316492558,-0.222240597,0.511575282,1.73754549,-0.109529331,0.308101386,1.757778645,-0.040419832,0.49927634,1.78818953,-0.09404137,0.312115937,1.802761316,-0.032461938,0.468939692,1.901429296,-0.412413687,0.329717517,1.958375692,-0.355569869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196489364,0.404083401,-3.92E-07,0.2320728,0.377484798,-0.007322731,0.261402816,0.348727405,-0.011102409,0.265085459,0.315999776,-0.017711453,0.256700814,0.293464512,-0.02291245,0.251919806,0.299443364,0.003451808,0.249842376,0.279591352,-0.011838477,0.239103138,0.308319777,-0.022310244,0.233042121,0.332407445,-0.025770457,0.229744792,0.292591482,0.001132391,0.228739649,0.274071664,-0.019475931,0.220816955,0.310714006,-0.029219121,0.216831997,0.341734618,-0.030006558,0.210032478,0.290492326,-0.003490905,0.208580017,0.267807454,-0.022276044,0.206943467,0.302154839,-0.024903765,0.20746839,0.332030207,-0.019769473,0.191124678,0.291802168,-0.008693495,0.191004902,0.255976319,-0.016232194,0.190387368,0.237368435,-0.016042456,0.19032979,0.220014721,-0.012815676
I,0.480380237,0.265548348,-0.421958447,0.503618181,0.229215682,-0.39090544,0.517887354,0.23126936,-0.390721262,0.528666496,0.233408272,-0.390672892,0.459814847,0.226718962,-0.377864808,0.446494758,0.227017641,-0.377695173,0.436357081,0.226934567,-0.3780469,0.551796913,0.263212502,-0.180012703,0.42431426,0.252392709,-0.106632128,0.508011222,0.321040452,-0.348138571,0.451242983,0.315693676,-0.328215867,0.644719422,0.527231276,-0.08317785,0.330205262,0.472113967,0.008240014,0.691334069,0.843524575,-0.127386361,0.148816973,0.707968473,-0.265194178,0.605235219,1.009187698,-0.300279558,0.197262049,0.436092257,-0.793302655,0.596216083,1.095596194,-0.352125704,0.206596404,0.354509085,-0.902185619,0.562071502,1.061478972,-0.352553159,0.229946524,0.331255019,-0.848596752,0.56207335,0.999626458,-0.308520406,0.241782099,0.357503593,-0.79027766,0.562034428,1.013677835,-0.014816833,0.352037847,0.993581593,0.017870031,0.535591066,1.503079772,-0.072549269,0.329195023,1.475962281,0.012411985,0.508502305,1.913487911,0.21478124,0.301725239,1.884296536,0.176175967,0.511494815,1.971375704,0.220181257,0.292630315,1.943135381,0.180517063,0.468446314,2.047543526,-0.158650473,0.317927897,2.024138451,-0.23052749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197122827,0.409198076,-4.12E-07,0.236460879,0.376863718,-0.006456102,0.262175679,0.349570066,-0.010066731,0.267526507,0.318557769,-0.01737201,0.258548379,0.293362409,-0.023406317,0.249937564,0.297293752,0.00798423,0.254171312,0.280938596,-0.006203906,0.245654404,0.310890853,-0.017507752,0.239116505,0.331971318,-0.022541072,0.228733987,0.293264687,0.004102925,0.232274562,0.276678801,-0.016839631,0.223564371,0.313792259,-0.029401291,0.21748884,0.343266487,-0.032675333,0.208787575,0.292703837,-0.002224477,0.212354854,0.269986272,-0.022636117,0.209782377,0.304391325,-0.027798211,0.207656443,0.33452481,-0.024357824,0.190279081,0.29523629,-0.009085201,0.190573245,0.259349406,-0.018606694,0.190054297,0.237556726,-0.020132344,0.190624133,0.216950715,-0.018268727
I,0.495520771,0.261843443,-0.340955049,0.517351806,0.225471362,-0.312978715,0.52893436,0.227920592,-0.31294769,0.539401472,0.230361521,-0.313109845,0.474902779,0.221122026,-0.303037047,0.461292803,0.220777571,-0.303089559,0.449538141,0.221252978,-0.303579152,0.558395624,0.25920856,-0.12261226,0.432458878,0.245576441,-0.068668865,0.520439625,0.320401311,-0.272916526,0.466404766,0.313227475,-0.258823395,0.642130375,0.513895094,-0.084598102,0.333325058,0.464646816,0.049638338,0.696796715,0.827146232,-0.175455019,0.143251628,0.747854829,-0.254609168,0.632026792,1.005717158,-0.430465758,0.199241251,0.440622807,-0.749385417,0.61907661,1.111397028,-0.491989046,0.198040813,0.351235271,-0.842908561,0.585748971,1.070719123,-0.498219013,0.22639975,0.32604,-0.791522026,0.578496873,1.043368697,-0.439927489,0.248988777,0.35948056,-0.742920458,0.552070141,0.991439939,-0.038205564,0.357028544,0.968460023,0.040016565,0.575643778,1.393013,-0.327876031,0.309524924,1.390383959,-0.211135939,0.525431871,1.794305086,-0.008361879,0.331019431,1.780249119,-0.128051773,0.523914039,1.851594329,0.002086435,0.333352298,1.822379351,-0.132307798,0.481887728,1.926316738,-0.315913856,0.356602401,1.957203269,-0.459888041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197963104,0.420704097,-4.30E-07,0.23518154,0.385217667,-0.006790867,0.262033671,0.351808101,-0.010634616,0.265672207,0.317654461,-0.017940575,0.255499989,0.293508321,-0.023857893,0.248149782,0.299797148,0.007373941,0.250324219,0.282451004,-0.009531756,0.239084899,0.312440902,-0.022694871,0.230086118,0.337552428,-0.02745338,0.227146551,0.295859575,0.004228616,0.23072648,0.279408276,-0.017488986,0.22194846,0.314936459,-0.030348005,0.216626033,0.346806347,-0.03287074,0.208325148,0.294916868,-0.001489911,0.211977199,0.274291873,-0.020913173,0.208749652,0.306191742,-0.026125968,0.207043603,0.336178869,-0.022172743,0.190941542,0.297246993,-0.007837468,0.189546913,0.258392155,-0.015149571,0.18675077,0.237257212,-0.015360054,0.18501991,0.220709175,-0.011996367
I,0.490534455,0.268059134,-0.399474055,0.511495411,0.232185125,-0.371262968,0.524585485,0.234293878,-0.371296823,0.534469366,0.236230671,-0.371468067,0.469802916,0.229118347,-0.360889643,0.456795871,0.229860306,-0.360810041,0.445866674,0.230252445,-0.361281693,0.553981125,0.265042424,-0.171912104,0.431016058,0.254970014,-0.112750962,0.51662904,0.325106978,-0.327620566,0.461800754,0.318863392,-0.312472433,0.645213127,0.524287701,-0.090656638,0.329843581,0.474445462,0.009109888,0.687798262,0.835097075,-0.127592623,0.142259359,0.745119214,-0.27506882,0.63136965,1.017420769,-0.336661994,0.200600579,0.441594124,-0.782971382,0.62219435,1.108565807,-0.391136765,0.206877679,0.355019629,-0.879615664,0.590435266,1.07277894,-0.398443311,0.230841354,0.334513366,-0.82999289,0.574446201,1.001705527,-0.345867634,0.244847924,0.361339509,-0.777178824,0.561021566,1.00587666,-0.008022158,0.359777987,0.991544485,0.010312841,0.559866846,1.443106413,-0.251755565,0.323948234,1.434332728,-0.037660826,0.521649301,1.835037947,0.056831539,0.315722704,1.827211857,0.077339441,0.519344389,1.885920405,0.069919065,0.307633638,1.884604216,0.076904505,0.487837225,1.985943556,-0.255216688,0.344743431,1.970013142,-0.266379505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198391631,0.409573853,-3.88E-07,0.235236928,0.377225339,-0.008239727,0.259589583,0.349151909,-0.012753386,0.264151365,0.318266481,-0.020150455,0.254884273,0.293578953,-0.026215656,0.243121982,0.296297163,0.004345413,0.243195802,0.285220057,-0.011441229,0.235738456,0.315236509,-0.023236072,0.230632678,0.33825472,-0.027465072,0.223931879,0.292694926,0.002047764,0.225999624,0.282277673,-0.018289668,0.219004318,0.318821907,-0.02952436,0.21502015,0.349794358,-0.031629648,0.206077725,0.292750835,-0.00272935,0.207792133,0.276648521,-0.021573145,0.205959871,0.308517665,-0.025837369,0.206074044,0.337613136,-0.021828692,0.18931073,0.295618504,-0.008229248,0.189047039,0.259323001,-0.015637835,0.189080909,0.23848027,-0.015752606,0.190208152,0.221329048,-0.012765877
I,0.489738554,0.267045915,-0.393825531,0.510632336,0.230791435,-0.367004484,0.523828328,0.232705534,-0.366991401,0.533917665,0.234692231,-0.367210835,0.468809903,0.227945149,-0.355582952,0.455634028,0.228500903,-0.355450153,0.444619,0.228823662,-0.35583359,0.554835081,0.262771666,-0.170914665,0.431085587,0.252697825,-0.108048461,0.515604675,0.322798043,-0.322200328,0.461729914,0.318457723,-0.30542919,0.644752264,0.518452108,-0.093006909,0.331466973,0.470979422,0.01269356,0.690953732,0.827544928,-0.149871409,0.144327223,0.741122842,-0.288985461,0.635380387,1.009089231,-0.373295397,0.20267038,0.43864435,-0.796385765,0.630751014,1.101427197,-0.432673037,0.207948804,0.349181294,-0.892781138,0.597541273,1.067986012,-0.437940419,0.23355937,0.331072986,-0.844976604,0.579511464,0.995967567,-0.38178739,0.248752877,0.357909381,-0.790603936,0.559390545,0.994187117,-0.008312108,0.358431816,0.97777015,0.010501484,0.572670877,1.40549469,-0.243119448,0.32274121,1.411991358,-0.066437423,0.528268337,1.801898241,0.033518586,0.317857087,1.801585674,-0.014479448,0.523631871,1.853986263,0.043676097,0.311264396,1.85692203,-0.021680836,0.498960584,1.950180054,-0.273195028,0.347642124,1.945430756,-0.358857214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19764705,0.408971101,-4.02E-07,0.23469393,0.379110456,-0.007937822,0.260072768,0.349588066,-0.012293315,0.264969498,0.31812638,-0.019336034,0.255755037,0.294316322,-0.02492748,0.245554999,0.301271707,0.002168453,0.24697879,0.282794267,-0.013021567,0.239160419,0.312315941,-0.024096418,0.232550785,0.336553842,-0.028251451,0.224953264,0.297188401,-0.000398315,0.226347491,0.281091422,-0.019464225,0.219657376,0.315915167,-0.030056208,0.21531111,0.345130086,-0.032609012,0.20595181,0.296531588,-0.005162368,0.207860589,0.272595137,-0.022637336,0.206110567,0.303957999,-0.025938654,0.205173567,0.33262825,-0.022301266,0.188165143,0.298803777,-0.0106488,0.187447697,0.261796683,-0.01767385,0.187662303,0.240857676,-0.01751793,0.188920051,0.222486556,-0.014913286
