class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75
L,0.525468767,0.343106747,-1.232218862,0.549791157,0.305021822,-1.21070087,0.562610865,0.30400461,-1.210195303,0.575235665,0.302915871,-1.21043539,0.501957774,0.30522278,-1.205976009,0.484693438,0.304809153,-1.206330061,0.471774429,0.304600537,-1.206484675,0.600717425,0.305450916,-0.942083478,0.456343323,0.311015606,-0.91820991,0.549987435,0.390883714,-1.12209034,0.498191893,0.388750672,-1.115512609,0.669973612,0.474806279,-0.676490605,0.398521185,0.451238632,-0.647736371,0.853245854,0.439377934,-0.919389904,0.195933014,0.303727329,-0.573461056,0.696101129,0.307121694,-0.870670915,0.411665201,0.296260893,-0.051547837,0.647543669,0.291522443,-0.893470943,0.459763229,0.259389877,-0.02669082,0.629857302,0.309698164,-0.771737695,0.472072065,0.305761635,0.098870173,0.63962847,0.321956635,-0.827840686,0.452785015,0.319206059,-0.004597904,0.602868438,0.934241235,-0.019808255,0.417276859,0.93268609,0.02061094,0.60782969,1.279379725,0.271911502,0.410584539,1.292485356,0.460818291,0.556074023,1.527590036,0.832884908,0.400148213,1.554142475,1.033809423,0.54241389,1.571170568,0.881552815,0.406004846,1.604112864,1.088596582,0.546736836,1.658839464,0.628391683,0.398099035,1.673992634,0.815572858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L,0.516331077,0.262390196,-0.496372283,0.541619837,0.227432549,-0.461623847,0.555919886,0.228536308,-0.461636841,0.568761528,0.230040491,-0.461637795,0.494319856,0.227357998,-0.449714899,0.479301363,0.22950922,-0.449657381,0.46819514,0.232258022,-0.4500646,0.593733609,0.255876839,-0.241555721,0.452534854,0.25984931,-0.1807708,0.547404349,0.32034719,-0.415857732,0.489854962,0.320293546,-0.400464475,0.679793954,0.492104948,-0.166093528,0.368138015,0.469877303,-0.018026061,0.752648175,0.802376091,-0.230992749,0.170990556,0.638191223,-0.426116228,0.689596891,0.988811612,-0.406516939,0.251500845,0.396941602,-1.018425703,0.67516613,1.072398663,-0.458539248,0.267915547,0.328798652,-1.12295568,0.640237212,1.042890906,-0.442890882,0.293048859,0.319330871,-1.052172899,0.643015921,0.992860258,-0.403812647,0.301929772,0.350958139,-1.006861806,0.607769191,0.967598855,-0.067517772,0.401851743,0.9670614,0.069735445,0.595837414,1.357741833,-0.179240227,0.407398403,1.352279425,0.279689789,0.577564776,1.702283144,0.071885824,0.391605973,1.687910795,0.556677938,0.580239356,1.756724238,0.078927726,0.388882369,1.743243098,0.576028943,0.54472965,1.824674964,-0.259277821,0.391666055,1.808662891,0.263091147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247026712,0.375723541,1.11E-08,0.277510703,0.367094636,-0.018113691,0.307936639,0.349364936,-0.029043229,0.334377795,0.340123594,-0.039610952,0.35564816,0.341969967,-0.050572705,0.28994447,0.28566578,-0.018217457,0.298063457,0.238037229,-0.031464484,0.301284909,0.209069923,-0.03994954,0.304161578,0.184264302,-0.045956071,0.269147903,0.282311648,-0.017124271,0.262559414,0.264783591,-0.040224478,0.259837121,0.300418913,-0.046062432,0.261171132,0.326915681,-0.04473925,0.249717385,0.286246181,-0.017719721,0.242851719,0.276407778,-0.038633466,0.244119614,0.308629215,-0.036120027,0.247975439,0.330463678,-0.028659543,0.232054323,0.29441303,-0.019993016,0.227294192,0.283355206,-0.0333867,0.231095612,0.308416903,-0.029949499,0.236583844,0.326939821,-0.023375126
L,0.515787661,0.258265674,-0.387281924,0.539637148,0.224225998,-0.356330782,0.554900229,0.225197494,-0.356372267,0.569110334,0.22587961,-0.356449038,0.491938502,0.225212276,-0.343145221,0.478362888,0.227816716,-0.342956483,0.468679249,0.230965555,-0.343441725,0.596558154,0.253566146,-0.159246996,0.457502782,0.261304557,-0.087607443,0.550299942,0.315060198,-0.315589309,0.489132404,0.317443252,-0.297285348,0.691644251,0.488770217,-0.083600976,0.379367858,0.463627398,0.026588205,0.752988815,0.790029883,-0.166824207,0.175750136,0.622091055,-0.317207277,0.683312595,0.984165847,-0.343762994,0.268422216,0.382676393,-0.803876221,0.661530256,1.073208332,-0.40020141,0.283582568,0.318976402,-0.902044892,0.628930807,1.041487455,-0.391456544,0.306272328,0.310184181,-0.834356189,0.630133331,0.986151397,-0.346072197,0.314966142,0.342061222,-0.792533517,0.61181879,0.986329973,-0.0336794,0.407433808,0.971869707,0.03630146,0.594327033,1.374591947,-0.185731217,0.392650604,1.365093589,0.171908319,0.568506062,1.747469425,0.008654689,0.372565418,1.735120058,0.358360469,0.570691049,1.800913334,0.008592757,0.366990447,1.79175508,0.368284076,0.528812528,1.87648201,-0.338777035,0.380519331,1.865533829,0.048633233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262543082,0.366066247,4.00E-08,0.292702585,0.359128475,-0.019249231,0.323167682,0.340990216,-0.029854773,0.349825919,0.329145849,-0.039486911,0.370429993,0.328887492,-0.049238194,0.304591179,0.279274136,-0.019962311,0.311867535,0.232831597,-0.034170084,0.314935148,0.202468693,-0.043081094,0.316903949,0.177436888,-0.049453545,0.282978743,0.276281804,-0.018866189,0.2784383,0.254594773,-0.043261301,0.275948077,0.290171325,-0.049317356,0.276884615,0.317473203,-0.048003145,0.263086379,0.280439734,-0.019666774,0.25711596,0.267364502,-0.042208426,0.258946806,0.300638735,-0.039479539,0.263165087,0.323012799,-0.031749438,0.245046586,0.288484335,-0.022212327,0.240189165,0.276895732,-0.0367411,0.244224191,0.301923007,-0.033803944,0.250247896,0.319693923,-0.027809875
L,0.516471744,0.262003124,-0.474394858,0.540394366,0.228076994,-0.441604465,0.555161536,0.229013205,-0.441427171,0.568090379,0.229843006,-0.441394985,0.493331432,0.229547635,-0.426757514,0.480201334,0.232470691,-0.426484197,0.470911562,0.235198677,-0.426859766,0.596803486,0.258172274,-0.218596458,0.461431563,0.263353646,-0.137226135,0.551353812,0.318159044,-0.393822104,0.489363849,0.320114315,-0.371920735,0.696338713,0.496670663,-0.122617006,0.377075195,0.469224453,-0.014237961,0.749069571,0.812774658,-0.209411412,0.173355192,0.625001788,-0.359608769,0.67748934,0.994932711,-0.396030545,0.273299098,0.380480647,-0.876463115,0.661875844,1.090128064,-0.458547682,0.289651573,0.317602515,-0.983187675,0.627003193,1.063632965,-0.444455236,0.313201755,0.313492358,-0.913660824,0.620080709,0.992348909,-0.398436457,0.320663929,0.345668495,-0.865051448,0.615569234,0.995626748,-0.041808482,0.398212075,0.986086667,0.044790376,0.588097572,1.46351409,-0.071818575,0.383437037,1.439661503,0.143546537,0.55588001,1.844207764,0.272844255,0.353498012,1.821587086,0.440808356,0.557865322,1.896286249,0.285707057,0.344843864,1.878374934,0.463024557,0.514642358,1.980577707,-0.097028442,0.368584335,1.959911823,0.067802802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263417542,0.367174327,4.61E-08,0.292584449,0.360091388,-0.018919762,0.32194379,0.341555595,-0.029444955,0.348532617,0.329721004,-0.039026082,0.369527698,0.328932285,-0.04865586,0.304761857,0.280037671,-0.019637099,0.311694324,0.233513221,-0.033577293,0.314275205,0.202944219,-0.042150762,0.316142887,0.178100884,-0.048292279,0.28364116,0.277355433,-0.018713662,0.279740453,0.255808949,-0.042754997,0.277009934,0.290033579,-0.048769772,0.277780563,0.316599727,-0.047498915,0.264004201,0.281559229,-0.019656984,0.258991957,0.268967628,-0.042348783,0.260159671,0.302201122,-0.039690111,0.263953686,0.324197799,-0.031943943,0.245875254,0.289430887,-0.02223455,0.2416365,0.277324617,-0.036988717,0.24559918,0.30234462,-0.034011651,0.25153476,0.320311636,-0.027908029
L,0.518935621,0.264672577,-0.482583612,0.544813931,0.226654395,-0.450258315,0.559970558,0.227033675,-0.45018512,0.573945582,0.22765106,-0.450117588,0.495066077,0.2295627,-0.438559294,0.480779648,0.232432023,-0.43834728,0.471393198,0.235750496,-0.438777208,0.600865722,0.256852508,-0.228006721,0.460669667,0.264992654,-0.161509678,0.553662241,0.322380424,-0.402058899,0.490447521,0.324042976,-0.385007977,0.695591033,0.501623571,-0.126789287,0.382834196,0.473271847,-0.030819673,0.760343432,0.820806921,-0.186006308,0.176287889,0.62836957,-0.374074697,0.683247328,0.998723328,-0.36343655,0.276117891,0.376446307,-0.881456017,0.660808265,1.096148372,-0.418747246,0.288680434,0.313071519,-0.984786153,0.626410961,1.060747743,-0.40608272,0.310813546,0.306587219,-0.914678931,0.627774477,0.997802913,-0.363814443,0.320245266,0.339875579,-0.870310903,0.615428209,0.999340832,-0.030673385,0.404428303,0.986988962,0.033509467,0.593149841,1.447610855,-0.043638185,0.391054213,1.421465158,0.139687762,0.570631206,1.81508255,0.294142097,0.370940268,1.791777015,0.422778904,0.574051738,1.864920735,0.307480931,0.363623798,1.846959591,0.443390667,0.533435047,1.950229883,-0.054992162,0.389289021,1.926774621,0.068997793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26239717,0.365989417,4.78E-08,0.291021854,0.359037489,-0.01919499,0.320697308,0.340617836,-0.029625833,0.347153127,0.329471827,-0.039055463,0.367197305,0.328614712,-0.048671249,0.302733094,0.279736847,-0.01966887,0.309436917,0.233946115,-0.033536732,0.312037766,0.203237548,-0.042380512,0.313720047,0.178379968,-0.048750445,0.281635195,0.277696073,-0.018426934,0.275400668,0.255862623,-0.042403817,0.272675604,0.289986968,-0.04851706,0.274060726,0.317921877,-0.047320276,0.26209119,0.28247878,-0.019083086,0.255186677,0.269355655,-0.04125835,0.257281333,0.301787525,-0.038708456,0.261967242,0.325024962,-0.031204058,0.244485289,0.291182786,-0.021484219,0.239207745,0.279359519,-0.036099028,0.243192747,0.303642154,-0.033449326,0.249623507,0.321821988,-0.027645668
L,0.525460541,0.265168428,-0.609798491,0.550271869,0.228918016,-0.576889277,0.563901305,0.229702607,-0.576806605,0.576542914,0.230965137,-0.576697826,0.501264215,0.229731083,-0.560922742,0.488031298,0.231603086,-0.560884953,0.479283571,0.233608723,-0.561121464,0.601884723,0.25680697,-0.356885165,0.466484487,0.262052894,-0.274615377,0.556857944,0.323657632,-0.528122008,0.500361383,0.324279487,-0.506571949,0.690532923,0.499060899,-0.286386311,0.388422966,0.469508052,-0.062483527,0.767198622,0.818865597,-0.358674139,0.178222358,0.628075719,-0.390238285,0.639872968,0.932327628,-0.489704698,0.272303224,0.389420241,-0.895359039,0.605666637,0.997422218,-0.542933941,0.289648026,0.327966094,-0.98998034,0.565857828,0.963665068,-0.499135792,0.315329343,0.322834849,-0.908114433,0.571153998,0.939044952,-0.471502006,0.321246028,0.35381496,-0.880476475,0.60500139,0.970403433,-0.067578241,0.40727371,0.961702883,0.069775663,0.591325819,1.380777597,0.077560447,0.411097676,1.369795084,0.355059475,0.576528847,1.686564922,0.64983207,0.390363216,1.676962376,0.858550727,0.580777407,1.740390062,0.691223383,0.388904244,1.734009862,0.904055595,0.540525615,1.817487955,0.389362067,0.395812571,1.806165218,0.593601644,0.643369019,0.916732311,1.63E-08,0.596169472,0.914205015,0.001103257,0.556252718,0.94024384,-0.000566331,0.530954778,0.965900004,-0.002807411,0.509436309,0.982081532,-0.005547219,0.545518935,0.98792845,-0.00620522,0.518496275,1.039314985,-0.012530588,0.506127477,1.070863843,-0.01668627,0.499499351,1.094263315,-0.019357087,0.563986957,1.007552385,-0.010746404,0.53858763,1.061463475,-0.015745183,0.527140319,1.092887044,-0.018555267,0.520563185,1.118375421,-0.020661497,0.585592091,1.021910667,-0.014758423,0.56387651,1.074540377,-0.018270703,0.552963734,1.103065968,-0.015665768,0.546518207,1.125472069,-0.013997966,0.608584702,1.030813694,-0.018669132,0.591958463,1.075537443,-0.020767448,0.582916379,1.101127028,-0.01676378,0.578439713,1.121810794,-0.013062744,0.26462245,0.365286678,1.43E-08,0.293459713,0.358474731,-0.018996077,0.322102487,0.339604557,-0.029524826,0.348401517,0.32764715,-0.039033998,0.369128823,0.325903237,-0.048587043,0.305372298,0.278648138,-0.01942133,0.311107188,0.232192591,-0.033922166,0.313060433,0.20148021,-0.043389164,0.314389557,0.176335722,-0.050344307,0.284181327,0.277131617,-0.018631374,0.277434677,0.254388332,-0.043192644,0.275234848,0.289779067,-0.049840596,0.276992977,0.317063242,-0.049273379,0.265045702,0.282314748,-0.019782735,0.257331222,0.267028123,-0.042856399,0.258926123,0.300229818,-0.04038639,0.263285458,0.323188335,-0.033002257,0.247499958,0.290937334,-0.022612859,0.24082011,0.27692613,-0.038296036,0.24497667,0.301790446,-0.035863709,0.252058834,0.320297003,-0.030188857
L,0.539117873,0.232127666,-0.484127134,0.561048806,0.192839801,-0.448401868,0.574726999,0.193383217,-0.448409259,0.587843537,0.194005787,-0.448442638,0.513364434,0.191345632,-0.441993147,0.498213142,0.19184947,-0.442022711,0.485827744,0.193842709,-0.442487627,0.605083048,0.217620194,-0.225157261,0.469905943,0.221487284,-0.181763306,0.565703928,0.288423002,-0.403629214,0.507854521,0.290711135,-0.393820405,0.706226707,0.469442666,-0.156856865,0.3803491,0.460312188,-0.019256074,0.777178764,0.807500005,-0.209587887,0.187854141,0.64830339,-0.34657234,0.65068835,0.992215037,-0.331838608,0.261498809,0.401305854,-0.85761106,0.62662971,1.092210889,-0.374177456,0.264596701,0.329986393,-0.950515389,0.589843333,1.051996708,-0.343500763,0.295414954,0.321175218,-0.875553906,0.58344543,0.982549012,-0.320803761,0.309370577,0.349627972,-0.844455361,0.637811184,0.984028876,-0.034395497,0.432303429,0.98198539,0.036479622,0.636713386,1.439210653,0.078305759,0.430267751,1.423547626,0.168695971,0.623942852,1.7950176,0.532083631,0.422733486,1.779258132,0.496842444,0.628837168,1.846359968,0.558383346,0.418369204,1.834486127,0.523123384,0.592563748,1.936732173,0.226499245,0.446236223,1.920976043,0.170784593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248294115,0.377077729,6.79E-08,0.276190013,0.367836148,-0.021150982,0.305219591,0.34610039,-0.033229437,0.331350565,0.332308859,-0.043896418,0.35323298,0.327994466,-0.054555092,0.281808943,0.282305837,-0.021559322,0.284486085,0.233871043,-0.036295444,0.284450293,0.202751532,-0.045383044,0.283738673,0.176190659,-0.051806256,0.26142326,0.280208647,-0.019348951,0.252050042,0.266707063,-0.044327788,0.25123018,0.304248422,-0.050540127,0.254425347,0.329188228,-0.048956804,0.242330477,0.285030395,-0.019137418,0.232237279,0.281573594,-0.04245973,0.235777617,0.315835178,-0.039613955,0.242732346,0.33395806,-0.031318188,0.225075543,0.293451935,-0.020721655,0.216449291,0.288553953,-0.035952225,0.222242489,0.315103114,-0.032535538,0.230980635,0.330416143,-0.025504127
L,0.553876162,0.285520017,-0.668066621,0.578412354,0.250409842,-0.638543487,0.593219399,0.252019107,-0.638623595,0.606177807,0.253626645,-0.63867569,0.530207634,0.246491015,-0.628951907,0.515253782,0.24652952,-0.629122496,0.504451513,0.247947082,-0.629576087,0.627300143,0.274753153,-0.421137512,0.489045769,0.273597419,-0.365050495,0.581409097,0.34286803,-0.586194813,0.52481389,0.340308011,-0.57280165,0.710075617,0.494544685,-0.35337919,0.412384927,0.469942093,-0.147208884,0.752534449,0.850718141,-0.447570235,0.209478289,0.63225162,-0.454123437,0.541094184,0.937308729,-0.564197481,0.280598462,0.401145756,-0.934820533,0.486561477,0.969965339,-0.606487215,0.293174714,0.338873327,-1.012075543,0.462085903,0.930100739,-0.549921989,0.316129029,0.33449924,-0.938931644,0.470969051,0.91226542,-0.538736045,0.323886365,0.363442898,-0.918850243,0.626930058,0.964122891,-0.054265261,0.445412576,0.949739158,0.055738676,0.616770029,1.366214991,-0.107675508,0.432330906,1.349918485,0.147388995,0.605861008,1.677474856,0.333277375,0.441506684,1.666249514,0.510747671,0.615651429,1.725887656,0.361528844,0.442666441,1.715634465,0.541598439,0.563012481,1.803396821,0.065829992,0.44656691,1.79699862,0.252897292,0.558938205,0.938613474,-1.83E-07,0.527433932,0.90722388,-0.000722115,0.486889064,0.893195391,-0.008343808,0.457955062,0.909572959,-0.016138209,0.448331356,0.942154825,-0.023776133,0.484899849,0.890463233,-0.023155916,0.43775633,0.931185067,-0.03830611,0.451220512,0.93675977,-0.045247871,0.468980312,0.927456915,-0.047259919,0.496127993,0.924767315,-0.028964201,0.445680797,0.964067161,-0.041632578,0.459798455,0.966481566,-0.043118734,0.478937864,0.955997348,-0.042659383,0.505360365,0.959136248,-0.033904463,0.460224837,0.993381441,-0.04193401,0.472657233,0.992911041,-0.035241306,0.489609331,0.982487142,-0.029734524,0.512404501,0.992371976,-0.038574859,0.475208849,1.01353097,-0.041975621,0.485403866,1.009921312,-0.034509264,0.500470281,1.001505017,-0.028583892,0.267327815,0.379994094,6.05E-08,0.296180904,0.374269724,-0.019196145,0.327044427,0.354453474,-0.030132929,0.354100049,0.342822909,-0.039941255,0.375614196,0.341960073,-0.049859036,0.309917569,0.294613063,-0.021333998,0.316536427,0.24505198,-0.035989217,0.318839103,0.213812977,-0.045045678,0.320220232,0.187889725,-0.051502738,0.288864255,0.289934784,-0.019956384,0.283736497,0.273550242,-0.04504212,0.280267745,0.309980839,-0.050789405,0.280644685,0.334936202,-0.049179804,0.268578738,0.292133451,-0.020382604,0.261379123,0.282250404,-0.043258179,0.26276055,0.316165328,-0.039434165,0.267160207,0.336465895,-0.031014379,0.249778524,0.298222601,-0.022484979,0.243762389,0.28850469,-0.037500516,0.248051912,0.315319866,-0.033594653,0.25453338,0.3323524,-0.026637981
L,0.560490727,0.271217287,-0.618969321,0.585081518,0.23815918,-0.591268539,0.598382711,0.240407288,-0.591302514,0.610012949,0.242873251,-0.591330826,0.539988875,0.232954636,-0.577612817,0.525263608,0.232469261,-0.577669621,0.513434708,0.233314455,-0.578039587,0.626826346,0.265792429,-0.376785159,0.498144388,0.255941153,-0.303564757,0.583225429,0.328221321,-0.538565695,0.531857371,0.321825862,-0.52030772,0.710160077,0.500202477,-0.310389519,0.410526365,0.456777573,-0.091665715,0.7445696,0.855791926,-0.361642569,0.204305202,0.631570101,-0.380713493,0.558067203,0.948702157,-0.450920403,0.285774946,0.397951782,-0.85088414,0.508980215,0.981792986,-0.491239011,0.297494829,0.336105168,-0.928864658,0.491394609,0.938065767,-0.437904924,0.3194139,0.327641964,-0.852573693,0.500780523,0.926318526,-0.425847441,0.328082025,0.357391655,-0.833790183,0.619556606,0.970861971,-0.052839022,0.430003554,0.947987199,0.054744363,0.605926991,1.381351352,0.008855093,0.420215696,1.366436243,0.293656558,0.590647459,1.695838571,0.555168569,0.415143877,1.680780172,0.754037499,0.597260177,1.748125911,0.594877779,0.411965847,1.733215094,0.796497881,0.555909455,1.825716376,0.298019469,0.426130831,1.815321684,0.483350694,0.546842694,0.951509714,-1.69E-08,0.521508396,0.917381048,-0.014768895,0.490370005,0.906841874,-0.020347789,0.459751099,0.913666427,-0.023031093,0.438566685,0.926602006,-0.022395872,0.48249194,0.970954716,-0.014063206,0.438678563,0.966275692,-0.021134423,0.45048216,0.943269253,-0.024142757,0.466987401,0.939619184,-0.023822553,0.484626263,0.988137364,-0.007102408,0.443363398,0.977406919,-0.012020992,0.453237414,0.953451693,-0.015090767,0.467011571,0.95194602,-0.016530756,0.487391323,0.993395746,-0.000953501,0.451806843,0.981236756,-0.003887659,0.459395885,0.960725904,-0.003152072,0.471115023,0.957827091,-0.002115626,0.489371002,0.992494166,0.004073466,0.460987657,0.985553265,0.002258668,0.465070784,0.970006824,0.003986014,0.476253211,0.966516733,0.005857058,0.274316013,0.368844897,5.26E-08,0.303709388,0.365898103,-0.019418951,0.335263222,0.347908437,-0.03025816,0.362820745,0.33699882,-0.039782118,0.383416831,0.335275918,-0.04963053,0.319091976,0.287832677,-0.021856586,0.326294273,0.241517201,-0.036619201,0.328373641,0.210935339,-0.045889743,0.32942757,0.184672534,-0.052453652,0.298519969,0.281901836,-0.020152282,0.292586803,0.265075505,-0.045046136,0.287971795,0.302012563,-0.050715983,0.287956566,0.328109503,-0.04890082,0.278073221,0.283013672,-0.020243449,0.270368367,0.273665607,-0.043006584,0.271102726,0.307884753,-0.039533336,0.275212198,0.329296529,-0.03114206,0.25898385,0.288503677,-0.021980846,0.252894729,0.279083222,-0.037188634,0.256459206,0.305977941,-0.033721633,0.262596339,0.32356897,-0.026913758
L,0.570268512,0.290668607,-0.574659467,0.595718563,0.257256329,-0.545664251,0.609707415,0.259211898,-0.545701683,0.622891903,0.261121452,-0.545771837,0.54901278,0.250468671,-0.534292221,0.533887744,0.248976573,-0.534386873,0.521435201,0.24853462,-0.534740567,0.641016603,0.284851342,-0.330093741,0.504475176,0.270004332,-0.270510733,0.593005061,0.347864687,-0.492084086,0.539663732,0.342602909,-0.477600634,0.71139884,0.506420791,-0.273823142,0.420636743,0.468179643,-0.058322139,0.750446439,0.859918296,-0.327037603,0.200169712,0.617331803,-0.366233379,0.570824385,0.961731613,-0.411460459,0.284918368,0.393411279,-0.834302723,0.519072831,0.993380725,-0.450213581,0.296246916,0.33279869,-0.909846187,0.499154419,0.949751437,-0.405088603,0.321130693,0.329692483,-0.834337354,0.512530208,0.934717596,-0.388928026,0.330564111,0.35971576,-0.816836178,0.629462361,0.976999819,-0.063430667,0.448460877,0.974203646,0.06500341,0.624902368,1.390214562,-0.076398298,0.448927164,1.382353902,0.254327774,0.622025311,1.702581525,0.384691298,0.452919573,1.697113276,0.632498384,0.631121993,1.753270268,0.416699111,0.453121364,1.74984622,0.666110992,0.587034166,1.832646132,0.137329921,0.454383671,1.824323177,0.38316524,0.56512332,0.975491583,-2.47E-08,0.539629936,0.938287258,-0.014789415,0.507028818,0.923570216,-0.02180771,0.472986519,0.9259547,-0.026323926,0.449810654,0.94031769,-0.027676979,0.494131446,0.98814106,-0.0163304,0.449261457,0.985422373,-0.026647462,0.460208207,0.961508214,-0.032220975,0.478062272,0.95437783,-0.033241276,0.495787591,1.011494994,-0.010507632,0.452539176,1.003205419,-0.018234793,0.461150348,0.978637934,-0.022148095,0.476898909,0.975473881,-0.023718258,0.498645902,1.023526073,-0.00559228,0.460186958,1.015375972,-0.010417338,0.466351688,0.993121684,-0.008968039,0.479018331,0.988312244,-0.006984148,0.500287712,1.027834654,-0.001848559,0.467811525,1.024269581,-0.004429326,0.470995367,1.007408381,-0.001644572,0.483526498,1.001765132,0.001350752,0.274510354,0.3643305,6.44E-08,0.301977247,0.362704247,-0.019612713,0.332722038,0.345496774,-0.030968696,0.360055238,0.335020244,-0.040714338,0.381577134,0.332637191,-0.050553061,0.317794859,0.285145044,-0.023990342,0.325123906,0.23829481,-0.039585739,0.328702748,0.207854718,-0.049580351,0.331244141,0.18183443,-0.056942545,0.297506779,0.278788447,-0.022277506,0.292962223,0.262773186,-0.046811398,0.287875861,0.299670219,-0.05221878,0.287788779,0.323053002,-0.051185589,0.277579874,0.279416561,-0.022409843,0.270923555,0.268767327,-0.045271799,0.270401269,0.302975476,-0.04118498,0.274013877,0.32320717,-0.033206876,0.258684665,0.284080267,-0.024143104,0.253394425,0.273845524,-0.040351678,0.256373048,0.300772488,-0.037202626,0.262281567,0.318599999,-0.031011567
