class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75
M,0.535347819,0.269384325,-0.668225706,0.55894959,0.23737894,-0.621946931,0.572943687,0.239088476,-0.621762216,0.585292399,0.240750134,-0.621629834,0.509937167,0.232931674,-0.618696809,0.494147241,0.232254088,-0.618680298,0.481188923,0.233149767,-0.619028509,0.604512751,0.270832181,-0.332829744,0.465359032,0.266026139,-0.311273813,0.563771844,0.331623346,-0.563868463,0.505416393,0.329395592,-0.559831917,0.690626919,0.503557682,-0.242945224,0.371553659,0.465739191,-0.14509505,0.760339618,0.806530297,-0.311198235,0.128402442,0.528880179,-0.577919424,0.642992854,0.976191461,-0.472931445,0.287574887,0.333857417,-1.057163596,0.625049949,1.074969172,-0.540289521,0.316249609,0.293346286,-1.169533849,0.574384034,1.00709188,-0.520813584,0.3462376,0.300215036,-1.081178904,0.584632576,0.977012336,-0.469781697,0.348436028,0.323645055,-1.040515423,0.615873635,1.003369927,-0.038702883,0.407902628,1.035900831,0.041026086,0.597941935,1.457570672,0.130732894,0.396536231,1.442697525,0.219329506,0.567242861,1.816020489,0.665423989,0.372595251,1.804083586,0.616196454,0.568104565,1.870340824,0.700296223,0.365571558,1.861059189,0.648926854,0.535176337,1.955870271,0.328741938,0.388614565,1.946534395,0.250430852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282487422,0.334076226,4.48E-08,0.314662576,0.33215946,-0.0064771,0.334882736,0.328062892,-0.015956301,0.343422234,0.323475152,-0.025984744,0.34250474,0.317986906,-0.035290755,0.344214499,0.271399319,-0.015352857,0.357704073,0.30217281,-0.030228434,0.361058354,0.328321725,-0.041498605,0.359110415,0.344625652,-0.048317607,0.324310839,0.271599114,-0.01923319,0.330619931,0.322731614,-0.0302851,0.327539295,0.335479647,-0.034818262,0.323848546,0.331160486,-0.038708095,0.30327633,0.283088744,-0.024030259,0.3123523,0.332629919,-0.033614967,0.313054442,0.341334462,-0.032360576,0.312776476,0.335319787,-0.031426936,0.284917295,0.299969554,-0.029767537,0.296627462,0.338392556,-0.035984918,0.301330119,0.345652282,-0.033634454,0.303465307,0.340426356,-0.031230388
M,0.535593808,0.269264162,-0.557795644,0.55852288,0.238324031,-0.51487571,0.572084606,0.24046582,-0.514779925,0.585071564,0.242839515,-0.514851391,0.512344182,0.233787298,-0.511654198,0.496538073,0.233719692,-0.511665344,0.484392554,0.235011756,-0.512029529,0.605892479,0.270599484,-0.261672109,0.466848284,0.264100611,-0.237424418,0.563134134,0.332222819,-0.467473567,0.507127106,0.327085912,-0.46307078,0.686360538,0.504976392,-0.205980226,0.370758295,0.462542117,-0.074853927,0.755919576,0.814125001,-0.286841571,0.130897403,0.536538124,-0.446094275,0.643398643,0.976462781,-0.411219418,0.278498411,0.342584014,-0.866382122,0.612288237,1.060303092,-0.470880091,0.31268096,0.297849774,-0.963282883,0.572443366,1.011620283,-0.437777191,0.34009558,0.298707366,-0.873277545,0.581095338,0.978608847,-0.401563585,0.341445565,0.32221508,-0.849275768,0.599787354,0.982774556,-0.037849974,0.394055665,1.004156232,0.03988843,0.591008961,1.406861663,0.128605783,0.385839045,1.394283056,0.259337664,0.559012055,1.739346147,0.718708217,0.365372717,1.731212378,0.719535887,0.557586133,1.790266871,0.7618047,0.360078931,1.786447763,0.759892583,0.532052636,1.882960439,0.432749927,0.382327735,1.872318506,0.399953187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275722593,0.332042038,-2.90E-08,0.314050287,0.324641347,-0.001064009,0.337512374,0.321279317,-0.007929269,0.347166836,0.321125984,-0.017007943,0.344457865,0.320865065,-0.025810473,0.346518308,0.271923512,-0.006997921,0.360738277,0.297999024,-0.020778079,0.363475919,0.323583782,-0.032413691,0.359730601,0.341015965,-0.039392132,0.326910168,0.273228139,-0.01349015,0.335678011,0.319716811,-0.023155235,0.335715532,0.334985405,-0.029187912,0.331289858,0.336620301,-0.034081206,0.306526005,0.283344716,-0.020686876,0.316024452,0.332895637,-0.02894072,0.318247497,0.341971189,-0.030104253,0.318195432,0.3373712,-0.03069891,0.289208293,0.298858434,-0.028468402,0.300893068,0.339389473,-0.0325936,0.305405974,0.348022282,-0.030450139,0.30725503,0.343858689,-0.028482417
M,0.537631512,0.270366192,-0.670135856,0.561588109,0.23713702,-0.624907196,0.575806737,0.238678396,-0.624803841,0.588280439,0.240132198,-0.624761343,0.513130546,0.233097211,-0.621428013,0.497494876,0.232779026,-0.62145865,0.484830946,0.233844519,-0.621794283,0.61043787,0.269278049,-0.342822522,0.468657315,0.262711942,-0.320386231,0.565623701,0.330578268,-0.567151845,0.507988036,0.327362001,-0.563259006,0.693135917,0.504058838,-0.251667857,0.376039028,0.456598759,-0.152215391,0.760537028,0.813568234,-0.314847648,0.130903393,0.531405687,-0.591069281,0.64103359,0.976956248,-0.45887813,0.278516591,0.339312822,-1.110666037,0.608925998,1.05219996,-0.518019259,0.313383996,0.298446476,-1.219830632,0.569406033,1.005030751,-0.48840946,0.338112265,0.295245051,-1.134218097,0.57939446,0.97565639,-0.448856741,0.338449091,0.316567957,-1.094727039,0.612031639,0.982317269,-0.035479803,0.412459761,0.974596262,0.037701726,0.602770269,1.420045376,0.098663844,0.404942751,1.407261968,0.293255478,0.578891218,1.760017872,0.658778608,0.391208112,1.750580907,0.778139532,0.579061687,1.814848423,0.698279679,0.386050463,1.808407903,0.821311474,0.551866829,1.900838494,0.342259884,0.410575569,1.891493559,0.446608126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274146855,0.332583189,-3.76E-08,0.312609375,0.327970952,-0.00248409,0.336744398,0.325347215,-0.00988117,0.345965147,0.322903365,-0.019086637,0.342356086,0.318772763,-0.027740723,0.345387369,0.271585435,-0.007234497,0.359968692,0.299753308,-0.020621585,0.363298029,0.325708002,-0.031989742,0.359839886,0.343260407,-0.038888618,0.32537663,0.273822486,-0.012937867,0.335045576,0.32115832,-0.022030858,0.334832072,0.336424708,-0.027394084,0.330717355,0.337571114,-0.031875584,0.304684311,0.285628647,-0.019521018,0.315481156,0.33596608,-0.026984066,0.318000376,0.343991846,-0.027337326,0.317840546,0.337363124,-0.027656445,0.287515134,0.303101361,-0.026854098,0.299686164,0.344478846,-0.030751148,0.303884417,0.350116223,-0.028461006,0.304757565,0.341822922,-0.026502237
M,0.541005671,0.262938261,-0.534364522,0.565136731,0.231091842,-0.487769514,0.579013288,0.232998237,-0.487713724,0.591180861,0.235080719,-0.48775211,0.518711269,0.226116315,-0.485022843,0.503350317,0.226146832,-0.48509106,0.490455329,0.227371991,-0.485463679,0.611308753,0.264510512,-0.229891583,0.472778708,0.255997777,-0.21029076,0.567653537,0.323750794,-0.442469448,0.513589203,0.319492936,-0.439471155,0.693338215,0.500142395,-0.172797769,0.376989931,0.45671612,-0.050767761,0.758027315,0.822148502,-0.252839714,0.133083314,0.535423875,-0.428658545,0.634614706,0.980907321,-0.391777813,0.280813217,0.33939907,-0.852119625,0.60530895,1.056464195,-0.451069742,0.313682497,0.297885716,-0.944810748,0.561866283,1.010996222,-0.415358156,0.340567738,0.29877013,-0.859506726,0.570467055,0.979527056,-0.380570233,0.341084838,0.320421815,-0.834875405,0.611766219,0.975749552,-0.039775174,0.412988514,0.97346437,0.04197035,0.603935719,1.406959772,0.085024193,0.410449803,1.390748143,0.274711519,0.579818726,1.742557764,0.568607509,0.39169389,1.725402236,0.684663594,0.580932319,1.796991229,0.601139486,0.384958267,1.783400059,0.72140044,0.551174998,1.878470302,0.266524196,0.409772694,1.860779643,0.376597762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278641939,0.336804897,3.62E-09,0.313228786,0.334991902,-0.003459719,0.335495681,0.331516743,-0.010440397,0.345712036,0.325793296,-0.018638618,0.345463514,0.316734552,-0.026415821,0.344542205,0.27423805,-0.010257765,0.358086795,0.296082377,-0.02293436,0.362516135,0.320552945,-0.033245612,0.361966759,0.338022023,-0.039555889,0.32519573,0.273128241,-0.01499271,0.330533117,0.31800282,-0.024346169,0.329235226,0.332847387,-0.03018368,0.326002628,0.333708942,-0.035181746,0.304261059,0.28254503,-0.02034751,0.311701298,0.326798201,-0.029475089,0.314452261,0.339206815,-0.031212855,0.315704167,0.339245617,-0.032295432,0.285979986,0.29744634,-0.026175119,0.296042174,0.331610113,-0.03178947,0.301797867,0.34432736,-0.030506259,0.305369645,0.346749187,-0.029019261
M,0.542365193,0.251056433,-0.524836421,0.564965069,0.221248567,-0.484147072,0.578931212,0.224437296,-0.484110445,0.591574311,0.227245986,-0.484131157,0.519559205,0.212352037,-0.475246608,0.505453408,0.21127528,-0.475233883,0.493928373,0.211894378,-0.475584209,0.614292622,0.25883317,-0.234321639,0.479935497,0.244854391,-0.186540738,0.567548156,0.312257081,-0.434460312,0.515235782,0.306414783,-0.423661649,0.693747699,0.491040766,-0.200790614,0.381343484,0.446832538,0.005202629,0.770994306,0.840253234,-0.378373116,0.137181789,0.530537963,-0.427285433,0.615283251,0.789879739,-0.597956359,0.283467829,0.339892656,-0.980953336,0.558598101,0.808491707,-0.669744372,0.31951654,0.298225999,-1.080431342,0.550797105,0.752395868,-0.610871613,0.342427105,0.295372128,-0.984706759,0.56160748,0.744240344,-0.57471782,0.342865944,0.3162902,-0.961310387,0.62213546,0.9785344,-0.041566558,0.408603758,0.978057086,0.044299055,0.639723063,1.393549681,-0.071070448,0.415945053,1.396934032,0.376380682,0.614260793,1.738068342,0.396355689,0.402896315,1.737480879,0.887726188,0.613897026,1.795592904,0.428985268,0.39462471,1.798306227,0.934055209,0.587980628,1.88257134,0.087794296,0.424191862,1.875632167,0.609338284,0.620046675,0.803210616,-1.44E-07,0.594039798,0.761864126,0.000711092,0.561507165,0.732250452,-0.002048482,0.531444609,0.715180993,-0.00555386,0.507181346,0.71720916,-0.008209045,0.543464482,0.758284509,-0.007513639,0.504482806,0.759918809,-0.015710853,0.516002595,0.761520326,-0.020372894,0.531848431,0.762061715,-0.021309249,0.54368335,0.790126145,-0.01082522,0.505564511,0.790390015,-0.014181418,0.516832054,0.79037559,-0.01447115,0.531642914,0.790428936,-0.014588236,0.545786738,0.821147263,-0.013867144,0.512170434,0.819587529,-0.014752473,0.522233963,0.818356276,-0.00967095,0.536144972,0.817861319,-0.006779909,0.548485041,0.848601222,-0.016775476,0.517483413,0.843530238,-0.015042317,0.527158499,0.840995669,-0.007418198,0.540765703,0.840656817,-0.001828662,0.279167563,0.333610743,-6.46E-09,0.315639257,0.326551765,-0.002208791,0.338309377,0.321785033,-0.008948596,0.347296894,0.319139332,-0.017425457,0.343105972,0.316366971,-0.025485579,0.344966859,0.269548953,-0.008091559,0.360177726,0.292133272,-0.020482931,0.363247454,0.317488879,-0.030312441,0.36038664,0.335659891,-0.036087282,0.32573086,0.271263629,-0.013493981,0.332164079,0.317394465,-0.02247199,0.330571145,0.333199918,-0.027099621,0.327100635,0.334730327,-0.031116689,0.305487245,0.282379299,-0.019650344,0.315049946,0.327804208,-0.027657522,0.317022264,0.339527518,-0.028188441,0.317214102,0.338969499,-0.028396774,0.288300961,0.298017025,-0.026382847,0.298903733,0.33280319,-0.030308479,0.303083122,0.3430278,-0.028059239,0.305317521,0.342557698,-0.025982371
M,0.548222899,0.260178208,-0.530352831,0.57071048,0.227229893,-0.486363739,0.583600879,0.229707584,-0.486304998,0.597172439,0.232225478,-0.486305654,0.525330007,0.220454752,-0.477339089,0.511700571,0.220295668,-0.477303922,0.500581741,0.221648514,-0.477662027,0.618945837,0.26220125,-0.229126737,0.487266362,0.251855969,-0.181407809,0.573946953,0.319824636,-0.437837422,0.522253096,0.315234125,-0.42686215,0.699193597,0.490718544,-0.191847622,0.382807076,0.454976439,0.009640393,0.784967482,0.837498128,-0.3764579,0.140105098,0.533148766,-0.41508007,0.625983119,0.799468994,-0.591686606,0.283246428,0.333451539,-0.93929863,0.568562329,0.840071678,-0.660388529,0.319926918,0.287085593,-1.036768794,0.557072163,0.779392302,-0.598657608,0.34630996,0.288428724,-0.936221242,0.568480015,0.764891267,-0.567314684,0.346758783,0.310203075,-0.917364478,0.63378638,0.975127757,-0.045875177,0.423479646,0.982027769,0.048865363,0.654898167,1.411504507,0.030255565,0.434455216,1.417731762,0.438437611,0.640960336,1.764626026,0.503040195,0.432767868,1.767024159,0.977961361,0.641773283,1.824906588,0.535717487,0.426564783,1.829087973,1.027435064,0.616988182,1.911268473,0.183580905,0.456776768,1.909589291,0.691604257,0.639337301,0.799548924,1.58E-07,0.611499846,0.752701938,-0.004272143,0.581802368,0.722658038,-0.00796428,0.554505765,0.708311617,-0.012032073,0.533020377,0.700826168,-0.01638622,0.543589115,0.776593328,-0.005555528,0.506106079,0.774992108,-0.012076873,0.48470971,0.774102032,-0.01806148,0.46635592,0.773993433,-0.022590855,0.543532252,0.809678972,-0.008679328,0.500383735,0.821038723,-0.01337056,0.476020455,0.827628791,-0.01875495,0.456677347,0.834118128,-0.023487607,0.551675141,0.837491512,-0.012246882,0.513734102,0.855661511,-0.017335948,0.492294997,0.865740299,-0.022138955,0.474886626,0.873569906,-0.026258087,0.564950824,0.85898447,-0.016138652,0.539997101,0.880393326,-0.02147055,0.524725616,0.892608702,-0.023518281,0.510991693,0.90131259,-0.024773413,0.284903497,0.326554209,-6.07E-08,0.322376341,0.31943208,-0.003352507,0.346524656,0.316620588,-0.010820551,0.35704577,0.314539492,-0.020063058,0.353494018,0.310485989,-0.028902683,0.355870694,0.263112128,-0.009298829,0.369400322,0.295193225,-0.023054155,0.36995703,0.319126844,-0.034421552,0.366178483,0.332953304,-0.041433185,0.334746569,0.263507307,-0.014757468,0.339944661,0.316804409,-0.024333637,0.337459475,0.330170155,-0.030108374,0.333719581,0.329268485,-0.035182834,0.312631816,0.273960024,-0.021058926,0.320398271,0.324310333,-0.029751929,0.322464436,0.334295005,-0.031333324,0.323570818,0.330940783,-0.032437056,0.29419747,0.289777935,-0.028046424,0.303583622,0.328950912,-0.032722551,0.307427764,0.336990118,-0.031158749,0.309226364,0.333236814,-0.029633811
M,0.555068791,0.269214153,-0.594007075,0.579199195,0.235818997,-0.55346477,0.592019916,0.238381863,-0.553393424,0.604610145,0.241386414,-0.553358316,0.532990038,0.229923964,-0.549018443,0.518577576,0.229706049,-0.549073756,0.507217705,0.230336532,-0.549490154,0.62241739,0.270593375,-0.299661428,0.4933002,0.255512118,-0.270778149,0.58154583,0.32525748,-0.503132164,0.526848078,0.320876718,-0.497381032,0.705245733,0.492501438,-0.239765599,0.385623664,0.455460429,-0.077815235,0.783385992,0.822765887,-0.312128007,0.141961426,0.526424646,-0.403485924,0.60353452,0.916955054,-0.438190639,0.297863305,0.322392821,-0.765260816,0.557676494,0.951095223,-0.496464401,0.331857264,0.27955544,-0.849240601,0.537284076,0.907763422,-0.454904974,0.358604729,0.281726003,-0.751287282,0.551715612,0.892640412,-0.422452033,0.357909381,0.304244876,-0.740698755,0.635992348,1.011987329,-0.037080064,0.431628883,0.996330142,0.039125606,0.624858618,1.455959797,0.162756845,0.422357142,1.444451809,0.229964688,0.60260278,1.808068037,0.712144017,0.405863851,1.797684312,0.619119883,0.605377495,1.862660766,0.750035286,0.398947775,1.854129553,0.65188539,0.572061241,1.949751973,0.419425905,0.422456831,1.940446138,0.292773843,0.58495605,0.912789583,2.37E-07,0.571902514,0.884683907,-0.028126441,0.55078423,0.870037138,-0.039201148,0.529174566,0.868937075,-0.043967582,0.50965625,0.874074936,-0.04764488,0.529390991,0.930232048,-0.033542126,0.496928781,0.94316572,-0.043246102,0.473214537,0.949590087,-0.050459508,0.454827279,0.954183459,-0.055059958,0.525551736,0.942121327,-0.020221399,0.493204951,0.959971368,-0.027860846,0.469365507,0.965764403,-0.032884795,0.451069355,0.970974684,-0.036281459,0.523583829,0.94685477,-0.008108675,0.494646877,0.96332556,-0.014047822,0.474000007,0.96788466,-0.017596355,0.457024664,0.971937776,-0.019739132,0.522190988,0.949368656,0.001827872,0.499620914,0.960765719,-0.003883207,0.483498126,0.966678739,-0.00703715,0.470178187,0.969727039,-0.008658736,0.285507083,0.324994594,-8.90E-08,0.322716653,0.319255173,-0.005411361,0.347607404,0.316185355,-0.013881739,0.35790056,0.315008521,-0.02366329,0.357361197,0.31041947,-0.03249241,0.357046753,0.261161953,-0.010748751,0.373647869,0.29809767,-0.026049327,0.375032067,0.320985436,-0.038749777,0.370147288,0.332970947,-0.046591349,0.33727178,0.263686121,-0.01538897,0.345816731,0.32518208,-0.025779029,0.341570199,0.332868427,-0.031185759,0.335976332,0.324965686,-0.036090199,0.316525966,0.27729103,-0.02124672,0.327343702,0.334958851,-0.029066585,0.327210516,0.336473614,-0.028382082,0.325950027,0.323870718,-0.028487101,0.299047709,0.295765787,-0.028349444,0.31136167,0.339906603,-0.03351726,0.312678903,0.340022206,-0.031483017,0.311352372,0.327579141,-0.029560648
M,0.550218999,0.296521723,-0.806310058,0.574210823,0.258274376,-0.749163389,0.588793516,0.261414707,-0.748928666,0.599347413,0.265358269,-0.748844028,0.530814886,0.254459143,-0.749462962,0.517709434,0.25479269,-0.749388635,0.504309237,0.256004035,-0.749756515,0.61951226,0.287719786,-0.396187216,0.489933074,0.275835454,-0.398867071,0.575572789,0.356058538,-0.680988491,0.521864653,0.352592587,-0.682798922,0.704256773,0.519874156,-0.158688128,0.389449656,0.474013865,-0.291962773,0.832411468,0.774513006,-0.003339075,0.142361224,0.538647473,-0.890434384,0.946437716,1.0058285,-0.079366155,0.296302944,0.333674163,-1.536736488,0.990314305,1.077453375,-0.106238469,0.336503029,0.300878942,-1.682940483,0.977953553,1.070586085,-0.166991174,0.359986603,0.305212706,-1.606421709,0.950273633,1.053727388,-0.117016099,0.356184721,0.327551723,-1.531482816,0.643390596,1.079273462,-0.016766444,0.427551925,0.992489457,0.019696144,0.634150505,1.552134991,-0.059153449,0.422176659,1.548047662,0.143545732,0.623067677,1.99727869,0.355330646,0.415746629,1.991550565,0.53137666,0.624570251,2.059260845,0.369904488,0.406457573,2.051813602,0.557628512,0.597189724,2.137748718,-0.118060127,0.448394239,2.13292408,0.036673274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286435425,0.334547698,7.23E-09,0.32204029,0.331829309,-0.003722446,0.345739573,0.328307122,-0.010817255,0.357073843,0.324144334,-0.019139025,0.354807436,0.317282826,-0.02692114,0.351699233,0.272242993,-0.009764023,0.365605861,0.290593684,-0.022117548,0.370252788,0.313956797,-0.031990666,0.368888974,0.330921918,-0.037902977,0.332467049,0.271756291,-0.014355414,0.33902657,0.318357259,-0.02352011,0.337520093,0.333149314,-0.028068062,0.334202528,0.33396259,-0.031964026,0.312148631,0.281763017,-0.019759092,0.320429832,0.328642845,-0.028172551,0.322490484,0.339338273,-0.028732605,0.323369771,0.337813944,-0.029088261,0.294821322,0.297099173,-0.025823455,0.304809034,0.332797408,-0.030443935,0.309469491,0.343651414,-0.028388865,0.312077135,0.344364405,-0.026450446
M,0.553262472,0.271701992,-0.544169009,0.572899282,0.235971034,-0.497550726,0.584571838,0.238031566,-0.49733609,0.595316112,0.240887105,-0.497319996,0.531569064,0.234574452,-0.494782209,0.518534064,0.235713825,-0.494594008,0.505796671,0.237343654,-0.494964182,0.616460264,0.27253902,-0.228950351,0.49023208,0.263263941,-0.209746286,0.581430137,0.325923026,-0.451989233,0.527185082,0.321766794,-0.448322952,0.709804773,0.517714798,-0.121189833,0.384456456,0.467343807,-0.115236446,0.765892029,0.823321521,-0.123103335,0.149940729,0.539485872,-0.534781158,0.779624343,1.072668672,-0.252460659,0.297775865,0.32935518,-1.021545887,0.793709695,1.150063872,-0.301445961,0.32291317,0.288228393,-1.131186366,0.765623808,1.136352539,-0.31937626,0.347333491,0.295254886,-1.055096626,0.7506302,1.110772848,-0.26985389,0.349368781,0.316629231,-1.009496331,0.629592001,1.001966715,-0.025944848,0.416189015,0.986752868,0.028737325,0.615811467,1.494625568,-0.035844453,0.406145394,1.48277986,0.157677814,0.595697582,1.896008611,0.347865015,0.391765833,1.879575729,0.523193538,0.598175704,1.952639103,0.362897724,0.383916259,1.934771061,0.550717294,0.563050032,2.031682968,-0.043280974,0.418391407,2.019786358,0.117954135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283026993,0.335430056,5.54E-09,0.315944374,0.333999157,-0.004717255,0.337840319,0.331111431,-0.012497087,0.347183436,0.326388866,-0.021003177,0.345280826,0.321624339,-0.028920839,0.345399231,0.274632901,-0.013211425,0.35958612,0.30285114,-0.026722843,0.362609148,0.328707278,-0.037190288,0.360318959,0.345585525,-0.043506645,0.325441837,0.275226235,-0.017395094,0.332834452,0.327663094,-0.027197702,0.32983458,0.33920455,-0.031838775,0.324392229,0.335965157,-0.036024518,0.304394543,0.286271989,-0.022269065,0.314229488,0.33654201,-0.030524656,0.315592945,0.344073564,-0.030124977,0.314581484,0.339133084,-0.030111853,0.285978556,0.302342474,-0.027901942,0.298104107,0.340119451,-0.032955479,0.302204132,0.346556008,-0.030775737,0.303017735,0.341718704,-0.028744923
M,0.552687228,0.269519746,-0.603893995,0.57325846,0.23329711,-0.554185688,0.584983706,0.23562704,-0.553970456,0.596356213,0.238574922,-0.553910494,0.531565011,0.232171237,-0.551389754,0.518015623,0.233757019,-0.551162243,0.505410433,0.236420974,-0.551529169,0.617532611,0.2700032,-0.267265081,0.489508003,0.260156155,-0.249061063,0.581321955,0.324944675,-0.504621685,0.52848953,0.320809096,-0.501076043,0.709850073,0.514909983,-0.139160305,0.387746572,0.465771556,-0.159596682,0.76595521,0.820340574,-0.161345869,0.144991338,0.537549794,-0.634478748,0.788417101,1.054531097,-0.317566991,0.294377565,0.331702918,-1.173723578,0.805550933,1.125065446,-0.367161304,0.322480321,0.288545132,-1.289407849,0.779529691,1.111384153,-0.379674792,0.345807731,0.29098779,-1.208849192,0.762628198,1.089749694,-0.333515137,0.347395539,0.312039375,-1.159735441,0.625039995,1.004210353,-0.031050021,0.412453711,0.99108398,0.034147456,0.613514304,1.511324525,-0.079712011,0.405552089,1.501389265,0.181122094,0.594118357,1.917850733,0.302406549,0.391892254,1.901343465,0.571601391,0.596955001,1.976570606,0.31632638,0.383601099,1.957302094,0.601794183,0.558693171,2.051613569,-0.111854911,0.417188019,2.042710304,0.151967198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279717743,0.33531636,7.07E-08,0.31585151,0.333440632,-0.005044146,0.33709982,0.33010602,-0.013271253,0.343871117,0.325037152,-0.022261046,0.338103652,0.318326741,-0.030531937,0.338627875,0.270533502,-0.013803571,0.353348523,0.295389831,-0.026238769,0.359040499,0.321662128,-0.035541691,0.359148383,0.339457482,-0.041378878,0.319176435,0.271761417,-0.017803175,0.325955153,0.320324898,-0.027376683,0.325722277,0.333432347,-0.031581149,0.323557079,0.330174744,-0.035667747,0.298998743,0.283899784,-0.022422437,0.308682889,0.331980258,-0.0313931,0.31214869,0.3413333,-0.03142206,0.313086778,0.336675853,-0.031639919,0.282025069,0.301240027,-0.027717629,0.293674916,0.338650852,-0.033673819,0.299928844,0.347241879,-0.032149702,0.302459061,0.343903482,-0.030619876
