class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75
R,0.528483629,0.274624228,-0.376966834,0.547636032,0.235643998,-0.348725975,0.562004983,0.235432446,-0.348780572,0.573431909,0.235955954,-0.348860443,0.505077481,0.244284451,-0.331565768,0.491386354,0.250133812,-0.33139661,0.480435461,0.256059408,-0.331995904,0.602270186,0.267312527,-0.156671777,0.472281158,0.289061248,-0.064250097,0.563803315,0.325230718,-0.307744205,0.504665494,0.334275723,-0.283667535,0.716232836,0.505918205,-0.077873841,0.400449097,0.501551688,0.044163145,0.758828342,0.806159854,-0.161093906,0.20519276,0.742080331,-0.325500488,0.722613692,0.992059767,-0.375380725,0.289768636,0.432825089,-0.890066326,0.721738875,1.080512881,-0.428996861,0.287570119,0.342444539,-0.996917546,0.692060173,1.047324777,-0.424535424,0.307399511,0.334504724,-0.922918677,0.684660256,0.988078117,-0.381307274,0.32391119,0.371649146,-0.877371788,0.649333894,1.004305005,-0.03478374,0.439070314,0.978141963,0.037745178,0.660246432,1.445004344,-0.29152146,0.439538151,1.450692296,0.175595179,0.645947635,1.83162272,-0.077162445,0.432197571,1.832403183,0.429067224,0.647509992,1.885168791,-0.076409258,0.425257623,1.888026953,0.445385695,0.614765406,1.971073389,-0.460170031,0.453223795,1.970440984,0.087129034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270797819,0.43061462,2.92E-07,0.298431188,0.406861782,-0.016155267,0.311625272,0.374702752,-0.022529446,0.294495553,0.341119677,-0.029100642,0.279187679,0.312307984,-0.034609243,0.322322816,0.32731992,-0.003922981,0.322558045,0.285425246,-0.017474934,0.319828272,0.253929645,-0.026721859,0.316890121,0.224925071,-0.032377455,0.303525507,0.319866121,-0.005206575,0.315027595,0.272598028,-0.021089787,0.319115043,0.242390051,-0.029626586,0.323930204,0.213103294,-0.032357041,0.282965451,0.324323505,-0.009494706,0.27715683,0.298457503,-0.035622019,0.275644332,0.335555553,-0.038783677,0.279237181,0.360852927,-0.032489937,0.261229068,0.337790728,-0.01475632,0.258369833,0.324573368,-0.035408352,0.26177904,0.352833062,-0.035313949,0.267799795,0.371877819,-0.029790066
R,0.525178254,0.276921958,-0.36218974,0.544558942,0.239424884,-0.333696514,0.559405088,0.238217652,-0.33384043,0.570497215,0.237231389,-0.333984584,0.50166744,0.247768879,-0.310247213,0.489124,0.252813756,-0.310252756,0.480251491,0.257815599,-0.31078282,0.600824475,0.265173912,-0.152628139,0.471075624,0.291125715,-0.037343476,0.560291886,0.326899171,-0.296940893,0.502243102,0.333735585,-0.265875936,0.716478109,0.49767381,-0.095396139,0.405441284,0.495696545,0.086969674,0.758455575,0.803506315,-0.180476278,0.215990216,0.733072042,-0.307420731,0.71739006,0.985716581,-0.395970702,0.304454923,0.423558354,-0.864751697,0.704586744,1.077559352,-0.448468029,0.302636564,0.33600533,-0.955232918,0.675461292,1.047826767,-0.43801412,0.319616377,0.319828868,-0.878248692,0.659592807,0.994078755,-0.395077616,0.334514201,0.358143866,-0.84760654,0.651423037,0.985506892,-0.036645535,0.450077683,0.986013234,0.038623594,0.692147672,1.323011041,-0.608202219,0.460838854,1.390329719,0.142717749,0.654831946,1.710196257,-0.338496894,0.452465057,1.759559155,0.416123629,0.651584387,1.763990164,-0.325923145,0.448421627,1.814583302,0.432468832,0.625571311,1.863254189,-0.665436924,0.463718235,1.902112961,0.123275474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280396551,0.429892093,3.00E-07,0.309662431,0.399680555,-0.016905006,0.322477907,0.365439028,-0.02234011,0.307088971,0.332200468,-0.027739033,0.289386541,0.304238141,-0.031794466,0.329567462,0.313957304,0.000552054,0.330505103,0.270305455,-0.009748115,0.329867899,0.242435455,-0.016708463,0.330100596,0.216388553,-0.020520326,0.310962707,0.309700489,0.001187714,0.320706874,0.260056496,-0.011499094,0.326758325,0.234437361,-0.018357808,0.333547801,0.211474389,-0.019919513,0.291359693,0.316522896,-0.001640892,0.285628051,0.295731813,-0.025466794,0.285795003,0.332337081,-0.029821882,0.289196014,0.357090503,-0.024381304,0.272278816,0.330311954,-0.005392838,0.269833475,0.316488922,-0.022661187,0.273307621,0.344326079,-0.022060139,0.278355777,0.364526629,-0.016718086
R,0.529109955,0.27363646,-0.360942066,0.549933791,0.236578465,-0.332517266,0.564554155,0.236970603,-0.332673788,0.575941443,0.238088071,-0.332791984,0.507306039,0.242090359,-0.3122482,0.493722737,0.246912241,-0.312199056,0.483688653,0.25232321,-0.312867403,0.605011523,0.268574238,-0.149372041,0.474822581,0.282830894,-0.045506135,0.563209951,0.325480282,-0.296342552,0.50436914,0.331407487,-0.269175917,0.71313715,0.505808711,-0.087111078,0.39977932,0.496100724,0.057213206,0.761991858,0.796710014,-0.159693688,0.205746844,0.741592765,-0.34538281,0.729473174,0.993139148,-0.345722109,0.301412135,0.422427177,-0.911474347,0.729262233,1.086493611,-0.387821972,0.304291338,0.334495962,-1.010059237,0.701103091,1.057609797,-0.382289737,0.323556691,0.325817883,-0.926492214,0.689945221,0.993501127,-0.347824126,0.335428715,0.363158345,-0.892767727,0.641922295,0.998027265,-0.043189574,0.438947111,0.985839486,0.045612514,0.662317216,1.403955936,-0.486335754,0.443968594,1.437016606,0.235138804,0.647332191,1.799768686,-0.260465175,0.435757101,1.816474795,0.558173358,0.649099946,1.857256413,-0.256848931,0.429898739,1.871197343,0.580695689,0.618670106,1.938789845,-0.629142463,0.450115591,1.958268642,0.243289322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281432599,0.435665518,3.13E-07,0.310497612,0.40326187,-0.016146015,0.322191417,0.368930161,-0.021120962,0.30624789,0.336108804,-0.026406985,0.288265765,0.309769601,-0.03049924,0.329824001,0.321791679,0.001416132,0.329657048,0.277881533,-0.009419714,0.328619152,0.249346018,-0.017248202,0.328196347,0.221872419,-0.022009326,0.31156221,0.31613642,0.001277051,0.322043121,0.267074734,-0.012107687,0.328015745,0.239902616,-0.019751918,0.334105939,0.214675069,-0.022029174,0.291775852,0.322572589,-0.002275792,0.286884725,0.297334164,-0.026542796,0.286800027,0.333779812,-0.030502019,0.289934218,0.358800739,-0.024922481,0.271934837,0.337313324,-0.006834538,0.270569921,0.323164612,-0.025388446,0.274553239,0.350337833,-0.025246035,0.279693156,0.370038003,-0.02008334
R,0.526956797,0.272677362,-0.369505405,0.546485126,0.238248006,-0.338194966,0.561069846,0.237938941,-0.338374585,0.572673738,0.238163948,-0.338488787,0.504232585,0.243405402,-0.318522662,0.491646528,0.247693405,-0.318496943,0.482519686,0.252653837,-0.319092751,0.601238787,0.266615629,-0.150203928,0.474526465,0.281958103,-0.049261015,0.560574889,0.322999656,-0.301716268,0.50211525,0.328803837,-0.274919152,0.715901494,0.506348431,-0.089093223,0.40090847,0.499777317,0.059741098,0.750789165,0.805345774,-0.181856722,0.212432191,0.733340621,-0.317555577,0.729166031,0.985054791,-0.422165811,0.302453697,0.429610133,-0.893222988,0.718460381,1.092043638,-0.482687056,0.302716643,0.340857238,-0.996557057,0.687410831,1.059944034,-0.483702272,0.320404887,0.33034879,-0.930986583,0.676412761,1.035091996,-0.428277105,0.333212733,0.365972161,-0.882026494,0.639208078,1.001507282,-0.041692693,0.426837057,1.036537409,0.044001471,0.649745703,1.40035665,-0.383505821,0.444737911,1.421940207,0.153868094,0.638888538,1.780578494,-0.103329085,0.440927684,1.790341139,0.414469391,0.642183185,1.836404562,-0.093246758,0.436793894,1.844584346,0.431938022,0.607590318,1.914637446,-0.441047817,0.452839702,1.926736474,0.110362567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28315863,0.433306366,3.10E-07,0.312687904,0.406899363,-0.015722007,0.32505095,0.37233156,-0.021920154,0.307640642,0.338797152,-0.028472306,0.291049987,0.309601367,-0.033847347,0.33218652,0.323143125,-0.002094015,0.331816941,0.280743301,-0.014325481,0.329592496,0.251207292,-0.02264251,0.32771796,0.224004507,-0.02768912,0.312955171,0.317954063,-0.003466814,0.323698282,0.268723249,-0.017800346,0.329021752,0.240769804,-0.025273463,0.334725678,0.214938328,-0.027529934,0.291927159,0.324382633,-0.007986005,0.288132131,0.299577445,-0.032829721,0.288684338,0.3358109,-0.03565428,0.292449951,0.360341221,-0.029552996,0.269888848,0.339254439,-0.013486563,0.269889116,0.32505542,-0.032748308,0.275070667,0.352870792,-0.032092914,0.280757397,0.371922582,-0.026613791
R,0.533510625,0.279500693,-0.333904624,0.553253651,0.243953362,-0.307593137,0.567194998,0.243515193,-0.307774991,0.579388797,0.243462861,-0.308008581,0.510074735,0.250113606,-0.286553204,0.496842444,0.254310548,-0.286453843,0.486839712,0.259252131,-0.287048638,0.607542455,0.271538079,-0.130989581,0.476521969,0.29150784,-0.025498509,0.568107188,0.331493437,-0.269177675,0.509873033,0.337312341,-0.241011292,0.716817677,0.510344863,-0.068655685,0.397057593,0.497214675,0.088560633,0.756725788,0.806983411,-0.160493612,0.21026583,0.728239596,-0.279260784,0.723645866,1.003093839,-0.40445739,0.301454067,0.419021428,-0.812548459,0.721179724,1.093917012,-0.466643244,0.304176182,0.33471936,-0.908533275,0.693534672,1.062566757,-0.463755995,0.32481277,0.323026121,-0.836389184,0.683151662,0.997825027,-0.409600079,0.33653456,0.362493813,-0.797108293,0.641298175,0.981096566,-0.03406487,0.432184756,0.974815667,0.036137193,0.678160071,1.358145595,-0.462002844,0.441976368,1.408752322,0.125872537,0.640949428,1.757224798,-0.22649245,0.433476627,1.793479443,0.341531515,0.637364447,1.80764246,-0.219299048,0.428033412,1.847792864,0.35414046,0.611426353,1.911990285,-0.55932194,0.446369797,1.937546849,0.033946447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284899771,0.436930031,2.53E-07,0.311926484,0.411695033,-0.015149673,0.325216621,0.380762964,-0.021978598,0.312533796,0.349642783,-0.029391987,0.29546836,0.323184639,-0.035990663,0.33093372,0.328631788,-0.005940873,0.32908988,0.288238198,-0.018421233,0.32479465,0.261049926,-0.027337695,0.319623858,0.234145254,-0.03306758,0.312139362,0.321279287,-0.007665948,0.324106216,0.271111965,-0.021913003,0.329555899,0.242221832,-0.029627386,0.33423835,0.216344535,-0.032530867,0.291601658,0.326838255,-0.011947334,0.288885444,0.29898414,-0.034741901,0.289773226,0.333560675,-0.037250049,0.293426037,0.35823375,-0.031926297,0.271935582,0.341406941,-0.017274452,0.271921873,0.327187657,-0.034736123,0.277371883,0.352189302,-0.033465348,0.283384889,0.371237427,-0.028004128
R,0.534377038,0.273136199,-0.272201419,0.554480493,0.236113071,-0.244048148,0.568977594,0.236458912,-0.244233891,0.580593228,0.237358272,-0.244493157,0.510786116,0.241851807,-0.223850682,0.496915907,0.246885598,-0.223855853,0.486507505,0.252328277,-0.224452496,0.6083709,0.265859544,-0.077329017,0.476367325,0.283386528,0.024537019,0.568822443,0.326211661,-0.211805299,0.509183824,0.33162725,-0.18450892,0.72159189,0.508556783,-0.010072691,0.401322752,0.501859009,0.125827149,0.767401457,0.80409801,-0.091394715,0.208948284,0.743569493,-0.205657914,0.739645481,1.005439997,-0.332380384,0.296375751,0.428633511,-0.709936202,0.736592591,1.074239731,-0.388033718,0.295388132,0.341921747,-0.801521122,0.709466457,1.042420387,-0.387035728,0.314580202,0.331809521,-0.736736715,0.692250133,0.982741892,-0.337921172,0.329860657,0.367766678,-0.697774827,0.657978296,0.996776044,-0.024246512,0.447771162,0.980552614,0.025910828,0.688252032,1.307907581,-0.498266637,0.457703918,1.417096615,0.057907384,0.660182714,1.751407146,-0.230085447,0.456145346,1.811578035,0.253088653,0.658074796,1.807336926,-0.218437478,0.452293545,1.865009069,0.263642579,0.630863309,1.918854833,-0.54601264,0.474397659,1.965022326,-0.047449071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282919645,0.429955095,3.34E-07,0.309505224,0.406023085,-0.016347229,0.321155369,0.37346521,-0.023902239,0.304423094,0.34460327,-0.031508584,0.286712706,0.318729788,-0.037976321,0.325586021,0.320370138,-0.007483104,0.324716896,0.279551417,-0.020625588,0.321734488,0.250130892,-0.029268868,0.31815818,0.222449556,-0.03453701,0.307424724,0.314521164,-0.008572746,0.318250567,0.266499966,-0.023188937,0.323472589,0.237655923,-0.030431464,0.328071445,0.210609779,-0.032645658,0.287280858,0.320726544,-0.012426246,0.28378582,0.296814114,-0.035768483,0.284905732,0.33185339,-0.038198266,0.288713902,0.355354786,-0.032483097,0.266650707,0.335323542,-0.017442761,0.266438395,0.326232314,-0.035416842,0.272117436,0.352456808,-0.034926072,0.277958453,0.369559228,-0.029874809
R,0.534154952,0.271403581,-0.305660039,0.554609358,0.235332429,-0.277391881,0.568868279,0.235624373,-0.277649254,0.580742598,0.236524761,-0.2779015,0.512021482,0.240962684,-0.256256878,0.498484433,0.245802641,-0.25624305,0.488505512,0.251275837,-0.256858796,0.609626234,0.266691029,-0.102667846,0.479313433,0.283051312,0.003456533,0.567969084,0.324618936,-0.242262319,0.509444296,0.329572201,-0.213954449,0.718704581,0.507447362,-0.047527157,0.401989132,0.499534905,0.111021534,0.761320829,0.798527837,-0.143448353,0.213811249,0.750063181,-0.271685094,0.732726693,1.013937593,-0.384291947,0.296150982,0.437900901,-0.833683312,0.731488645,1.084031582,-0.44001323,0.294479728,0.345767081,-0.929571033,0.704908371,1.052182078,-0.438123941,0.313539743,0.335888386,-0.858700573,0.686786115,0.991153121,-0.388383836,0.329839945,0.373029113,-0.81976527,0.650031984,0.990298808,-0.030685315,0.444736063,0.971746147,0.032444287,0.678598404,1.324160099,-0.523921728,0.454118311,1.401733518,0.162342161,0.658706367,1.740344763,-0.2939201,0.455858141,1.789166212,0.425595701,0.65897578,1.797739029,-0.286177129,0.453811407,1.84371841,0.442542493,0.632422924,1.893210888,-0.623386383,0.469693661,1.935717106,0.134065494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282837242,0.435066044,3.09E-07,0.310207307,0.407891691,-0.015124183,0.323036432,0.374114394,-0.021294851,0.306987494,0.343311161,-0.027883941,0.288895011,0.317027807,-0.033456773,0.325935036,0.321351856,-0.00384212,0.324512303,0.27965799,-0.01577919,0.321204782,0.250607342,-0.023906162,0.317674935,0.223102391,-0.028958306,0.307274371,0.315787166,-0.0053351,0.317438602,0.266687244,-0.018795872,0.321951419,0.2372787,-0.025742058,0.32617107,0.209918156,-0.027999396,0.286823153,0.323057592,-0.009684003,0.283950299,0.296535879,-0.032761797,0.28557688,0.332343966,-0.035144292,0.289363205,0.357106388,-0.029436406,0.266016096,0.339524776,-0.015102377,0.266547322,0.326960772,-0.033443157,0.272557616,0.354016066,-0.032877371,0.278341234,0.373102129,-0.027699234
R,0.535803795,0.27642113,-0.333298177,0.555152774,0.237299025,-0.305321991,0.569852769,0.237173378,-0.305419564,0.581915379,0.237399817,-0.305595636,0.512207985,0.242861569,-0.287444115,0.498771608,0.24769865,-0.287339985,0.488566577,0.252724767,-0.287878692,0.609692633,0.264628768,-0.123262897,0.479053557,0.282499731,-0.028533751,0.56948638,0.328417897,-0.266972899,0.512426913,0.333009541,-0.24190557,0.718250394,0.508114934,-0.049274221,0.397709787,0.495413959,0.082142137,0.7661044,0.804109275,-0.111829594,0.209475398,0.738656461,-0.243914336,0.735173345,0.975673616,-0.339572787,0.300731987,0.428035855,-0.757325411,0.728347778,1.079446197,-0.400914997,0.297195852,0.340649337,-0.855461001,0.69842726,1.045291066,-0.39989987,0.316887349,0.331944466,-0.792689681,0.682264686,0.983975232,-0.346245617,0.332182586,0.36691618,-0.747121513,0.648860335,1.002117634,-0.023218472,0.441856384,0.990290582,0.025679594,0.683030725,1.387921691,-0.429407507,0.450828075,1.433833003,0.072856963,0.645774186,1.792268038,-0.190508366,0.437134981,1.816415787,0.274276406,0.642798126,1.843848825,-0.184946135,0.428468317,1.871219516,0.285208195,0.612316787,1.945300341,-0.543116093,0.460069567,1.960089922,-0.053772002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283350706,0.431690961,2.85E-07,0.311569154,0.407066673,-0.014055469,0.32462734,0.376052409,-0.020998342,0.309044182,0.345982313,-0.028722523,0.290951848,0.320712,-0.03568339,0.32934764,0.325253129,-0.005609116,0.327627718,0.283229828,-0.018491263,0.322798222,0.253925085,-0.027184471,0.317996383,0.225894988,-0.032716811,0.309787422,0.319412172,-0.008244152,0.319022,0.268529385,-0.022911288,0.322693944,0.238441855,-0.030386968,0.326570481,0.210659206,-0.033037808,0.288562566,0.325786322,-0.013418615,0.284922242,0.296669543,-0.03710055,0.286951989,0.333520293,-0.038869523,0.291477352,0.359888375,-0.032793965,0.267139852,0.341541946,-0.019562969,0.266615272,0.328345418,-0.037829552,0.272926778,0.354817152,-0.036674671,0.279331237,0.374011993,-0.031246047
R,0.535932362,0.276887625,-0.273017317,0.55497694,0.241456375,-0.245102048,0.569655836,0.241751015,-0.245348662,0.581807435,0.242608488,-0.245651871,0.51137501,0.246452868,-0.229575783,0.497926623,0.251018882,-0.229551315,0.488045037,0.256507337,-0.230131179,0.608943164,0.271756828,-0.070505567,0.477808177,0.287038445,0.011360135,0.571032822,0.329226673,-0.206846923,0.509919226,0.334242821,-0.18502228,0.716640115,0.502988398,-0.001159521,0.398711979,0.484466285,0.103549644,0.745453,0.803764939,-0.089381754,0.211199075,0.733214021,-0.225074083,0.704510152,0.989966214,-0.343174368,0.300485134,0.425729871,-0.740730703,0.692678809,1.079960942,-0.407028496,0.297678709,0.338373125,-0.837487102,0.664268732,1.048451781,-0.408847034,0.316418886,0.325748444,-0.788705766,0.652431965,1.025605202,-0.351011276,0.330881834,0.361650467,-0.732948959,0.646306515,0.975637197,-0.016357364,0.438657105,0.976441979,0.018116763,0.671837032,1.286202669,-0.424283445,0.438086331,1.365793943,-0.057429351,0.642346859,1.726092219,-0.131467104,0.442512661,1.778300405,0.119530939,0.641009867,1.777447224,-0.116004325,0.440889269,1.831323862,0.129575059,0.608183503,1.899169445,-0.416578591,0.456367016,1.938517451,-0.171708256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28389287,0.432153136,3.12E-07,0.31073457,0.405284584,-0.015441336,0.321652502,0.371677697,-0.022303717,0.303965986,0.342617989,-0.029482799,0.285383701,0.318463892,-0.035654802,0.324278027,0.32054159,-0.005857621,0.322243303,0.279545367,-0.019183485,0.318264514,0.250004858,-0.027984818,0.314008445,0.22249648,-0.033260245,0.305821359,0.315566659,-0.007477988,0.314615041,0.265987158,-0.022404503,0.318278164,0.236005366,-0.02991651,0.321936965,0.207940653,-0.032250956,0.286051363,0.322876573,-0.011858208,0.281411052,0.299868733,-0.035796471,0.28358683,0.334974527,-0.038143829,0.28835839,0.358700633,-0.032083288,0.265945524,0.339146048,-0.017287655,0.264763206,0.326711416,-0.035248261,0.270834684,0.353030711,-0.03398551,0.277136654,0.37137565,-0.028323472
R,0.538669825,0.277259052,-0.331953138,0.55805409,0.241474763,-0.298967779,0.571819246,0.24176918,-0.299208879,0.583865285,0.242246866,-0.299425632,0.514271438,0.246193752,-0.282690644,0.500361204,0.250151575,-0.282688349,0.489859909,0.255237877,-0.28324008,0.609965384,0.270516455,-0.107589863,0.477416813,0.287109435,-0.024701843,0.571205378,0.330869317,-0.261426836,0.512257218,0.335272014,-0.239350274,0.716856837,0.507732987,-0.04435369,0.400423586,0.497968733,0.082659006,0.747934222,0.801368654,-0.145849705,0.212898687,0.745345712,-0.29074192,0.717511058,0.987709582,-0.417628706,0.301481068,0.427368224,-0.866605103,0.716510773,1.07162118,-0.483069897,0.298338324,0.338967383,-0.970087707,0.686966658,1.038712382,-0.487271845,0.316230208,0.327772409,-0.91251266,0.677396178,0.999156833,-0.425537169,0.332443327,0.364485383,-0.857498169,0.645560324,0.99471283,-0.032844689,0.446795523,0.975952685,0.034613024,0.653675556,1.316666722,-0.457525879,0.443812668,1.388014674,0.05598532,0.637300372,1.739086866,-0.203196436,0.444335073,1.779882908,0.263559312,0.641540885,1.797800064,-0.193506852,0.443293184,1.834129095,0.275147736,0.604218304,1.887077332,-0.516889334,0.450680166,1.92849791,-0.030363301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283511519,0.432526827,2.93E-07,0.311006159,0.406663835,-0.016259288,0.322146624,0.374480337,-0.023896879,0.305522293,0.343351245,-0.031798024,0.28710711,0.316817969,-0.038796727,0.327136457,0.322725147,-0.007426496,0.32469213,0.280891061,-0.021140518,0.320210725,0.251355886,-0.030348117,0.315396905,0.222792983,-0.036140796,0.308358401,0.317189515,-0.008779388,0.317371577,0.267367184,-0.024274237,0.320862174,0.238599896,-0.031979732,0.324005067,0.211467117,-0.034636088,0.288058132,0.323932171,-0.012887838,0.28300336,0.297734559,-0.037464321,0.284847856,0.334296942,-0.039613895,0.289309561,0.359736353,-0.033501912,0.267730743,0.339767188,-0.018111249,0.26655364,0.327268183,-0.037282623,0.272586286,0.354398191,-0.036646437,0.278919429,0.374033213,-0.031321734
