class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75
S,0.546948016,0.287303239,-0.689255178,0.570197105,0.24787651,-0.658739507,0.582473397,0.247691572,-0.6587677,0.594739556,0.248026028,-0.658892572,0.523474813,0.247461379,-0.64951843,0.507738769,0.248558819,-0.64950484,0.495583236,0.24994503,-0.64985615,0.616955996,0.27095139,-0.387067854,0.480022907,0.272046208,-0.334471792,0.575047553,0.335868895,-0.583060384,0.519973934,0.335444033,-0.570146382,0.704434395,0.486373723,-0.266997844,0.392115861,0.448667169,-0.134477824,0.73817575,0.776313126,-0.291249424,0.194153875,0.546981275,-0.5533306,0.69632858,0.972638667,-0.471675783,0.276237011,0.298597515,-1.194822192,0.698171556,1.07050848,-0.525314927,0.278851658,0.235809192,-1.317298412,0.662736118,1.036161661,-0.538152337,0.297242463,0.223684728,-1.256548882,0.652899802,0.99781239,-0.480431169,0.307487845,0.247611046,-1.189859867,0.621965647,0.963399589,-0.057481717,0.420358181,0.957348049,0.059017111,0.612779975,1.371099353,0.106782898,0.420261472,1.364056349,0.390461743,0.593806982,1.712764859,0.583441854,0.408507496,1.709379911,0.901913464,0.5943501,1.761125445,0.61621052,0.404719532,1.762224317,0.947560966,0.561521888,1.847782135,0.250994116,0.422540754,1.837951422,0.575219512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263570279,0.297403812,-1.80E-07,0.290587455,0.280101746,-0.009907179,0.310421228,0.252023757,-0.014405794,0.300751835,0.221621856,-0.018780256,0.282633901,0.207681775,-0.020750247,0.304725021,0.218785957,-0.002496772,0.308543712,0.188885361,-0.015321019,0.303769857,0.215984434,-0.021164905,0.302636504,0.227148607,-0.023547418,0.286091775,0.215246499,-0.00353057,0.287553072,0.184336856,-0.017288679,0.285137534,0.215456232,-0.019741392,0.285295874,0.225111455,-0.018052496,0.26819104,0.217334926,-0.006793278,0.267228693,0.192990988,-0.0215842,0.268158019,0.224792182,-0.016696133,0.269224584,0.234745696,-0.009541902,0.249070272,0.222567141,-0.010802552,0.250448674,0.206101418,-0.018426703,0.254300177,0.227887511,-0.012412591,0.256057531,0.237943128,-0.005816517
S,0.546406686,0.289356172,-0.669348896,0.568821669,0.251180351,-0.640207589,0.580793858,0.25168103,-0.640194476,0.593065083,0.252574503,-0.640321791,0.52431649,0.24925743,-0.632226348,0.508584976,0.249959603,-0.632258415,0.495775759,0.251291454,-0.632701814,0.615542769,0.275875211,-0.376917303,0.479059607,0.274012208,-0.335978031,0.574356019,0.339219093,-0.564834297,0.521015942,0.337296128,-0.555196881,0.702860832,0.484732211,-0.234409884,0.391634941,0.45328337,-0.137370139,0.747228861,0.766772389,-0.239413649,0.19857493,0.5376122,-0.556863546,0.709072888,0.961861432,-0.418898165,0.278186053,0.299050808,-1.167941809,0.71206665,1.053645372,-0.467415661,0.277693987,0.239258155,-1.286797404,0.675903916,1.020533442,-0.487801373,0.299668729,0.231460869,-1.226843715,0.669706881,0.98651284,-0.430360734,0.311175317,0.254934967,-1.162476659,0.636564195,0.953357339,-0.04023413,0.432203352,0.952620924,0.042058591,0.635453761,1.350577235,-0.079751901,0.432756335,1.35535121,0.26509276,0.615695357,1.70283246,0.224477097,0.425827324,1.707812548,0.621682823,0.614065826,1.750037432,0.240001291,0.422071844,1.758755445,0.64936775,0.588224053,1.83843112,-0.12872082,0.443589598,1.833103418,0.291285992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265049726,0.296268314,-1.71E-07,0.291519165,0.28081432,-0.010499553,0.311638534,0.253239155,-0.015418909,0.302381426,0.224123433,-0.01997914,0.283231884,0.212224141,-0.022115042,0.308528721,0.217226401,-0.004073817,0.309311599,0.190309331,-0.016893074,0.30493626,0.217627019,-0.022599785,0.305191517,0.226777196,-0.025128834,0.288734049,0.213963658,-0.004925858,0.288158476,0.187071249,-0.018501749,0.286710531,0.217985734,-0.020336233,0.287856132,0.225792632,-0.018473372,0.269877285,0.216828465,-0.008013153,0.267415851,0.193754703,-0.02282859,0.269762933,0.224894315,-0.017699372,0.271798134,0.233621255,-0.010645259,0.250147462,0.223642483,-0.01185564,0.251011431,0.208141029,-0.020030975,0.255684704,0.229217827,-0.01437648,0.258281142,0.238017976,-0.008020323
S,0.544505298,0.280975223,-0.494984299,0.568336248,0.243047714,-0.46202302,0.580132425,0.244027004,-0.462002993,0.591930091,0.245318174,-0.462154329,0.522059441,0.240934789,-0.451401323,0.506258845,0.241615593,-0.451303571,0.494281471,0.242670298,-0.45164746,0.614371657,0.268939912,-0.219179362,0.479723692,0.265786886,-0.158783808,0.572347105,0.330150306,-0.403668016,0.516301811,0.331197679,-0.388515264,0.704699755,0.483337939,-0.146368787,0.394089639,0.45225662,-0.006122945,0.744436383,0.782266259,-0.215503186,0.191793233,0.544383168,-0.430274308,0.702281356,0.96663475,-0.395218074,0.278955489,0.29683727,-1.034191012,0.704808533,1.063420057,-0.449872434,0.278442442,0.234450281,-1.152407646,0.66948837,1.023490667,-0.450218856,0.299018562,0.22437644,-1.084954619,0.659571409,0.984439313,-0.400516927,0.310405552,0.248629987,-1.028113008,0.632185876,0.962705374,-0.061182588,0.434554875,0.964099586,0.063086033,0.624668837,1.390317082,0.004025308,0.43181777,1.38035965,0.329689831,0.611003041,1.742090583,0.379185289,0.421939194,1.732287169,0.750476658,0.614500165,1.791260839,0.399998724,0.41661039,1.782835841,0.787519157,0.578875244,1.874956131,0.033759069,0.441137403,1.867609501,0.42211324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264515996,0.29783076,-1.75E-07,0.291302562,0.280288905,-0.008989124,0.311175555,0.252477407,-0.013383277,0.30193907,0.222820848,-0.017793862,0.282279134,0.211267292,-0.019979928,0.306447774,0.219870374,-0.002582462,0.309976786,0.190788969,-0.014946775,0.305271864,0.217376754,-0.020952048,0.304388583,0.22889185,-0.023607431,0.287442118,0.216028333,-0.004013363,0.288442165,0.187050119,-0.01711564,0.286299825,0.217146248,-0.019585161,0.286832601,0.227857992,-0.018228929,0.269237518,0.218182191,-0.007457904,0.268010885,0.193922535,-0.021407731,0.269399285,0.224964947,-0.016617466,0.270773679,0.236531243,-0.00985084,0.250178277,0.223863408,-0.011575609,0.251764297,0.207823664,-0.018811999,0.255678445,0.229145855,-0.012907391,0.257460058,0.2397995,-0.006516638
S,0.550591469,0.280954897,-0.504871666,0.572180569,0.242856562,-0.468005002,0.584478438,0.243383348,-0.468006074,0.596213341,0.24385947,-0.46807155,0.527433813,0.240592241,-0.459128201,0.512193799,0.240569055,-0.45908919,0.499830812,0.24135603,-0.459478557,0.616859913,0.267623782,-0.217457265,0.482071549,0.267020911,-0.168808907,0.578297973,0.329704016,-0.412402093,0.524214327,0.330039144,-0.400357872,0.704097927,0.485117257,-0.139620706,0.394806564,0.4560588,-0.022450553,0.740585268,0.774147391,-0.185812026,0.200396568,0.543058991,-0.433502495,0.702038288,0.965014398,-0.368559688,0.27875495,0.297349244,-1.012097001,0.707916498,1.06004703,-0.423403174,0.279442579,0.237117112,-1.131936789,0.672424912,1.028618097,-0.436132014,0.298785031,0.225308076,-1.071659684,0.665917456,0.989100337,-0.378825516,0.310673356,0.248305321,-1.008553267,0.633272588,0.961411834,-0.047148805,0.434900194,0.964198649,0.048935592,0.624117851,1.380408049,0.003967728,0.43513602,1.375290275,0.315954298,0.609594703,1.727860808,0.363834977,0.42471832,1.724092484,0.740308821,0.610756397,1.774796247,0.384122849,0.419190019,1.773299098,0.777471006,0.582254052,1.859999537,0.021742845,0.4436315,1.853089571,0.417103231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264507174,0.295581847,-1.66E-07,0.291301966,0.279565305,-0.010775222,0.311318815,0.251441807,-0.015428517,0.302119762,0.221411034,-0.019672679,0.283158064,0.207943454,-0.021340836,0.306610167,0.216872171,-0.002977918,0.30898118,0.189199999,-0.015795739,0.304062575,0.215747193,-0.021625794,0.303623557,0.225699812,-0.024072755,0.287739903,0.213150322,-0.003467841,0.288028419,0.185130998,-0.017417915,0.286079407,0.215769336,-0.019754304,0.28714481,0.224339887,-0.017906157,0.269742399,0.215177193,-0.00628084,0.267565161,0.193870798,-0.021017104,0.269189507,0.224386483,-0.016322015,0.271204293,0.232676625,-0.009333597,0.250793189,0.2205064,-0.009933718,0.251833916,0.206750497,-0.017485723,0.255789846,0.227383494,-0.011855694,0.257985651,0.235682815,-0.005508074
S,0.550119996,0.28437084,-0.674958527,0.5718382,0.246448174,-0.637025356,0.583657146,0.246688783,-0.637009501,0.595266104,0.247269288,-0.637072563,0.527798951,0.246139526,-0.630543292,0.512158692,0.247148857,-0.630505383,0.499379396,0.248660743,-0.630865097,0.616744101,0.272494018,-0.349437803,0.482173115,0.272992492,-0.310332209,0.577229738,0.336017132,-0.566003501,0.523978949,0.334612072,-0.556865215,0.703765035,0.490972459,-0.221013337,0.396310866,0.457386971,-0.133156613,0.736342251,0.784979284,-0.232757285,0.20592995,0.548111677,-0.547805369,0.69489789,0.975477397,-0.426138967,0.281137317,0.303411961,-1.176517606,0.699630022,1.067537308,-0.478778839,0.280532032,0.242574275,-1.301476598,0.665601969,1.031118751,-0.496534348,0.298090339,0.229285106,-1.248406529,0.655110478,0.995152175,-0.437521279,0.310226798,0.251939416,-1.175580621,0.622362375,0.966438353,-0.04737214,0.427022874,0.966067433,0.04930713,0.617659211,1.380562544,0.076162949,0.428910673,1.378588915,0.421737731,0.604373276,1.720277429,0.522527337,0.41864863,1.72143662,0.975097835,0.605996609,1.770047665,0.551496863,0.413817167,1.77470541,1.024695396,0.573998988,1.854070425,0.169755414,0.43595919,1.84958005,0.64230895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264513731,0.297532976,-1.89E-07,0.291223049,0.281189263,-0.010689386,0.311774582,0.250876546,-0.015368718,0.300032854,0.220715597,-0.01952368,0.279217064,0.211800963,-0.021104606,0.307589173,0.217547938,-0.003852482,0.308887929,0.189722374,-0.016386701,0.304135144,0.21835877,-0.0218764,0.304327786,0.227590173,-0.024399785,0.288408935,0.214164764,-0.004703061,0.288617402,0.186684355,-0.018384399,0.285994142,0.218630672,-0.020364003,0.286263227,0.226097718,-0.018527539,0.270354211,0.216564834,-0.007739741,0.267759413,0.194281593,-0.02214,0.269254029,0.226244628,-0.016701913,0.271051019,0.234318227,-0.009505039,0.25134635,0.222023696,-0.011605117,0.252086133,0.207591236,-0.018734267,0.255488873,0.229602396,-0.01233744,0.256933153,0.238208547,-0.005679735
S,0.558108807,0.280985475,-0.487841904,0.576609969,0.243659258,-0.450969845,0.588867247,0.244849622,-0.451022923,0.600290895,0.246130049,-0.451094449,0.533363581,0.241699398,-0.447387695,0.517097056,0.241963625,-0.447334826,0.502687633,0.242797032,-0.447842062,0.619170189,0.271092296,-0.196753368,0.481873572,0.26984483,-0.172914043,0.584441125,0.332866371,-0.39206326,0.529435933,0.332512021,-0.387320668,0.707573175,0.48655802,-0.100779615,0.392842352,0.461471975,-0.040360797,0.746438682,0.782203317,-0.154393211,0.195369631,0.548293233,-0.462840974,0.69799459,0.975693703,-0.340925217,0.27787891,0.302163392,-1.028146386,0.696884811,1.059762597,-0.393912166,0.279742986,0.239915431,-1.144054651,0.652421415,1.027971983,-0.400459915,0.300148249,0.22766529,-1.086939454,0.652271748,0.991727591,-0.349607974,0.311066478,0.250978231,-1.023152232,0.642513752,0.977614403,-0.039981768,0.437533528,0.979029894,0.041956216,0.630436242,1.398007989,-0.146490753,0.435172379,1.396807432,0.16818513,0.609195709,1.768114567,0.092593275,0.421286643,1.763299227,0.430091441,0.609318912,1.817809343,0.099181302,0.415739477,1.815864325,0.449510813,0.579515636,1.901284337,-0.267853439,0.436309516,1.890424967,0.09335357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264512867,0.300590038,-1.93E-07,0.291906506,0.282628238,-0.009740385,0.311419845,0.252476394,-0.014417344,0.301524937,0.221622825,-0.019117191,0.281571984,0.210216835,-0.021548167,0.307622939,0.219189048,-0.002743616,0.309644073,0.190210178,-0.015663845,0.304495931,0.217043653,-0.021957746,0.303690076,0.228673533,-0.02474354,0.288548112,0.216089725,-0.004128549,0.288623303,0.186177507,-0.018247498,0.286297977,0.216892973,-0.021075724,0.287124872,0.227276415,-0.019604953,0.270344079,0.218502,-0.007671309,0.268245995,0.195214003,-0.022809688,0.270002931,0.226722628,-0.01850027,0.272159666,0.23740162,-0.011665234,0.251352608,0.223764494,-0.011938624,0.252847403,0.207240075,-0.01984686,0.256914139,0.229419261,-0.014035796,0.259207398,0.240461916,-0.007529702
S,0.552536547,0.293038547,-0.534526467,0.575868249,0.253905773,-0.506970763,0.588849664,0.253530025,-0.507044971,0.600521803,0.253556371,-0.507089019,0.529769599,0.253771245,-0.494996965,0.514117181,0.253720582,-0.494985878,0.502140582,0.25417912,-0.495392025,0.622919619,0.275903642,-0.267571658,0.487477541,0.276144564,-0.200184539,0.581772506,0.338672936,-0.441521972,0.524649799,0.339143157,-0.424429029,0.709195852,0.487425923,-0.193871394,0.408190399,0.451043546,-0.022086337,0.746212542,0.778786898,-0.248113483,0.202850387,0.534008145,-0.406995356,0.694631636,0.96759665,-0.420497954,0.282417595,0.290986478,-0.979644001,0.698355079,1.062023044,-0.476832956,0.284081697,0.22809124,-1.093382001,0.662247658,1.027116656,-0.484236717,0.304675221,0.218083039,-1.03608954,0.655295551,0.987102211,-0.426968634,0.315591335,0.242359817,-0.976873517,0.626539707,0.975482404,-0.0674394,0.427361727,0.963160872,0.068957053,0.60802114,1.384124875,0.097552299,0.422456175,1.373427749,0.345747501,0.589219987,1.718606472,0.534309924,0.409923077,1.710063696,0.781211019,0.592489302,1.765461206,0.56355077,0.408356667,1.759441733,0.820471644,0.554951787,1.849262714,0.227929711,0.418491662,1.8376472,0.478454649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268871158,0.29449603,-1.65E-07,0.295209169,0.274571866,-0.007297073,0.31286186,0.245391041,-0.010942231,0.303925157,0.215945929,-0.01509831,0.286339015,0.202828735,-0.017174797,0.307086706,0.213077933,-0.00108685,0.310697854,0.182918489,-0.012585142,0.306097597,0.209326461,-0.01841115,0.304655105,0.221382424,-0.021057904,0.288901508,0.21032384,-0.003147654,0.290545493,0.180785254,-0.015518792,0.288595825,0.212429643,-0.018008737,0.288425028,0.22290495,-0.016822243,0.271573722,0.213035196,-0.007052509,0.270405829,0.18766892,-0.019708067,0.272332221,0.218962952,-0.014790446,0.273427039,0.230237156,-0.008224357,0.252960265,0.218869686,-0.011596432,0.253770143,0.201708406,-0.017607063,0.258602291,0.222138077,-0.011379501,0.260603994,0.232301131,-0.005020743
S,0.577621341,0.301358223,-0.620763481,0.603427827,0.267701149,-0.599382102,0.6160357,0.27005741,-0.599395633,0.626937628,0.272381723,-0.599396884,0.556624591,0.258638203,-0.593502522,0.538140953,0.255044758,-0.593522251,0.523193479,0.252170861,-0.593877852,0.644046545,0.29195416,-0.35490191,0.503037214,0.266059697,-0.319764078,0.596797049,0.357670605,-0.522179008,0.54264617,0.346221507,-0.514124393,0.712210894,0.491622418,-0.242589951,0.402236849,0.44155848,-0.116421029,0.736766994,0.76242882,-0.243992537,0.214013845,0.539008439,-0.485398382,0.692218184,0.959280372,-0.384131551,0.272558689,0.308764726,-1.079446793,0.695956528,1.047561646,-0.435264587,0.276008666,0.244304121,-1.196887732,0.662712693,1.014517307,-0.452094734,0.296764582,0.225264415,-1.146663427,0.657534242,0.977456391,-0.394813776,0.30651921,0.253859162,-1.078692913,0.620431304,0.965308309,-0.03473058,0.417439282,0.961761057,0.036106948,0.599477232,1.386504054,0.108499393,0.415404022,1.375466228,0.268102974,0.578086078,1.727726698,0.52991879,0.405751526,1.718680143,0.685869038,0.577004015,1.774762988,0.557738125,0.401243269,1.767965555,0.721889257,0.549942255,1.863058925,0.227930456,0.422792584,1.845894933,0.365261644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262288511,0.298040599,-2.21E-07,0.28858307,0.273787171,-0.00931856,0.304848313,0.240631729,-0.014617851,0.292946607,0.213779002,-0.02036768,0.273329228,0.203413337,-0.023741292,0.301003009,0.209172711,-0.004035383,0.30234161,0.180678234,-0.018277947,0.298185468,0.210852295,-0.024916969,0.29761526,0.222380206,-0.027770432,0.280887127,0.208255097,-0.006160639,0.280600876,0.180780515,-0.021358036,0.279762715,0.21415621,-0.023699621,0.280885696,0.222939581,-0.021970492,0.262656748,0.211801201,-0.010561102,0.260686427,0.18981944,-0.025669981,0.264111817,0.22261399,-0.020119043,0.266403198,0.231642053,-0.012763944,0.244117364,0.217699528,-0.015813801,0.245140359,0.201420471,-0.022345209,0.250222087,0.223827615,-0.0152223,0.252962351,0.233419269,-0.008197125
S,0.580013454,0.300932884,-0.908337116,0.600368857,0.264694631,-0.879797578,0.612517118,0.265852153,-0.879854977,0.623646021,0.267264634,-0.87997067,0.559208274,0.260539353,-0.877999663,0.542611718,0.259559512,-0.878339887,0.527801096,0.25920707,-0.878711343,0.640752196,0.289569914,-0.595724523,0.503507614,0.274273574,-0.587512612,0.598605037,0.351319373,-0.792634726,0.548592389,0.347114563,-0.79238385,0.707612216,0.485405087,-0.427907884,0.404295534,0.444760203,-0.317434967,0.733960748,0.75808394,-0.382791907,0.206978232,0.543256581,-0.701573253,0.698096275,0.952980578,-0.552174449,0.260812432,0.316430628,-1.328961253,0.701583326,1.047017455,-0.60724628,0.255819887,0.25082171,-1.455225706,0.668955564,1.019380808,-0.643640637,0.279212594,0.241613925,-1.406351447,0.662237048,0.982752621,-0.568339527,0.290368944,0.26726687,-1.328915,0.628412366,0.939324021,-0.042051826,0.444005966,0.944746733,0.043010015,0.641483605,1.308491826,-0.033032186,0.44752866,1.325211644,0.408249795,0.620752573,1.633833766,0.402059138,0.439166218,1.64786315,0.933858991,0.616886079,1.681820512,0.433354765,0.437923372,1.698543072,0.979790092,0.594541132,1.768274784,0.096380487,0.452363312,1.767973661,0.656548738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254429996,0.312414706,-2.28E-07,0.278860539,0.291761786,-0.011672087,0.294869691,0.26174137,-0.017853387,0.284506023,0.23465398,-0.024121992,0.264229983,0.222518176,-0.028118005,0.291259885,0.22174713,-0.003770102,0.290810078,0.199186236,-0.018503727,0.289022177,0.226900831,-0.025741421,0.290560037,0.236097082,-0.029136792,0.271780342,0.219477728,-0.004566112,0.269848704,0.198253974,-0.020092644,0.269798785,0.230256766,-0.023226734,0.272494763,0.237008825,-0.021891827,0.253687769,0.223326132,-0.007955839,0.249980792,0.206477493,-0.023580484,0.253907442,0.237165183,-0.019012032,0.2577371,0.243526563,-0.012271219,0.23523508,0.230927482,-0.012394761,0.234444842,0.219911769,-0.020307101,0.239952311,0.241166174,-0.014729394,0.244041443,0.248145968,-0.008415241
S,0.567825735,0.198438168,-0.553473592,0.586357951,0.175480783,-0.517401874,0.596896172,0.177970752,-0.517416656,0.60798502,0.180851042,-0.517368019,0.545045674,0.170856535,-0.502278626,0.529511988,0.171705306,-0.502124071,0.516160548,0.17347312,-0.502422392,0.625297546,0.215858281,-0.282552153,0.498080164,0.207162559,-0.196993366,0.59363687,0.256461561,-0.471681029,0.540234566,0.248765767,-0.449524462,0.704292953,0.467904449,-0.260717809,0.390152812,0.43006736,-0.020484572,0.73190558,0.768956065,-0.322513193,0.196437448,0.566281736,-0.411153018,0.685828686,0.974323273,-0.456066996,0.263140321,0.319136083,-1.062728763,0.689153194,1.073615789,-0.515821874,0.265572965,0.25010246,-1.178305268,0.654254079,1.043022752,-0.515017152,0.289922208,0.242447913,-1.122029901,0.647028327,1.002870202,-0.46089983,0.300566852,0.267660439,-1.062234163,0.61926949,0.981835186,-0.085925691,0.40873605,0.982325375,0.087811865,0.601193607,1.42923665,0.105408892,0.399628341,1.420012355,0.383217037,0.582340777,1.787304163,0.653636098,0.392714024,1.775945425,0.884873211,0.585855246,1.840700746,0.688125372,0.390455782,1.82977283,0.928800225,0.546479702,1.91614604,0.324787408,0.406127453,1.907248974,0.545676708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260280371,0.306479186,-2.07E-07,0.287025779,0.283895314,-0.008797957,0.302823097,0.253907531,-0.014060757,0.292812377,0.226163238,-0.01999463,0.273404062,0.21281527,-0.023598578,0.297757298,0.219770744,-0.00231812,0.29935047,0.189580858,-0.016663473,0.294831812,0.217827469,-0.023751698,0.294503331,0.231572345,-0.026783833,0.278734595,0.218420312,-0.00453824,0.278335303,0.189061418,-0.019702656,0.276902944,0.220696419,-0.022805754,0.278859556,0.231665537,-0.021358179,0.260939032,0.222318888,-0.009081567,0.258169919,0.201446503,-0.023656216,0.261147052,0.231177449,-0.019093351,0.264683336,0.239948958,-0.012420327,0.243032888,0.228817657,-0.0144692,0.243004471,0.21575065,-0.02093803,0.248231888,0.236405462,-0.014796318,0.252022117,0.245278463,-0.008407986
