class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75
T,0.528672814,0.258789539,-0.452714771,0.552818477,0.220677719,-0.41845721,0.567806602,0.220527172,-0.418296427,0.582280815,0.220828667,-0.41853112,0.503242016,0.227647364,-0.39865759,0.488834709,0.231660545,-0.398260713,0.478110075,0.236215532,-0.398510456,0.61133337,0.249794781,-0.190580785,0.468625963,0.265776753,-0.079359941,0.566845059,0.310754895,-0.37146008,0.502270699,0.31641382,-0.341284037,0.720872164,0.501021087,-0.127002195,0.388145924,0.483739853,0.051262211,0.765181899,0.797619045,-0.192885935,0.17988205,0.64088738,-0.366764963,0.743983626,0.994672,-0.281196505,0.284601122,0.375404894,-0.940278232,0.754217923,1.104479313,-0.332079262,0.29294607,0.301023006,-1.054061174,0.711270094,1.068480849,-0.311209679,0.313014239,0.288946271,-0.962546349,0.702967584,1.023895025,-0.279107898,0.321290672,0.320118725,-0.924354076,0.632270038,1.011791706,-0.085022002,0.415017933,0.989839017,0.087662078,0.616349697,1.525328279,0.012636867,0.407148659,1.505900025,0.328126729,0.599319518,1.914267302,0.488786936,0.395289034,1.895594358,0.775682926,0.604471803,1.971105814,0.513341963,0.391995043,1.95165956,0.814723134,0.560650468,2.055524111,0.112333283,0.416248798,2.051376104,0.39823097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28089565,0.367854327,-2.00E-07,0.314495832,0.341346085,-0.011023498,0.330127239,0.303082019,-0.014928206,0.328052163,0.262234837,-0.019737016,0.328905195,0.232985064,-0.022948371,0.334009379,0.2743828,0.002268612,0.340104073,0.249164104,-0.017231908,0.330227256,0.264881104,-0.030291213,0.321893871,0.28868258,-0.035610057,0.311478019,0.27158919,0.001174889,0.309892029,0.241067082,-0.02068603,0.304668844,0.272810072,-0.028753374,0.30535394,0.304315925,-0.028383905,0.28901577,0.274482965,-0.003359471,0.287347913,0.257093102,-0.026204344,0.287136167,0.293144107,-0.025857426,0.289880931,0.320934206,-0.018393818,0.266389787,0.283295751,-0.008768511,0.268641412,0.270317674,-0.023399474,0.272224009,0.296571046,-0.021185741,0.276340604,0.316079736,-0.01496659
T,0.531054735,0.252804935,-0.43341437,0.551961541,0.214604244,-0.397343963,0.565955639,0.214682817,-0.39726463,0.578268409,0.215709686,-0.397426814,0.505819201,0.220477283,-0.378554463,0.49137038,0.224504769,-0.378177047,0.480493367,0.229426324,-0.3785927,0.608713686,0.24764806,-0.161948368,0.470403045,0.261498332,-0.055775512,0.566945732,0.306124091,-0.348732412,0.504349887,0.312927365,-0.320392638,0.716031849,0.498261511,-0.104127944,0.391482055,0.480368555,0.050619237,0.759344578,0.790309787,-0.211183578,0.18520394,0.633116663,-0.410856813,0.740266025,0.993775427,-0.388306737,0.286704481,0.365260184,-1.042278886,0.748375118,1.105235934,-0.44734484,0.294302046,0.293674648,-1.162249684,0.711659789,1.083620191,-0.438074648,0.313625842,0.281160057,-1.081482768,0.703997791,1.015839219,-0.392707705,0.322231531,0.311896801,-1.030097604,0.628439486,1.012387633,-0.084946886,0.411367416,0.980706096,0.087983549,0.617494941,1.50414896,-0.07513053,0.407578468,1.490116,0.407885939,0.600368023,1.890375137,0.302116483,0.391585886,1.87484169,0.905586541,0.606269717,1.947199345,0.316605389,0.386345088,1.930840254,0.949591458,0.559922159,2.027657509,-0.100084886,0.409517854,2.024456501,0.539236426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282041579,0.367433727,-2.05E-07,0.314832002,0.337549895,-0.011454855,0.329980284,0.299772322,-0.015916808,0.327521294,0.260210782,-0.021342888,0.327115715,0.231211483,-0.025261411,0.334936768,0.273217589,0.001397955,0.340337157,0.248577416,-0.019078281,0.331013232,0.263072431,-0.032988176,0.322279155,0.287436217,-0.038545128,0.311988413,0.270911902,0.000560249,0.309327841,0.241909772,-0.021696581,0.304324478,0.272386461,-0.030096384,0.304870367,0.303974569,-0.02973773,0.289245725,0.273962617,-0.003733604,0.287160516,0.258207709,-0.026347823,0.286749333,0.293145835,-0.025838509,0.289165765,0.321241736,-0.01815144,0.266649902,0.282856345,-0.008994035,0.268337041,0.271080613,-0.022762751,0.271029979,0.296378195,-0.01991665,0.274440974,0.315912962,-0.013220136
T,0.527322948,0.258117735,-0.46644783,0.547865033,0.219429627,-0.428059667,0.562039435,0.219974756,-0.427956492,0.574548244,0.221671715,-0.42819795,0.504531801,0.224486053,-0.4069857,0.491382688,0.228854522,-0.406481206,0.480130196,0.233398572,-0.406723887,0.604957938,0.252171636,-0.185256243,0.471940935,0.263970137,-0.06873329,0.562526703,0.309031188,-0.380999088,0.503834367,0.315660834,-0.349482954,0.711845994,0.49921006,-0.140537411,0.390584826,0.486005008,0.06241814,0.764614999,0.791406691,-0.216319889,0.182454675,0.637434244,-0.396554351,0.746522367,0.997031748,-0.321721494,0.287206888,0.371979177,-1.026959062,0.757073224,1.110242486,-0.373785555,0.295167565,0.29742533,-1.146172762,0.707320571,1.080132604,-0.353774011,0.315592021,0.288089275,-1.056808233,0.703145504,1.016349554,-0.318455905,0.324482858,0.32072252,-1.011470795,0.632370591,1.085844636,-0.095827103,0.415232122,0.993193984,0.098327927,0.614550054,1.533611894,0.01068637,0.402603805,1.519556642,0.489999771,0.599521041,1.924562216,0.472231448,0.389529288,1.911916733,1.054688692,0.605578363,1.982071161,0.496286452,0.385110974,1.968004704,1.10550344,0.559454679,2.063783646,0.080754936,0.411381066,2.066058159,0.687049985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284952492,0.366908133,-1.91E-07,0.31653583,0.341133416,-0.011591347,0.331730545,0.302114516,-0.016024591,0.33080408,0.261758626,-0.021165576,0.328958899,0.233477026,-0.024931114,0.335011244,0.273626119,0.000763682,0.340702355,0.250542521,-0.019335276,0.331478924,0.265960813,-0.033250336,0.322023869,0.290591389,-0.038908117,0.312682897,0.271501124,6.97E-05,0.310162008,0.245121419,-0.021444354,0.305254221,0.276068926,-0.02965164,0.305322319,0.307333738,-0.0295259,0.290367812,0.275580913,-0.00402927,0.287582129,0.260081738,-0.026167447,0.287443161,0.294115782,-0.025658382,0.290019453,0.321442366,-0.018342506,0.268400371,0.285586089,-0.009049466,0.269558966,0.272459805,-0.02308701,0.27280128,0.297177315,-0.020353824,0.276645392,0.316356242,-0.01384082
T,0.527605772,0.257627368,-0.458369166,0.548915505,0.218925774,-0.421093762,0.563413978,0.21927613,-0.421022326,0.575233102,0.219993457,-0.42125994,0.50328505,0.224625587,-0.403827608,0.48956579,0.228889599,-0.403404295,0.479049623,0.233425319,-0.403793901,0.60456872,0.249209464,-0.180379122,0.47097674,0.265308022,-0.081986837,0.564802408,0.306426167,-0.371748567,0.506297946,0.315408438,-0.345810801,0.714134157,0.489344478,-0.116683438,0.392674923,0.481726706,0.039754663,0.756186247,0.784450591,-0.198654547,0.179026037,0.635168374,-0.407054991,0.747893453,0.99444294,-0.332671255,0.287107229,0.373284072,-1.001219273,0.7443223,1.100825429,-0.385805458,0.29984504,0.296676099,-1.11485064,0.708712399,1.080420017,-0.367677182,0.318827987,0.28675282,-1.027552366,0.699024916,1.053179145,-0.331991732,0.326823801,0.319138944,-0.984852433,0.632348657,1.063532233,-0.079500973,0.416652203,0.970758021,0.081905469,0.616878629,1.501674891,-0.004559807,0.406560242,1.486977339,0.398876458,0.606763542,1.891584754,0.4132604,0.399469674,1.875856042,0.89306581,0.613304615,1.946885228,0.432622015,0.39510873,1.92784524,0.936753929,0.571913719,2.026671648,0.019656686,0.425509989,2.027424812,0.516970098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283958554,0.371166229,-2.11E-07,0.316578597,0.341329396,-0.010055083,0.332219392,0.304936498,-0.014537022,0.333145946,0.266192466,-0.020298673,0.331531465,0.239033222,-0.024716925,0.337393463,0.278153509,0.002694077,0.342783183,0.252955228,-0.017114563,0.333081424,0.265774995,-0.031024167,0.324139953,0.288825035,-0.036972988,0.315034747,0.275674015,0.00108137,0.311934471,0.247040316,-0.02090019,0.306294948,0.278531373,-0.029409377,0.306484014,0.310049355,-0.029511532,0.292771667,0.278601497,-0.00385656,0.289402306,0.262479216,-0.025883997,0.2887896,0.295984626,-0.025372632,0.291167825,0.322968245,-0.018202465,0.27082026,0.287196577,-0.00971851,0.271100938,0.27515021,-0.023275999,0.273615956,0.299938232,-0.020635121,0.277122498,0.319030464,-0.014408818
T,0.525984466,0.268981338,-0.502852619,0.546888292,0.227432117,-0.473417908,0.560824692,0.227170885,-0.473239362,0.573532104,0.227498293,-0.473495305,0.503880024,0.23431468,-0.451619297,0.490864664,0.238590062,-0.451175869,0.47928533,0.243711531,-0.451447785,0.60376507,0.253832102,-0.246418267,0.471637964,0.273015559,-0.128985584,0.561962128,0.316550672,-0.419928461,0.504773736,0.326826274,-0.388046145,0.711753607,0.490714371,-0.169702113,0.396898806,0.481315494,0.022258753,0.761681199,0.79390198,-0.220175505,0.17899546,0.642404318,-0.366840959,0.748483837,0.998249292,-0.307265103,0.28493771,0.371464312,-0.925959706,0.748156965,1.120381713,-0.360488921,0.295169055,0.298074245,-1.039907098,0.710065484,1.106840849,-0.343222946,0.316699982,0.286405206,-0.953337491,0.698452771,1.081034541,-0.307908326,0.325556248,0.317795157,-0.911611855,0.636835694,0.996934772,-0.092502654,0.423062176,0.987356007,0.095016956,0.62218982,1.5270226,-0.002106898,0.419718564,1.512096643,0.305265367,0.611782551,1.926463246,0.455964863,0.410505235,1.915973783,0.736290991,0.619355738,1.981338143,0.478800714,0.406694114,1.971258163,0.773433745,0.57110405,2.067523479,0.065394104,0.428437769,2.068989277,0.336449474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284603864,0.368357122,-2.03E-07,0.316004187,0.341042727,-0.01266138,0.331778407,0.303936899,-0.017719299,0.330313057,0.263997853,-0.023327196,0.329747379,0.234874323,-0.027456867,0.335556805,0.276636183,-0.000205057,0.341807216,0.251185954,-0.020716507,0.332670748,0.265182525,-0.034590736,0.323693961,0.289512664,-0.040195752,0.313279688,0.274030656,-0.000395945,0.311494082,0.246593207,-0.022945218,0.306297451,0.278673649,-0.031278066,0.30670312,0.310377806,-0.030924801,0.291048974,0.27714622,-0.004097862,0.288993567,0.261575401,-0.027173607,0.288612664,0.296631247,-0.026751637,0.291567922,0.324324846,-0.019168176,0.268875748,0.286029935,-0.008791242,0.270503432,0.273088008,-0.023574572,0.27359426,0.298617721,-0.021100486,0.277523816,0.318217635,-0.014559345
T,0.527989566,0.259018481,-0.47019285,0.547254562,0.220997944,-0.430876255,0.561967492,0.221574843,-0.43070665,0.574715376,0.223210633,-0.430967867,0.502870023,0.227277756,-0.412708104,0.489172697,0.232328892,-0.412295431,0.478104979,0.237926304,-0.412551314,0.604907215,0.253776729,-0.191349611,0.468827009,0.270367265,-0.090507753,0.565209985,0.311579645,-0.386662185,0.50374186,0.320714682,-0.359670669,0.7124632,0.505365372,-0.151686087,0.388876468,0.493171632,0.042308699,0.757574856,0.811204076,-0.230081171,0.179501742,0.640332222,-0.407182992,0.748991132,1.003447175,-0.306338817,0.289253205,0.369437635,-0.987895787,0.751065671,1.123253465,-0.357132852,0.294724524,0.297197074,-1.10289216,0.711098075,1.107952952,-0.334962308,0.314974993,0.287237346,-1.011385441,0.69955492,1.082553387,-0.303609401,0.323863357,0.317886651,-0.973127663,0.63199389,1.095982909,-0.103169322,0.413374037,1.001491785,0.10577555,0.613763869,1.552743554,-0.014493257,0.406597376,1.536718249,0.398503929,0.596082032,1.949451447,0.444616705,0.389275432,1.933796406,0.886154532,0.604561269,2.006902695,0.466955811,0.384298921,1.990704417,0.928990185,0.548958004,2.088927507,0.056809433,0.408443868,2.089252472,0.512214124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284365773,0.368336022,-2.09E-07,0.31613335,0.342312008,-0.0116277,0.332533687,0.305325001,-0.016122919,0.332170904,0.265520841,-0.021160241,0.331806719,0.235805541,-0.024791023,0.337906837,0.278143823,-0.000159575,0.343711138,0.254253834,-0.019865565,0.333007842,0.269553065,-0.033216018,0.322637945,0.293861687,-0.038536079,0.315351605,0.274535894,-0.00056649,0.313252687,0.247324616,-0.021698797,0.307337821,0.278219908,-0.029400526,0.306602508,0.309219897,-0.028943991,0.292823076,0.276508927,-0.004252419,0.290708721,0.261385292,-0.025909245,0.289952368,0.296041369,-0.025148654,0.291841626,0.323176563,-0.017756917,0.270292878,0.284015387,-0.008836975,0.271637201,0.273524165,-0.022451987,0.27427575,0.298777252,-0.019593455,0.277632415,0.317077547,-0.013068908
T,0.532799542,0.258138776,-0.46482712,0.552182555,0.221217334,-0.425231636,0.566034436,0.222245157,-0.425093114,0.578484476,0.223173916,-0.425312579,0.508715391,0.22471939,-0.414055526,0.495111763,0.228304997,-0.413715184,0.482953548,0.233008996,-0.414086342,0.605737984,0.253785014,-0.173399881,0.471832573,0.266694754,-0.107997917,0.568045795,0.310605407,-0.373927146,0.509766281,0.317158967,-0.357003659,0.706878841,0.489450097,-0.09224727,0.389126182,0.479257405,-0.000297436,0.75272882,0.787722826,-0.17855978,0.181224316,0.623815894,-0.435606241,0.749277174,0.996452391,-0.336169273,0.287073076,0.37129873,-1.00326848,0.759825766,1.088215232,-0.391774237,0.303277999,0.300773799,-1.121350646,0.725818634,1.071609616,-0.388986707,0.325074345,0.29331404,-1.034858465,0.71359998,1.047282815,-0.34406063,0.331514657,0.322685361,-0.987104535,0.62349534,1.001166105,-0.057545334,0.413368136,0.978702426,0.060341649,0.620149255,1.512499571,-0.0675724,0.409331024,1.499585867,0.285697579,0.608237624,1.915017605,0.275424659,0.400584996,1.902949572,0.721855342,0.612589002,1.971562624,0.286962509,0.39421773,1.958343029,0.758116484,0.574130416,2.05313611,-0.13488847,0.427444369,2.050834179,0.328146845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287280977,0.368452877,-1.81E-07,0.318586379,0.347281694,-0.013040385,0.334654242,0.310044974,-0.018132102,0.333249271,0.27016893,-0.023271203,0.334021449,0.239471078,-0.026867663,0.339365661,0.27997905,-0.001823444,0.344096005,0.257000029,-0.022536511,0.334486872,0.274433732,-0.03599494,0.324787587,0.299091756,-0.041004561,0.317005217,0.27576524,-0.001639929,0.31497252,0.249045134,-0.023856107,0.309412867,0.282023251,-0.031550765,0.308828592,0.313415319,-0.030458257,0.294499367,0.277657598,-0.004848822,0.291359723,0.263823688,-0.02791132,0.290731072,0.30076021,-0.027034277,0.293379337,0.327385843,-0.018948525,0.271902651,0.285282969,-0.008921491,0.272178501,0.275624394,-0.023635101,0.275340497,0.302515686,-0.02076295,0.279711127,0.320418119,-0.013744857
T,0.527547538,0.266283035,-0.506804168,0.548622191,0.224098444,-0.471470267,0.562968612,0.22424078,-0.471367508,0.576166451,0.224690437,-0.471560866,0.504418373,0.230810344,-0.451931894,0.491036355,0.235318422,-0.451529682,0.479525387,0.241029501,-0.451866806,0.60554266,0.252219915,-0.233570382,0.471218765,0.273021579,-0.127133057,0.564320505,0.315507472,-0.421407789,0.506507576,0.323903203,-0.39282915,0.713703275,0.49350673,-0.161168665,0.39396596,0.481211543,0.009581541,0.762364805,0.791372418,-0.252105772,0.176521868,0.634688139,-0.420207798,0.753611088,0.995309591,-0.386298478,0.283907235,0.380355895,-1.005026102,0.755541801,1.095456958,-0.443668187,0.299726993,0.304763913,-1.119636536,0.71885848,1.078503728,-0.425378948,0.319875121,0.296235085,-1.032730222,0.707249224,1.054540396,-0.38635847,0.326711446,0.32802695,-0.989260554,0.63511616,1.063447237,-0.082278892,0.42050916,0.977336049,0.084865451,0.624533296,1.508344531,-0.015695643,0.412292421,1.494048834,0.339163154,0.619255245,1.902145147,0.414595783,0.411011696,1.885194302,0.800961375,0.626569867,1.958120823,0.434975535,0.407613188,1.938272953,0.840796947,0.585444689,2.036178827,0.020049213,0.436967611,2.03258276,0.413811833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283326715,0.369051844,-1.87E-07,0.317797095,0.345123053,-0.012076318,0.334089398,0.307798356,-0.017880887,0.333529204,0.267656952,-0.024316635,0.332900465,0.237558603,-0.029349588,0.339363575,0.278993517,-0.002588552,0.342281967,0.254416168,-0.024338922,0.332664937,0.271569163,-0.038988404,0.324668288,0.296668559,-0.045196153,0.316311449,0.274867624,-0.004048562,0.313896358,0.244216472,-0.027997408,0.307942659,0.27652511,-0.036689654,0.307351977,0.309472054,-0.03643338,0.293484122,0.276863039,-0.008780352,0.290575236,0.26017952,-0.032894637,0.289347917,0.29613781,-0.03196812,0.291623026,0.323545039,-0.024016026,0.27111125,0.285077423,-0.014450158,0.272096634,0.272884846,-0.029920423,0.274048984,0.299708039,-0.026962813,0.277439982,0.319235176,-0.020079713
T,0.522397935,0.25884378,-0.483436346,0.542221487,0.219107285,-0.444405258,0.556735575,0.219002783,-0.444343328,0.569045126,0.220261335,-0.44457373,0.498786211,0.226757467,-0.421598822,0.485529125,0.231709957,-0.421173155,0.474986553,0.236791745,-0.421489865,0.600452542,0.249266207,-0.20291166,0.467347145,0.267260969,-0.080672495,0.559194148,0.308409005,-0.398981571,0.499320894,0.317997634,-0.366425455,0.71144706,0.499540508,-0.177472815,0.389057994,0.487707824,0.072740652,0.766146898,0.795237601,-0.265492201,0.178828746,0.645250618,-0.383193821,0.753410697,1.000656724,-0.331125796,0.290541768,0.369523704,-0.969521403,0.751916468,1.112966537,-0.377904415,0.298186272,0.298758209,-1.077797651,0.710853934,1.098592401,-0.348510653,0.318405092,0.288105071,-0.97565347,0.700483859,1.072852492,-0.32381171,0.326700509,0.318785608,-0.949490368,0.639499366,1.081282258,-0.123295985,0.419439971,0.991626084,0.125705808,0.618666172,1.532336354,-0.001879829,0.411994547,1.518391371,0.460462391,0.606648445,1.918959022,0.490636885,0.40218392,1.904062033,0.983397305,0.615402281,1.975610852,0.517064929,0.399040818,1.958199978,1.02998209,0.561669707,2.054301739,0.109508529,0.418832958,2.05657053,0.619050801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286643535,0.366781563,-1.94E-07,0.318062693,0.3427037,-0.011479064,0.33454594,0.305215538,-0.01562096,0.334718972,0.266302198,-0.020289464,0.333140999,0.238318086,-0.023612041,0.338336259,0.27739355,-0.000182455,0.343260378,0.2532565,-0.019909754,0.332627654,0.26952064,-0.033052109,0.322737068,0.294089317,-0.03812461,0.315894097,0.273514926,-0.000667957,0.313205659,0.246508703,-0.022126522,0.30693683,0.277795047,-0.029872831,0.306572437,0.30893454,-0.029121069,0.29334113,0.275675386,-0.004389859,0.290257275,0.261085451,-0.02657916,0.289068818,0.296158791,-0.02579793,0.291407317,0.32325682,-0.018085629,0.271081656,0.283677578,-0.00894438,0.272251666,0.272369355,-0.023060959,0.274509519,0.298127115,-0.020050656,0.278040498,0.316841006,-0.013142597
T,0.525645614,0.259819627,-0.465334713,0.546784043,0.220011175,-0.42792359,0.561627209,0.220259964,-0.427826464,0.573272169,0.220870435,-0.428010315,0.502128065,0.226187766,-0.407074362,0.488521159,0.230754033,-0.40669018,0.478176832,0.23566705,-0.407094181,0.603114605,0.251369357,-0.188590765,0.470086962,0.269125819,-0.076432273,0.562882841,0.309674561,-0.380087405,0.504616618,0.318947852,-0.350048453,0.710806131,0.498229384,-0.11873208,0.389493167,0.488724589,0.044976842,0.749141216,0.806092322,-0.217121407,0.177950472,0.625483632,-0.402131736,0.749363661,0.999218345,-0.369412184,0.283960193,0.379344642,-1.007868648,0.753950894,1.107075453,-0.425469548,0.299409747,0.305002511,-1.125980496,0.719258189,1.087816715,-0.412253141,0.320246249,0.296661198,-1.035429478,0.707497597,1.062845349,-0.372263879,0.327532798,0.328882992,-0.992062867,0.629931867,1.070932269,-0.081448339,0.412456214,0.979121149,0.084271178,0.610971391,1.521316767,-0.062024243,0.396902949,1.501611471,0.372715235,0.59682554,1.922134876,0.321602494,0.386294663,1.902763367,0.856709838,0.602602363,1.979184031,0.336947441,0.381339967,1.956730604,0.898695946,0.559658825,2.057184696,-0.093702503,0.410554707,2.053530455,0.466006458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286880046,0.370169222,-2.15E-07,0.320585966,0.341364861,-0.009829329,0.336657405,0.304133743,-0.014379693,0.336182863,0.266771197,-0.020124655,0.33339864,0.238128334,-0.02460682,0.340204924,0.274152994,0.00050032,0.34258759,0.251834601,-0.019687045,0.33365044,0.271775156,-0.033596441,0.326674491,0.297747552,-0.039568633,0.317175955,0.271705687,-0.001673596,0.315285474,0.243905514,-0.023451218,0.310033172,0.27687043,-0.031401034,0.309844464,0.308525801,-0.031281963,0.29418081,0.275184989,-0.007011057,0.292044342,0.259483278,-0.029361419,0.29201287,0.296095699,-0.028222434,0.294571728,0.323404521,-0.020699838,0.271405101,0.284782201,-0.013172852,0.273116529,0.272348881,-0.027431244,0.276999921,0.299138665,-0.024203541,0.28118518,0.318311512,-0.017482188
