class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75
W,0.554609597,0.276622295,-0.286252618,0.571139991,0.249635831,-0.242572978,0.583934486,0.252651691,-0.242711753,0.596708894,0.255651891,-0.242754966,0.533001244,0.248081982,-0.235293627,0.519715846,0.250688612,-0.235139653,0.50689739,0.254559755,-0.235510156,0.620258331,0.292924702,-0.013345321,0.49017936,0.293393135,0.024139863,0.582811475,0.333973348,-0.203399494,0.528593898,0.331652373,-0.194285497,0.710907757,0.529336095,0.036851261,0.41282469,0.518155396,0.138606623,0.765410006,0.815349221,-0.095598049,0.268315047,0.823126197,-0.190241262,0.75632,1.000832915,-0.458425701,0.313257515,0.502250373,-0.817898452,0.763111353,1.083147168,-0.541630566,0.30275476,0.413849235,-0.943924427,0.729931355,1.054934502,-0.563541055,0.314839423,0.394610047,-0.910261035,0.709944606,1.007812142,-0.479066461,0.330130339,0.42981416,-0.82364738,0.636057019,1.010135412,-0.057771157,0.442034006,1.051131248,0.059905879,0.610877156,1.386671543,-0.244536519,0.398726225,1.421851516,-0.08970426,0.614615262,1.858672738,0.030281756,0.416818231,1.882063746,0.008702638,0.624968171,1.926856279,0.038864899,0.423725784,1.938818693,0.00604315,0.577357233,1.988955975,-0.300451398,0.411788553,2.037960052,-0.327837437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302419811,0.504086137,2.67E-07,0.323437572,0.484745562,-0.020872451,0.333847016,0.452563524,-0.029810078,0.310817957,0.42664507,-0.035858374,0.285342455,0.413117558,-0.042423368,0.334364861,0.388947576,-0.017780216,0.345092237,0.342568099,-0.027581951,0.351188242,0.314278424,-0.036232017,0.354989469,0.287837118,-0.042923145,0.311210126,0.381743759,-0.016100477,0.313187957,0.325229406,-0.024328498,0.313739777,0.293393791,-0.032149129,0.314056367,0.265603542,-0.037522975,0.29163149,0.387737125,-0.016456163,0.282631993,0.340495586,-0.029971924,0.277276397,0.312481046,-0.039514448,0.273818523,0.286546528,-0.045736857,0.274816662,0.404409289,-0.018219274,0.270304501,0.380726248,-0.032733496,0.275987923,0.398720592,-0.034380436,0.282675534,0.418561965,-0.034114935
W,0.550293207,0.273165882,-0.377129942,0.567028046,0.246541798,-0.32866779,0.579623342,0.249058247,-0.328688622,0.592083812,0.251802742,-0.328611195,0.529139817,0.245835245,-0.324112117,0.516305447,0.248877183,-0.323857397,0.504293978,0.252844214,-0.324237645,0.615435481,0.288901925,-0.071278445,0.488910258,0.289814949,-0.041465119,0.579762876,0.331212103,-0.28536725,0.524188995,0.329146445,-0.27844879,0.708108008,0.524883091,-0.012501943,0.404595077,0.509231806,0.055098392,0.758060336,0.818247437,-0.180025369,0.262506038,0.821678758,-0.324180126,0.742137372,1.013309121,-0.583006382,0.315428644,0.493350148,-1.005200624,0.744974196,1.101598024,-0.686926544,0.301898897,0.399890959,-1.146213412,0.706911147,1.074142218,-0.703665555,0.314848423,0.384443402,-1.118206143,0.699028134,1.015448689,-0.605767071,0.331892252,0.422069818,-1.013808966,0.63842088,1.020360589,-0.043824762,0.420527548,1.058333278,0.047028098,0.611015201,1.482021213,-0.119574174,0.404768884,1.471384048,-0.011393509,0.604481399,1.908794641,0.198461339,0.402812093,1.900480747,0.142896503,0.610947609,1.969054937,0.207362607,0.400167376,1.959656239,0.145294756,0.567882836,2.03826642,-0.186076388,0.420935571,2.042759418,-0.267528087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303040713,0.500229537,2.57E-07,0.322973788,0.481781155,-0.021185476,0.332837552,0.451009989,-0.030923743,0.311333776,0.423639059,-0.037940089,0.285970211,0.40825212,-0.045301709,0.331558138,0.38544172,-0.019318977,0.341940194,0.338511825,-0.029784845,0.347479105,0.310467303,-0.038595997,0.35071069,0.283854961,-0.045434121,0.308763891,0.378635287,-0.017933562,0.310392946,0.322164834,-0.026865711,0.310388863,0.290340483,-0.034589611,0.31001094,0.262695223,-0.040002435,0.289617389,0.386051923,-0.01860966,0.27963832,0.338822693,-0.032636918,0.273777634,0.310608834,-0.041981701,0.269857228,0.285258561,-0.048034791,0.27385205,0.404518485,-0.020713644,0.268115819,0.379648656,-0.035151448,0.273637861,0.394222647,-0.036862638,0.280241966,0.41182968,-0.03675355
W,0.548367679,0.280644685,-0.425124109,0.566866755,0.251476943,-0.381177574,0.579578042,0.254127741,-0.381202161,0.592533171,0.256996751,-0.381060928,0.528067172,0.251037955,-0.375709891,0.514568746,0.253719687,-0.375438958,0.501955211,0.257387161,-0.375846863,0.61754173,0.294562638,-0.119234383,0.487161338,0.293698728,-0.085572422,0.577235043,0.335634172,-0.330696523,0.522041917,0.334681094,-0.32232374,0.706824005,0.529145658,-0.030698109,0.402463615,0.505700648,0.011946085,0.756771147,0.813125849,-0.162469402,0.266977042,0.817177534,-0.378243327,0.742004514,0.994868994,-0.535757542,0.314369917,0.50287962,-1.084727764,0.728482306,1.091123819,-0.630271912,0.303525835,0.416024148,-1.229421377,0.694852173,1.061015487,-0.648198664,0.314211011,0.394866109,-1.204603434,0.69473213,1.004186511,-0.557562113,0.329431832,0.431110919,-1.094956279,0.629114866,1.01299727,-0.037417505,0.429374278,0.992523551,0.040689904,0.611080289,1.493409991,-0.141663924,0.418400764,1.482117414,0.034180548,0.600654483,1.920808434,0.139827996,0.400662959,1.908735275,0.226067424,0.605429232,1.980512381,0.143887877,0.39345926,1.970043898,0.233408764,0.567440152,2.047990561,-0.263834476,0.415558755,2.042028427,-0.19423452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305515468,0.502890706,2.76E-07,0.327198774,0.480389655,-0.021260049,0.336698443,0.445156962,-0.029935293,0.312443465,0.421055168,-0.035562724,0.285643071,0.408546329,-0.041624971,0.335009128,0.385418624,-0.016804231,0.347171664,0.338911235,-0.026269022,0.353172064,0.310739964,-0.034875579,0.35604763,0.284106702,-0.041642837,0.311579764,0.379976958,-0.014910042,0.312897772,0.322915018,-0.02259922,0.313511819,0.291232169,-0.030261619,0.313219458,0.264339507,-0.035887387,0.291786104,0.387260884,-0.015285608,0.283010423,0.339907438,-0.02919545,0.277198076,0.310769022,-0.040009126,0.271917522,0.28427282,-0.047405329,0.275152355,0.404401481,-0.016982459,0.272141576,0.380422831,-0.03252203,0.279703856,0.398534417,-0.035406854,0.286946923,0.41896078,-0.036257569
W,0.547766328,0.28227663,-0.42318207,0.565075099,0.250408411,-0.376067907,0.578054488,0.251266956,-0.376107246,0.590687037,0.252955258,-0.375970244,0.525054872,0.254391789,-0.370422989,0.511607051,0.258924365,-0.370143503,0.499449074,0.264021397,-0.370523453,0.613608778,0.287078857,-0.112517282,0.485032409,0.29857862,-0.079473153,0.577815652,0.336969852,-0.328665972,0.520974696,0.340969086,-0.320906103,0.710824847,0.536355436,-0.032935262,0.403026402,0.524511158,0.019651882,0.753242314,0.831255317,-0.149257913,0.263691068,0.821113288,-0.376834512,0.736333728,1.016827941,-0.51012218,0.31443736,0.491419971,-1.072917223,0.732187271,1.116725206,-0.598021567,0.301948458,0.403822958,-1.20918715,0.699145436,1.083039403,-0.613786221,0.312747478,0.381761909,-1.179700971,0.685674608,1.059055328,-0.529892266,0.327258527,0.415244788,-1.081215978,0.64915967,1.09447968,-0.040498249,0.430672646,1.085825801,0.043988746,0.629807174,1.53305614,-0.154956385,0.434758902,1.529515982,0.033929296,0.619125128,1.944614172,0.135409385,0.419216216,1.944058657,0.186017066,0.624300003,2.003669024,0.141765907,0.413663447,2.005262136,0.189068437,0.582571983,2.071979523,-0.255085528,0.429524988,2.075989485,-0.225393206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306480199,0.501590252,2.86E-07,0.327597797,0.480001032,-0.019256603,0.337313414,0.445366859,-0.027475456,0.314247608,0.423113406,-0.032951586,0.287843406,0.413706303,-0.03894962,0.334845394,0.38668406,-0.016372129,0.346841484,0.340161383,-0.025524635,0.352727622,0.311582118,-0.033608627,0.356077015,0.285461456,-0.039788637,0.311536282,0.381715894,-0.015400059,0.31294921,0.324668407,-0.023074301,0.313408852,0.292236567,-0.030333128,0.313356012,0.265314192,-0.035403918,0.292083025,0.389725506,-0.016349914,0.2829763,0.340725899,-0.029869057,0.277183086,0.311686069,-0.039644279,0.272291124,0.285173893,-0.046107288,0.27580446,0.408170253,-0.018421585,0.272874892,0.381589621,-0.03286634,0.280011594,0.399932295,-0.03435611,0.287169576,0.420492738,-0.034145817
W,0.552589953,0.266180158,-0.438555241,0.570641637,0.237200975,-0.388952553,0.583075523,0.239384651,-0.389030457,0.595343828,0.242269754,-0.388890803,0.531018555,0.237510204,-0.384399801,0.518126786,0.2403391,-0.384113282,0.506262541,0.24414362,-0.384470105,0.619008303,0.279413521,-0.120033957,0.493819803,0.280388772,-0.088244349,0.582836688,0.321444333,-0.343580633,0.527907312,0.320413232,-0.336357445,0.713771939,0.525109231,-0.059962809,0.409881353,0.51419276,0.020567184,0.773020983,0.822342455,-0.204817101,0.261415243,0.821537077,-0.41022253,0.754722238,1.012871504,-0.555016935,0.316200584,0.497521996,-1.144689798,0.754379392,1.107359648,-0.650427341,0.306221515,0.400633812,-1.288857698,0.717028141,1.074729323,-0.661795914,0.319944978,0.385359645,-1.256796956,0.70662272,1.023192167,-0.572385669,0.336656064,0.426177859,-1.153087854,0.652249277,1.026122332,-0.050928693,0.434804738,1.078147411,0.054320227,0.639727235,1.523395538,-0.108717307,0.432931125,1.516170621,0.133255258,0.624695837,1.927442908,0.215630367,0.424047232,1.915320158,0.378966302,0.629826128,1.985255957,0.223939985,0.420089781,1.971669674,0.392569274,0.58941263,2.054878235,-0.180230454,0.442290962,2.053409815,-0.016513219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303761542,0.49720934,2.37E-07,0.323366195,0.476984322,-0.019303642,0.333509654,0.445547879,-0.028011072,0.311590225,0.419303387,-0.034400281,0.286454886,0.404461175,-0.041239642,0.333500713,0.381894469,-0.016498838,0.343867302,0.335982591,-0.026138125,0.34933877,0.308512807,-0.034519996,0.352210402,0.281845421,-0.041285962,0.311017841,0.375183523,-0.016152017,0.313448012,0.319290757,-0.024693102,0.313396573,0.288746417,-0.032487847,0.312570632,0.260912895,-0.037990917,0.292240411,0.382430792,-0.017787332,0.282461673,0.336627185,-0.031777937,0.276174843,0.309209436,-0.041048013,0.271724403,0.282651275,-0.047075298,0.276647121,0.400499105,-0.020717952,0.270075262,0.375805914,-0.035077065,0.275043041,0.39245829,-0.036296681,0.281624347,0.411142975,-0.035882805
W,0.553448081,0.258509219,-0.373186707,0.571002364,0.232612744,-0.322790116,0.582821846,0.234970152,-0.322956771,0.59446454,0.23793298,-0.32294482,0.533269405,0.23275423,-0.320101261,0.520681739,0.235539094,-0.319948584,0.508869052,0.239168942,-0.320416987,0.616335154,0.275425315,-0.063073926,0.494676173,0.275633335,-0.042198732,0.581896007,0.311157763,-0.281214714,0.527604103,0.309842646,-0.277259141,0.709322333,0.527892649,-0.009072455,0.40802449,0.514381945,0.053890783,0.761661232,0.817608178,-0.168775305,0.261314183,0.821631193,-0.374619097,0.739689946,1.012596965,-0.535520017,0.31126669,0.505023956,-1.099267364,0.747342408,1.10783267,-0.623332977,0.30512172,0.411477506,-1.235214233,0.71273315,1.0786134,-0.635405302,0.316563368,0.391583502,-1.203069925,0.697763622,1.052895904,-0.553215086,0.331650287,0.429535091,-1.105864406,0.636389732,1.004305601,-0.045849934,0.434942067,0.983726144,0.048579216,0.615257621,1.465226769,-0.114146933,0.414179146,1.453192115,0.101129934,0.605983198,1.861016512,0.178190276,0.413546175,1.852106929,0.304236948,0.611656845,1.918066859,0.186246112,0.412769973,1.907189488,0.313166648,0.57129848,1.985798359,-0.183737025,0.425902605,1.988627911,-0.06142028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30200693,0.498471022,2.38E-07,0.322753072,0.47620523,-0.018869242,0.332853168,0.442923546,-0.026864858,0.309531242,0.416669071,-0.03276616,0.284109384,0.402087003,-0.039138645,0.331342608,0.382368416,-0.014750976,0.341570854,0.3362737,-0.023957167,0.346633047,0.308537602,-0.03198557,0.349083036,0.282542944,-0.038493346,0.308231473,0.375444323,-0.014490656,0.309599638,0.319111735,-0.022383099,0.308747768,0.287969828,-0.029666288,0.307388663,0.261057198,-0.0348951,0.288731009,0.382970721,-0.01636973,0.2791861,0.336868227,-0.030021563,0.272429317,0.308404118,-0.039922047,0.267270774,0.282370806,-0.046574425,0.272491127,0.400935769,-0.019497372,0.267882496,0.379283667,-0.034097061,0.273542523,0.394382924,-0.036444385,0.279904008,0.411433995,-0.036947098
W,0.550812066,0.26107049,-0.314103097,0.56795764,0.233774051,-0.271118045,0.580511928,0.237059534,-0.271277606,0.592852116,0.240854502,-0.27132979,0.528817594,0.232623637,-0.262511134,0.515686393,0.235882044,-0.262294412,0.503616035,0.240031421,-0.262787461,0.616733611,0.279341698,-0.038563129,0.49095279,0.278068721,0.007740083,0.580453634,0.318098009,-0.230744451,0.52586019,0.315480649,-0.219547555,0.716116011,0.52511102,0.006425577,0.408231735,0.514737308,0.107815407,0.760978818,0.8250826,-0.147037759,0.26450482,0.823743582,-0.281460345,0.744605005,1.010553598,-0.509772599,0.316078126,0.504450262,-0.956636608,0.748502016,1.113013625,-0.595316291,0.305900872,0.412165284,-1.086841226,0.71827364,1.08579886,-0.611933649,0.318703532,0.393854678,-1.047134042,0.702621222,1.06043458,-0.529695153,0.334211141,0.432901442,-0.960359693,0.641284645,1.012606502,-0.050320379,0.438137829,0.98497504,0.052838109,0.617109835,1.437745929,-0.229188487,0.40450111,1.443631291,0.041010763,0.614522994,1.873972654,0.010661443,0.408544242,1.882195354,0.175235048,0.622282445,1.938522696,0.013406856,0.410739988,1.940331101,0.175018519,0.578124106,1.996242762,-0.361848205,0.411379427,2.026358843,-0.188242763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303111225,0.498037934,2.44E-07,0.324784577,0.476822555,-0.020448701,0.334612995,0.444854349,-0.029505,0.310924649,0.419451863,-0.035875853,0.285644948,0.405236542,-0.042423379,0.331043363,0.382133514,-0.017891554,0.340705276,0.334854692,-0.027461464,0.345689267,0.30724895,-0.035297003,0.348252296,0.280484706,-0.041498706,0.308373123,0.376505435,-0.016938312,0.309297949,0.318908691,-0.025797071,0.309332162,0.288072646,-0.033035759,0.308851659,0.260736823,-0.037966043,0.289164662,0.384643376,-0.018052367,0.278110355,0.338979483,-0.032021649,0.271695822,0.311198473,-0.041165065,0.267397374,0.2847853,-0.046970934,0.272997558,0.40346384,-0.020559927,0.266425818,0.379011303,-0.034156498,0.271962345,0.394831866,-0.03531608,0.278670937,0.41322726,-0.035021599
W,0.551673353,0.260277152,-0.400518745,0.570118546,0.233605623,-0.357304007,0.582129121,0.235210359,-0.357411772,0.593791187,0.236706555,-0.357352614,0.530993104,0.234446347,-0.350253731,0.517117858,0.2367149,-0.3500458,0.504579842,0.239648208,-0.350413203,0.617340386,0.272602081,-0.115880206,0.493042171,0.275443375,-0.075366087,0.580833554,0.314052403,-0.313498378,0.525477707,0.314047545,-0.303740948,0.718449712,0.515892088,-0.05392288,0.409598351,0.515379608,0.033170618,0.764788985,0.814103544,-0.186886147,0.262101918,0.822807491,-0.358583927,0.761249363,1.04367137,-0.533119142,0.30982241,0.504200935,-1.041857839,0.773581624,1.122343779,-0.619318962,0.302711546,0.410856187,-1.168907166,0.737600207,1.094498992,-0.632987261,0.311647654,0.387350559,-1.137465715,0.719703674,1.069144607,-0.550947845,0.327250272,0.423747241,-1.048743844,0.648593009,1.079409242,-0.046481289,0.434822619,1.071890354,0.04961348,0.635838747,1.501769662,-0.135400116,0.428257287,1.501525402,0.032157909,0.625160456,1.899067044,0.169232205,0.425510973,1.898795724,0.162767321,0.630764842,1.958249569,0.178040773,0.424799502,1.956030369,0.163759276,0.587676942,2.024300337,-0.188036606,0.435908228,2.033573151,-0.209851533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301496536,0.501312733,2.40E-07,0.321801603,0.481130123,-0.020300942,0.331058115,0.446979493,-0.02897854,0.306941479,0.419684708,-0.035084009,0.281665266,0.405902237,-0.041619308,0.329657108,0.382656991,-0.016612072,0.338453144,0.33655104,-0.026491325,0.34340927,0.308246374,-0.035233717,0.346226484,0.281547248,-0.042140052,0.306561083,0.377354443,-0.015361322,0.306408226,0.321205467,-0.024023185,0.305639297,0.289601684,-0.031635851,0.304858178,0.261470765,-0.036880177,0.28776893,0.385924339,-0.016250538,0.276582599,0.338296026,-0.030294184,0.269444197,0.310938418,-0.03940288,0.264590085,0.285409331,-0.045101326,0.272471666,0.405516595,-0.018490188,0.265471518,0.380301386,-0.033067748,0.270703793,0.394829482,-0.034822568,0.277226031,0.410950094,-0.034635745
W,0.552124739,0.265942752,-0.310783327,0.56882298,0.238147393,-0.265769303,0.58109808,0.240504876,-0.265952826,0.59328717,0.243505776,-0.265970469,0.531113148,0.238417625,-0.258987099,0.518387556,0.241713703,-0.258969456,0.506638467,0.245640144,-0.259410441,0.615974844,0.28039366,-0.03184836,0.49292016,0.282637775,0.005051547,0.581140637,0.319578707,-0.226860434,0.5269894,0.318146229,-0.218254492,0.710816503,0.526689708,0.001254345,0.410784632,0.514807105,0.119151548,0.760880232,0.829901278,-0.161848307,0.269424081,0.827985168,-0.239824623,0.740772247,1.040078402,-0.539997399,0.310650408,0.513909996,-0.902826607,0.746933937,1.115824223,-0.62593776,0.301209658,0.417732656,-1.025491595,0.712526798,1.08796072,-0.636995852,0.313551486,0.39498955,-0.995150924,0.696307421,1.063190699,-0.556354702,0.330290794,0.434973449,-0.908910871,0.636148691,1.010224819,-0.075664937,0.430972248,0.987217605,0.077637434,0.595062971,1.400689602,-0.221781582,0.376091957,1.416848302,-0.051307343,0.606575847,1.844824076,0.072724886,0.422472656,1.847407103,0.096594155,0.622613609,1.912174582,0.082381524,0.435094059,1.897743702,0.099792846,0.564691365,1.965629935,-0.257739931,0.41770038,2.003470898,-0.22968559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301702678,0.501315832,2.51E-07,0.321363539,0.481014818,-0.019886771,0.331041902,0.448655903,-0.028631613,0.307573497,0.421866268,-0.034989715,0.282686681,0.407391667,-0.041791666,0.330117881,0.384038538,-0.015684269,0.339091897,0.338055938,-0.025070341,0.343866825,0.309944391,-0.033487815,0.346163481,0.283226967,-0.04030427,0.307429403,0.377958208,-0.014664461,0.307924926,0.322211117,-0.023168283,0.306636363,0.290596187,-0.030994728,0.305017561,0.262341499,-0.036460351,0.288659155,0.385798901,-0.015732894,0.278301746,0.339419544,-0.029562926,0.271382004,0.312058747,-0.038966265,0.266750604,0.286707759,-0.045023073,0.272619188,0.404529184,-0.018134803,0.266180515,0.380970508,-0.032893196,0.271462321,0.3967731,-0.034909319,0.27843833,0.413765609,-0.034904279
W,0.550459921,0.264837086,-0.442643255,0.569068849,0.237219334,-0.397117436,0.581500173,0.24022764,-0.397126645,0.593904138,0.24350895,-0.396968335,0.531511724,0.236034155,-0.389230937,0.518956542,0.238975108,-0.388947248,0.507274568,0.242816448,-0.389343619,0.617843151,0.281302869,-0.137390539,0.494076073,0.28071028,-0.089846782,0.578014433,0.320660233,-0.350948423,0.526055872,0.318262577,-0.338909268,0.714131355,0.523652136,-0.063002042,0.410641611,0.511458576,0.013270545,0.771571159,0.820462942,-0.189193964,0.266411781,0.824039638,-0.388422877,0.748986185,1.012203097,-0.531287611,0.316219419,0.512616456,-1.109234095,0.755460501,1.122314095,-0.623833358,0.304979235,0.421585083,-1.253923655,0.720827758,1.094578385,-0.641582608,0.317260742,0.401768506,-1.22486341,0.710750461,1.024318933,-0.552396894,0.333433509,0.440207303,-1.119710445,0.638373375,1.018585443,-0.045925975,0.438836724,0.991923511,0.049232893,0.62909168,1.514297009,-0.105077066,0.419175059,1.504291058,0.110329032,0.617116928,1.927237034,0.228316501,0.411162674,1.917152882,0.37000522,0.62133801,1.985141993,0.237258881,0.406408727,1.975774407,0.385089278,0.585312665,2.055634022,-0.179632455,0.432844818,2.051545382,-0.046012621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303035408,0.499989122,2.50E-07,0.32343182,0.480603278,-0.021264747,0.333375931,0.449082017,-0.030788617,0.311447263,0.422812402,-0.037625749,0.286105573,0.409383297,-0.04482745,0.330612332,0.383829862,-0.018438431,0.339908719,0.33738634,-0.0287087,0.344783396,0.309249431,-0.037561372,0.34740451,0.282080621,-0.044620872,0.30750823,0.377572209,-0.017324269,0.307947904,0.321660101,-0.026236581,0.307474107,0.290351421,-0.034197751,0.306756377,0.262322664,-0.039864574,0.288479716,0.385430902,-0.018362703,0.277149767,0.339609385,-0.032636579,0.270541131,0.312360704,-0.042240493,0.266083419,0.286511093,-0.048537899,0.273103386,0.40430814,-0.020877615,0.266431034,0.380811572,-0.035683617,0.272405028,0.397268087,-0.037516862,0.279591411,0.415795833,-0.037545275
