class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75
X,0.535284102,0.287076265,-0.333989441,0.55316937,0.254095733,-0.303878784,0.567635655,0.25451225,-0.304006904,0.579636693,0.255458236,-0.304270923,0.513253093,0.260741413,-0.288783878,0.500974,0.266478777,-0.288797855,0.491172612,0.272957981,-0.28938809,0.608071089,0.285193324,-0.12175443,0.482956707,0.307335019,-0.040533934,0.569522142,0.336028695,-0.266261607,0.511707664,0.346176922,-0.245269448,0.719237268,0.510852873,-0.073431425,0.415052027,0.49577719,0.073419824,0.749549687,0.79682827,-0.171503171,0.252068162,0.769027829,-0.28273952,0.638886809,0.976624131,-0.332972944,0.32851243,0.470887125,-0.815127969,0.613333166,1.047420263,-0.379090041,0.332094669,0.389160454,-0.91009587,0.590569019,1.022406101,-0.354057372,0.345364839,0.377165198,-0.847125053,0.592140436,0.997838199,-0.326166391,0.356779873,0.41119355,-0.802782357,0.654789567,0.987015903,-0.037015505,0.446060479,0.976892471,0.038851172,0.633084476,1.365732551,-0.356040955,0.43582654,1.375814199,0.196341097,0.60774523,1.732654333,-0.080420613,0.415255249,1.745206356,0.503104031,0.610196233,1.783396244,-0.068136737,0.409476191,1.800690413,0.524897456,0.568682492,1.873500109,-0.402917445,0.426106155,1.88249898,0.210880563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327683955,0.441941768,-7.00E-08,0.352270454,0.422327101,-0.009392488,0.369070113,0.39150086,-0.01466923,0.363745719,0.363871872,-0.020507332,0.351510882,0.346858442,-0.025308469,0.362503856,0.345599324,-0.004206974,0.363055319,0.306805283,-0.019435508,0.360783219,0.292424619,-0.028228071,0.357898623,0.292404681,-0.031950869,0.340890318,0.346641064,-0.006270846,0.337871403,0.321439534,-0.026094871,0.337367952,0.355857998,-0.030038791,0.339997619,0.37933442,-0.026861928,0.321996063,0.354599476,-0.01063056,0.318074137,0.344753414,-0.029613042,0.321716249,0.375418305,-0.026246451,0.326409161,0.389058232,-0.018403765,0.304126412,0.367382705,-0.015886648,0.303530514,0.3607243,-0.026374348,0.309404671,0.38221544,-0.022007124,0.314855754,0.390647978,-0.015535966
X,0.538378835,0.288058013,-0.305135995,0.555994332,0.253073454,-0.276804924,0.570910931,0.253653467,-0.276973903,0.583236098,0.254851937,-0.277179301,0.514573634,0.258348525,-0.259752065,0.502379298,0.263118744,-0.259788185,0.492392629,0.268900096,-0.260361314,0.611012936,0.284525275,-0.099905275,0.483306885,0.303052604,-0.011758761,0.574165344,0.338796735,-0.238284588,0.514997005,0.345157087,-0.214831442,0.724459171,0.516385913,-0.04983386,0.417336792,0.496421039,0.091559604,0.755896389,0.812394023,-0.171251386,0.25480774,0.763771653,-0.254935205,0.664094925,0.974191666,-0.395212919,0.332371831,0.459546626,-0.769539654,0.634933352,1.038955927,-0.446410239,0.333708733,0.380263686,-0.859029591,0.614184618,1.007031202,-0.42593044,0.34639889,0.370110869,-0.80282706,0.595082939,0.963886142,-0.391344696,0.357338667,0.400428236,-0.759916782,0.652051806,1.002226233,-0.041266147,0.443881094,0.986795008,0.042865969,0.642056286,1.294927001,-0.424451739,0.416326821,1.36874795,0.0029174,0.61858809,1.710847616,-0.146581665,0.432573855,1.761509657,0.201843739,0.621619344,1.76743114,-0.133070484,0.437390715,1.813745022,0.212501571,0.579134941,1.866750956,-0.437329352,0.431324571,1.91350317,-0.074851096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328334808,0.439890802,-5.50E-08,0.35101372,0.422034502,-0.011952108,0.367201865,0.391561806,-0.017580923,0.362215549,0.365219384,-0.022966953,0.350574762,0.347855568,-0.027230792,0.360953689,0.345720917,-0.006058244,0.36103645,0.309037238,-0.021408632,0.358239949,0.293302536,-0.030297173,0.355280936,0.290935069,-0.03416165,0.339800447,0.347087592,-0.006739325,0.335347563,0.324059725,-0.026796224,0.335068136,0.358562291,-0.030896762,0.338779896,0.380503893,-0.027706537,0.321098506,0.355907708,-0.009909416,0.315978765,0.348715335,-0.029895753,0.319556296,0.378947794,-0.027370546,0.325230479,0.390247017,-0.019743359,0.303656161,0.368978173,-0.014068803,0.302366942,0.363460094,-0.025682449,0.30850479,0.385263979,-0.021825507,0.314594448,0.393003911,-0.015452835
X,0.535913169,0.288611948,-0.367444873,0.552423537,0.25431627,-0.339895576,0.566976011,0.254432857,-0.33990106,0.579177976,0.254890144,-0.340157121,0.511700273,0.26167661,-0.325975299,0.499305665,0.26802367,-0.325917602,0.489246756,0.275245547,-0.326440126,0.607822895,0.282676101,-0.154456764,0.480651438,0.310587883,-0.074469313,0.571340561,0.33780086,-0.297242343,0.512478292,0.348900259,-0.276170045,0.72192955,0.507435381,-0.085984141,0.414337933,0.496350348,0.036993764,0.757307291,0.79498744,-0.179175153,0.246907711,0.775369048,-0.322965592,0.66969794,0.965735078,-0.340809822,0.328087032,0.468480945,-0.878700614,0.644641936,1.033540964,-0.384763062,0.330341667,0.386407852,-0.977726281,0.620885909,1.00537312,-0.360459447,0.345368534,0.375588417,-0.919991612,0.622112751,0.981960058,-0.334767312,0.357803583,0.409759462,-0.869335651,0.655517936,0.98491919,-0.034506697,0.441709816,0.98006767,0.036590785,0.635425925,1.396313787,-0.176031783,0.438315809,1.397249699,0.23272419,0.609115481,1.760535359,0.092396282,0.416135699,1.764446974,0.553266466,0.611197114,1.81113565,0.102733865,0.409083933,1.819643259,0.576817691,0.572592676,1.895196438,-0.240460247,0.429672897,1.900844574,0.242345139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326840699,0.442144215,-6.07E-08,0.349818587,0.420967579,-0.010790263,0.365380973,0.390932977,-0.0160105,0.361571908,0.366761088,-0.021292169,0.349872798,0.351254314,-0.025466692,0.360264033,0.347581834,-0.005433489,0.360697418,0.310864478,-0.02067657,0.356913477,0.29476282,-0.029638834,0.353389978,0.29047358,-0.033702269,0.339136869,0.348284543,-0.006862321,0.333756447,0.32360217,-0.027308872,0.33334896,0.357106656,-0.031751059,0.337393373,0.380024791,-0.028653897,0.320178747,0.356421709,-0.010598019,0.314376205,0.349497557,-0.030050287,0.318143785,0.379108071,-0.027388178,0.32425189,0.391156673,-0.019653264,0.302850485,0.368873537,-0.015345809,0.30066663,0.364663363,-0.025953479,0.306412756,0.385659456,-0.021812377,0.312719971,0.393509507,-0.015309951
X,0.539776146,0.294377208,-0.339601368,0.55893302,0.257277429,-0.308207333,0.57358259,0.257227004,-0.308397233,0.585516036,0.257874429,-0.308629662,0.51627332,0.264335275,-0.290691912,0.504129887,0.269435883,-0.290792644,0.493763745,0.275272638,-0.291332155,0.612019181,0.285009086,-0.116783895,0.485479027,0.307784915,-0.029481655,0.575370789,0.345344275,-0.266868025,0.515173912,0.355065346,-0.243489072,0.726502895,0.508598983,-0.063434243,0.419992507,0.498048484,0.087371662,0.76262331,0.809144616,-0.196965799,0.244930536,0.762548089,-0.277512133,0.66917485,0.977110445,-0.454672873,0.334069312,0.461592078,-0.817812741,0.645176947,1.059767365,-0.514683545,0.338534594,0.3760463,-0.909273624,0.618342221,1.022866368,-0.496543586,0.35300979,0.365849227,-0.850008368,0.613886595,1.002064943,-0.449925482,0.364649206,0.398037553,-0.804902852,0.65725565,0.994239569,-0.046658285,0.448895991,0.969539821,0.047835123,0.639800072,1.250468493,-0.530110598,0.422451735,1.340970635,0.047155723,0.620541096,1.674180746,-0.237470716,0.444887221,1.734030604,0.321948618,0.625137091,1.733660221,-0.220409364,0.453104734,1.786159515,0.340203375,0.58646512,1.828623295,-0.521691501,0.44002828,1.889204383,0.055197738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33142516,0.440597951,-8.19E-08,0.355384111,0.419492632,-0.011090129,0.371350586,0.390011072,-0.016903039,0.366100192,0.36386773,-0.022968814,0.353466421,0.347838879,-0.028101524,0.368812084,0.345092773,-0.005321884,0.367607266,0.309359878,-0.020963646,0.363395095,0.292754233,-0.030943923,0.35865742,0.286351591,-0.035995737,0.346680373,0.343935788,-0.006838216,0.340597093,0.320813805,-0.027455732,0.339063704,0.355969399,-0.032187831,0.341982514,0.378872633,-0.029661424,0.326860219,0.350386292,-0.010726818,0.318977684,0.342079014,-0.029989017,0.322490156,0.373268396,-0.026841866,0.328640133,0.386755586,-0.019170679,0.308274984,0.361949235,-0.01577859,0.304033726,0.356784463,-0.026274463,0.309841394,0.379003584,-0.02194762,0.316675097,0.387720108,-0.015563102
X,0.543864667,0.294953823,-0.283121586,0.565134764,0.255527496,-0.254537821,0.578955889,0.255245149,-0.254716933,0.590538085,0.255584955,-0.254875273,0.521979332,0.265309334,-0.235734418,0.50821811,0.271627367,-0.235778958,0.497833878,0.278411269,-0.236401513,0.619493663,0.287061751,-0.080304638,0.492235184,0.314129055,0.014686647,0.578471541,0.343476295,-0.218308777,0.520704508,0.354053676,-0.193842664,0.729660869,0.514635801,-0.048227705,0.424585819,0.506394207,0.146900639,0.759628952,0.831083834,-0.155196771,0.227257684,0.675189137,-0.200106904,0.658017099,1.000426292,-0.293377399,0.340122283,0.426308692,-0.674765289,0.628953278,1.072800517,-0.33176294,0.324550778,0.344277382,-0.758768618,0.608900666,1.03966701,-0.306512743,0.346438944,0.342558205,-0.680177927,0.606680989,1.020035625,-0.28454259,0.364854157,0.381373107,-0.658202887,0.657219291,1.008868217,-0.072568931,0.452180296,0.995657027,0.073778734,0.621761858,1.317477107,-0.437466204,0.415917695,1.372247934,0.099523507,0.618991613,1.74512279,-0.211449653,0.438391775,1.778284192,0.284262031,0.631518185,1.804723978,-0.204556853,0.446746767,1.831880093,0.294233233,0.570991457,1.894367218,-0.52077949,0.427723706,1.930048823,0.017201509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338772237,0.417880923,-1.58E-07,0.348695248,0.401077628,-0.01941994,0.343239903,0.374721438,-0.02595971,0.327015042,0.353581429,-0.030528894,0.312561274,0.338026464,-0.032861244,0.33242929,0.31311053,-0.009443847,0.319815218,0.271825373,-0.022133352,0.304472357,0.269619346,-0.029838637,0.292369694,0.281500399,-0.032610644,0.317875654,0.320321023,-0.003934823,0.291463047,0.315781564,-0.019257741,0.29586488,0.344260156,-0.025135985,0.307693124,0.36337322,-0.024834074,0.306422532,0.332628548,-0.001304636,0.284554243,0.33132565,-0.017330024,0.291820109,0.354574263,-0.0188758,0.302895755,0.36799252,-0.014933561,0.298157871,0.345974445,-0.000301709,0.282031685,0.339559376,-0.011701928,0.287631929,0.356587857,-0.011226729,0.297783077,0.368875027,-0.006858042
X,0.54047519,0.297809303,-0.330151647,0.562827826,0.25808841,-0.309181184,0.57741791,0.257522821,-0.309327811,0.588992834,0.257562518,-0.309440464,0.519253254,0.267542541,-0.283718616,0.50647676,0.273361564,-0.283726603,0.496340126,0.279818475,-0.284391403,0.617438793,0.287531674,-0.146212488,0.491503775,0.314179003,-0.016900415,0.574318886,0.342981637,-0.269328982,0.518012822,0.352481902,-0.235027045,0.730047107,0.519246757,-0.117887236,0.420759439,0.503358245,0.130143732,0.761793017,0.815440357,-0.239447147,0.225022942,0.659359992,-0.237484723,0.685322106,0.979862392,-0.381479412,0.344756633,0.426819801,-0.743444085,0.648676455,1.063897491,-0.420500696,0.329120517,0.344669521,-0.825347304,0.630701482,1.031313896,-0.39322558,0.349220812,0.343763351,-0.740345895,0.62785548,0.977608383,-0.372169495,0.368547261,0.383097827,-0.724580348,0.647529006,1.01062429,-0.09008576,0.441488802,0.993973136,0.091604337,0.627134204,1.400800228,-0.461193651,0.431682169,1.414476633,0.247140914,0.616659343,1.791012883,-0.244710475,0.428298384,1.79777348,0.475784689,0.62606281,1.845137358,-0.241008073,0.428224802,1.852944851,0.490440756,0.570980906,1.930913448,-0.587813377,0.423634231,1.936967611,0.189300537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33951506,0.425957054,-1.29E-07,0.350566924,0.404606402,-0.024300482,0.343458056,0.380017936,-0.033916079,0.3221834,0.36362654,-0.040536623,0.305223852,0.351662517,-0.044243101,0.329166949,0.316829145,-0.01354486,0.316339999,0.278338999,-0.029111294,0.301119864,0.277268559,-0.038188007,0.289593697,0.288650244,-0.041682683,0.317384422,0.327851355,-0.006243682,0.289320976,0.326923996,-0.023922062,0.295852184,0.356294096,-0.029278852,0.309882402,0.369722873,-0.028486196,0.308215648,0.343078405,-0.002681743,0.286194921,0.346755266,-0.021675128,0.295587689,0.368268102,-0.022549653,0.308271736,0.374082476,-0.017731382,0.301966548,0.358469009,-0.001099647,0.284968317,0.355927914,-0.014509968,0.292072654,0.373294026,-0.013708143,0.303100616,0.382039845,-0.008811243
X,0.578190625,0.280709207,-0.496200234,0.603997827,0.241517603,-0.459322989,0.619328678,0.240813971,-0.459381491,0.63278681,0.241144419,-0.459310383,0.553671122,0.24979414,-0.442076117,0.538438797,0.254463017,-0.441975921,0.527692676,0.259265602,-0.442495525,0.663990498,0.270881593,-0.219643801,0.520928621,0.288778841,-0.134546027,0.614637852,0.33418709,-0.407260507,0.554137766,0.341180384,-0.38451165,0.762218535,0.518607438,-0.141549006,0.456213892,0.487475395,0.005413928,0.793939114,0.795541644,-0.243880913,0.264624268,0.644164681,-0.438760102,0.744871199,0.988259673,-0.460783303,0.332529396,0.404520154,-1.104991317,0.726099372,1.086884618,-0.518296063,0.320857197,0.328614414,-1.225708008,0.693532407,1.051172972,-0.5177356,0.337964833,0.31488201,-1.175490618,0.693566263,1.007848263,-0.463470161,0.353354305,0.348159492,-1.104140162,0.674287975,1.06319344,-0.063730448,0.474958599,0.976071596,0.065949902,0.642247498,1.428890944,-0.119746134,0.452139199,1.411058664,0.2368339,0.626477242,1.813336611,0.181904748,0.439439714,1.79823792,0.540916562,0.632329226,1.8742733,0.193059474,0.438472271,1.85828948,0.562363803,0.589633882,1.939063549,-0.159741163,0.44433552,1.932378292,0.220248491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326033264,0.406542122,-1.34E-07,0.336791486,0.391577244,-0.023314252,0.33289513,0.367386788,-0.033223324,0.318529367,0.345471591,-0.040235981,0.304065287,0.326328993,-0.044481937,0.329765052,0.300013274,-0.016239792,0.326405466,0.255208492,-0.034847576,0.310467571,0.243655503,-0.046264105,0.295810819,0.247295678,-0.051075637,0.314071864,0.307009518,-0.00999644,0.289622247,0.297572553,-0.030946564,0.290133208,0.330338627,-0.037167944,0.300993264,0.349309534,-0.03611939,0.300422698,0.318510801,-0.007247603,0.278769463,0.30963859,-0.02786863,0.283416212,0.336645067,-0.027471069,0.29517442,0.349593878,-0.021289298,0.29096657,0.331694901,-0.006475774,0.274317741,0.323193967,-0.021646114,0.278996408,0.343926489,-0.02048501,0.290051997,0.356929123,-0.014639031
X,0.557032526,0.299187124,-0.515113771,0.583065033,0.251852095,-0.494210064,0.597908139,0.251769483,-0.494253963,0.609287858,0.252916932,-0.494229257,0.536958337,0.260038793,-0.464940459,0.524876833,0.264340103,-0.464983761,0.515257478,0.268832326,-0.465483189,0.639113009,0.281677783,-0.31050998,0.512902617,0.295292258,-0.164413422,0.591336548,0.349831522,-0.445123017,0.535213768,0.357526302,-0.405528009,0.740454614,0.52059269,-0.295964628,0.458285809,0.493767917,0.061544884,0.741218209,0.852068007,-0.39729327,0.263485581,0.627666354,-0.284773529,0.60880214,0.998034656,-0.459712744,0.354780912,0.389602929,-0.800451458,0.546353638,1.066111207,-0.49695453,0.352457106,0.311062932,-0.883898437,0.519053698,1.027890205,-0.458463818,0.370710462,0.302989304,-0.796688914,0.529239535,1.000748277,-0.44062978,0.38310039,0.336122781,-0.783803046,0.659073949,1.004060388,-0.109326161,0.46712184,0.953470528,0.110930122,0.625148892,1.420176983,-0.187600151,0.438468069,1.389928102,0.294432789,0.601746202,1.774402618,0.13899526,0.413833916,1.737958908,0.59465003,0.61352849,1.832310438,0.154800966,0.410858393,1.7957232,0.618336618,0.543595433,1.898186803,-0.185350969,0.409305573,1.870464802,0.305207729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349355102,0.377102524,-3.77E-08,0.366217494,0.365744531,-0.022833835,0.372350752,0.343609601,-0.035683654,0.364054888,0.322142452,-0.046720952,0.353506118,0.302262276,-0.055371821,0.366175354,0.274766266,-0.017251056,0.363248438,0.232652023,-0.036771066,0.355867326,0.224650145,-0.04774775,0.349040806,0.235795066,-0.051860873,0.347753048,0.278709114,-0.012613883,0.326510489,0.274391979,-0.034199286,0.328462541,0.307066739,-0.03899676,0.33861661,0.324509919,-0.036927283,0.331529021,0.288069487,-0.011612718,0.312483698,0.291980833,-0.032816108,0.319811761,0.319213092,-0.030557724,0.332778692,0.327584118,-0.023501616,0.318285853,0.299855888,-0.012705504,0.303927034,0.300376624,-0.027293447,0.311387926,0.323824823,-0.024687402,0.323798478,0.332512408,-0.018211937
X,0.56938231,0.312085032,-0.456101179,0.591559172,0.271087348,-0.43315953,0.606573343,0.270415246,-0.433268309,0.618405938,0.270272315,-0.433387756,0.546938539,0.278083861,-0.410189092,0.534401774,0.281405926,-0.410319895,0.524709642,0.284621358,-0.410724312,0.647663891,0.292663872,-0.250712067,0.521728039,0.306840122,-0.138849139,0.606687725,0.358363211,-0.384489059,0.549511194,0.363803595,-0.35426718,0.748638928,0.515285254,-0.233293295,0.463855505,0.482859313,0.068607293,0.750770211,0.808432579,-0.338763237,0.274756819,0.607182443,-0.278824121,0.635572851,0.978780389,-0.464208215,0.362398267,0.375172138,-0.790855706,0.602683604,1.06013763,-0.513702333,0.359553695,0.301123261,-0.878068089,0.562228203,1.019486666,-0.485952914,0.376942158,0.286863208,-0.802437901,0.568866074,0.988856018,-0.450662434,0.388103008,0.318239987,-0.7757653,0.655927777,0.981066644,-0.12287654,0.469077408,0.946613908,0.123574451,0.633388698,1.289556623,-0.260340333,0.409999281,1.259013057,0.113516673,0.619747579,1.645311356,0.020359101,0.447709173,1.631225348,0.417293876,0.634638071,1.701286197,0.035345491,0.464152634,1.680266142,0.441989034,0.569524229,1.76470077,-0.237035662,0.417994887,1.777677655,0.214530423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360459596,0.378513545,-4.48E-08,0.377266765,0.368443131,-0.02321806,0.383917361,0.347655356,-0.037556831,0.378622741,0.328720152,-0.050223071,0.367816955,0.309817016,-0.060415823,0.382297367,0.277386397,-0.020411417,0.378699362,0.23342666,-0.04253123,0.373048306,0.227515221,-0.055579394,0.367105782,0.240991324,-0.060932174,0.364172846,0.281054586,-0.016349502,0.345732689,0.275869817,-0.039230362,0.346851707,0.30789271,-0.044652246,0.355717421,0.323940992,-0.043272659,0.347588062,0.2900244,-0.016004428,0.331201404,0.294007242,-0.036588185,0.337457418,0.321523994,-0.033589985,0.349709839,0.328416348,-0.026742294,0.333383471,0.301430881,-0.018064871,0.320602685,0.305773914,-0.031449936,0.327558547,0.328725904,-0.028502088,0.339824587,0.334609568,-0.022378527
X,0.568238139,0.32381475,-0.387455583,0.592408478,0.279578894,-0.362871528,0.607854247,0.278199673,-0.362979382,0.620090663,0.277310491,-0.36299926,0.5485605,0.288590312,-0.340090752,0.53594619,0.292984605,-0.340060622,0.525636733,0.297540367,-0.340553999,0.651212931,0.300560951,-0.17675975,0.523174047,0.320101321,-0.06621892,0.603842795,0.37231338,-0.314903051,0.549050808,0.38176468,-0.285510749,0.752248049,0.529769778,-0.1533214,0.462024778,0.489928514,0.139249146,0.742892563,0.838279486,-0.253998905,0.257763863,0.634348154,-0.18562445,0.631345391,0.990738571,-0.378295243,0.364690125,0.393102288,-0.662416518,0.580128491,1.067256808,-0.430571318,0.36186862,0.313984513,-0.750564277,0.556133687,1.026047468,-0.402978033,0.382118821,0.30600369,-0.668044984,0.554461539,0.991698861,-0.367103457,0.394214511,0.34242031,-0.645319879,0.653924644,1.004055738,-0.111649171,0.466879129,0.945965946,0.112780139,0.617768407,1.351875782,-0.284197658,0.421720266,1.327139735,0.130921707,0.614732385,1.740668058,-0.05290835,0.439005196,1.728639841,0.326759845,0.629529774,1.798638225,-0.046628971,0.449002743,1.785123944,0.33942917,0.56239742,1.868527174,-0.360642999,0.412158012,1.870991468,0.06586197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362688214,0.377801746,-1.26E-08,0.380281419,0.367996752,-0.022910796,0.387434512,0.346407294,-0.03742969,0.381078184,0.32666266,-0.0504588,0.369269848,0.307871461,-0.061088338,0.385144353,0.278511643,-0.020241898,0.3824839,0.234730273,-0.042291641,0.376897633,0.228687108,-0.054548375,0.370296746,0.239908546,-0.05935872,0.366705269,0.282806516,-0.016434291,0.347563624,0.276378363,-0.039426513,0.34875524,0.309426516,-0.044226062,0.357420206,0.322625071,-0.04236364,0.350045115,0.291745424,-0.016310189,0.332995802,0.294283867,-0.037923716,0.339828759,0.322905511,-0.034374285,0.352225631,0.32822603,-0.026882207,0.335953832,0.302799881,-0.018370671,0.322566003,0.30488959,-0.032031,0.329835713,0.328350753,-0.028340606,0.342085958,0.334126264,-0.021632558
