class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75
Y,0.532253325,0.274468124,-0.506312311,0.557034254,0.23653616,-0.474324852,0.571523845,0.236210585,-0.474546283,0.583489656,0.236489713,-0.47471112,0.507938921,0.239230871,-0.454145849,0.494985282,0.241181433,-0.454170883,0.485006809,0.243378162,-0.454684734,0.610275269,0.259946465,-0.265591294,0.475579202,0.267746329,-0.163571313,0.566369116,0.324909687,-0.42809096,0.508096039,0.326487809,-0.401229471,0.715655804,0.490293801,-0.216997385,0.40288654,0.481938004,0.029876962,0.750141442,0.779590905,-0.284656525,0.20930247,0.632877052,-0.361613631,0.721093118,0.99658978,-0.437379926,0.289005399,0.391114593,-0.942102075,0.716558695,1.080298305,-0.481385708,0.293854147,0.306992829,-1.03143239,0.683970988,1.054357529,-0.465563685,0.314427406,0.300247848,-0.948339343,0.676474333,1.025974631,-0.432388484,0.325158447,0.335368097,-0.924039245,0.642321825,0.960266888,-0.087008394,0.438959062,0.949097216,0.088345543,0.631185651,1.371217728,-0.005947297,0.447839797,1.369707704,0.454588711,0.630094647,1.706258297,0.429229081,0.441875786,1.704669476,0.954940498,0.638706326,1.760069728,0.45856905,0.441055864,1.760222316,1.00148201,0.592154324,1.836384416,0.138591826,0.452521026,1.831636667,0.698020875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288227201,0.367293984,-2.91E-07,0.312932163,0.346431255,-0.018102931,0.330439091,0.307922989,-0.024487969,0.340552092,0.272827536,-0.029972523,0.357486755,0.252322167,-0.032949168,0.30772084,0.263148278,-0.011887561,0.28449592,0.26265958,-0.028685143,0.283191383,0.29274103,-0.036941014,0.29049322,0.313391089,-0.038328759,0.287561238,0.264571816,-0.00853333,0.268707842,0.272077441,-0.029027198,0.274827182,0.305572063,-0.035498869,0.283456683,0.323399991,-0.03511155,0.270128131,0.272140741,-0.008252156,0.252271742,0.275293946,-0.029832438,0.261006117,0.303319573,-0.03366448,0.272371918,0.321281046,-0.029852757,0.254149437,0.282915384,-0.009148844,0.238048479,0.2576859,-0.020783493,0.224637926,0.242788538,-0.023424223,0.213553816,0.228297591,-0.021965912
Y,0.529389501,0.264375389,-0.447251797,0.554208219,0.224563941,-0.415638149,0.569086969,0.224025726,-0.41570425,0.580342531,0.224760473,-0.415958554,0.507052064,0.230183259,-0.394051731,0.493956268,0.233680487,-0.393916458,0.484621048,0.23748523,-0.394488424,0.609616637,0.250410676,-0.211824268,0.479779154,0.259327292,-0.097297683,0.566734731,0.312476277,-0.373629868,0.504615963,0.317812502,-0.343554586,0.722128272,0.497905672,-0.167871386,0.403042465,0.486822248,0.05707252,0.756264091,0.836321175,-0.234243795,0.21024096,0.626350045,-0.355180681,0.725535393,1.01286602,-0.353173226,0.298846096,0.367651582,-0.9305619,0.716399848,1.090480804,-0.386731684,0.294800252,0.290045917,-1.021782398,0.688185811,1.063843369,-0.358423144,0.313799977,0.285449922,-0.933675945,0.682784617,1.036264896,-0.343978524,0.325813562,0.320854664,-0.912462831,0.652838945,0.980532229,-0.088679247,0.440308869,0.956232727,0.090599731,0.636141777,1.439244747,-0.064776182,0.44002685,1.430291772,0.423835665,0.627008557,1.807453394,0.311736554,0.428882778,1.796209574,0.885030746,0.637882173,1.865749121,0.330668092,0.424918741,1.853549719,0.925997555,0.583664596,1.939407706,-0.03539177,0.444749981,1.938067913,0.574757278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291826785,0.363590896,-2.92E-07,0.315696388,0.340501785,-0.016719714,0.331370294,0.302490145,-0.023420451,0.341562361,0.269238323,-0.029459959,0.358056247,0.249914914,-0.033232942,0.307756364,0.261174053,-0.013180678,0.285766602,0.260157615,-0.029585302,0.284402907,0.290368021,-0.03749169,0.29103747,0.309886277,-0.039064683,0.286788344,0.264592409,-0.010834782,0.270721495,0.268878937,-0.030685509,0.276298463,0.301191002,-0.036442041,0.284148723,0.318821758,-0.035982452,0.269097537,0.272892743,-0.011264427,0.253278524,0.272066981,-0.031841733,0.261944681,0.298864484,-0.034993131,0.272902369,0.316346705,-0.031329639,0.253797382,0.283791333,-0.012801008,0.237197399,0.258877128,-0.023688279,0.224041432,0.245383739,-0.025799984,0.213222384,0.232036725,-0.024406422
Y,0.529333651,0.267476678,-0.479518592,0.555592835,0.226480246,-0.449003875,0.570571125,0.225777447,-0.449095726,0.581611216,0.226311207,-0.449338377,0.50707072,0.231949627,-0.430042446,0.494043171,0.235060826,-0.429890573,0.484700859,0.23844637,-0.430403411,0.610756934,0.250786722,-0.231466576,0.480018228,0.258994699,-0.129075289,0.5665012,0.318213522,-0.398150414,0.50565207,0.321077168,-0.371331692,0.723201752,0.502834082,-0.173640326,0.403921038,0.475796998,0.021368103,0.756819427,0.835074782,-0.252823442,0.215836436,0.615833879,-0.395821124,0.711925089,1.039371014,-0.42091459,0.295311481,0.367052257,-1.000510931,0.703932643,1.129632592,-0.468901724,0.290814608,0.287785262,-1.099478006,0.6711905,1.101552129,-0.450126469,0.310808301,0.282577783,-1.025430441,0.665191472,1.067682624,-0.416460037,0.323431641,0.317399025,-0.988219917,0.643944621,0.985956848,-0.078934968,0.437731653,0.951449633,0.080842748,0.620831132,1.431215048,-0.032854203,0.424374193,1.418685317,0.412908942,0.607604086,1.796374798,0.352008015,0.414837658,1.782940745,0.878242493,0.616730392,1.853595853,0.372697055,0.411951125,1.839135408,0.919835687,0.566725373,1.928208113,0.011484168,0.432249963,1.925007105,0.567113698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290933222,0.363897532,-2.44E-07,0.314042211,0.342297941,-0.018606257,0.329986632,0.30413112,-0.025870297,0.341086596,0.271510482,-0.031853076,0.357799619,0.252406418,-0.035354514,0.305692196,0.26199916,-0.014119726,0.284114987,0.263423651,-0.031630177,0.283679843,0.292670816,-0.040534422,0.291645885,0.311348021,-0.042619526,0.285243213,0.265984803,-0.010943071,0.269032955,0.271370977,-0.031425685,0.275455534,0.303559542,-0.037503548,0.284403682,0.320409089,-0.03717028,0.267953247,0.274621576,-0.010900646,0.252052188,0.275035262,-0.032137219,0.260895073,0.301393837,-0.035609223,0.272145003,0.318169445,-0.032030422,0.252972126,0.286098063,-0.012140232,0.236016169,0.262090474,-0.023516987,0.222821534,0.248968959,-0.025951833,0.21211338,0.235526264,-0.024736516
Y,0.529092729,0.27180326,-0.453055203,0.555432439,0.230479181,-0.424847066,0.570699751,0.230422199,-0.424971104,0.58225745,0.231490269,-0.42522496,0.507528901,0.236032352,-0.404141843,0.494763464,0.239599288,-0.404025137,0.485102713,0.243235886,-0.404548943,0.610818088,0.25695765,-0.226167247,0.481112778,0.263890743,-0.117473781,0.565852344,0.322720259,-0.379751742,0.504671454,0.326695919,-0.35094887,0.72089088,0.498446822,-0.185977757,0.405567348,0.47968781,0.046909768,0.758422434,0.808774114,-0.264536142,0.217685178,0.629630744,-0.346999735,0.730547369,0.995670259,-0.420781195,0.296712607,0.36648941,-0.915357471,0.719367981,1.109689593,-0.462833792,0.294932365,0.286878288,-1.00216794,0.683777213,1.08276391,-0.445634305,0.311144382,0.278187215,-0.915345848,0.677527368,1.050269485,-0.415826142,0.321965843,0.313579142,-0.895706475,0.649333656,0.97233969,-0.079073057,0.442376614,0.954220831,0.08089415,0.636245489,1.413135767,-0.08438161,0.439141423,1.40743041,0.402306467,0.630138636,1.77394104,0.265612185,0.432318211,1.768188,0.824294448,0.639249444,1.830647826,0.283894837,0.428775012,1.825232029,0.860948741,0.59052676,1.905374408,-0.059016556,0.451120317,1.905287266,0.531101584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288729787,0.365641594,-2.96E-07,0.312520534,0.342356324,-0.016843079,0.327709466,0.302922755,-0.023019627,0.337861717,0.268902123,-0.028512552,0.355519146,0.249129638,-0.031792946,0.302409291,0.261209875,-0.012093325,0.280834794,0.262540907,-0.028225029,0.280642629,0.291923642,-0.036352176,0.288208097,0.31116125,-0.03802992,0.282150209,0.264403582,-0.009469855,0.265576124,0.272879243,-0.028702902,0.272518456,0.304752737,-0.034784969,0.281298757,0.32186085,-0.034773245,0.265072674,0.273207963,-0.009716106,0.249223471,0.277340174,-0.030251639,0.258853137,0.303812563,-0.034120295,0.270511329,0.321099371,-0.030980619,0.250049204,0.284747779,-0.011064582,0.232801527,0.261627555,-0.02207238,0.21875146,0.249206603,-0.024427226,0.206950843,0.237207592,-0.023229243
Y,0.534016132,0.270591736,-0.450925201,0.559109688,0.228528202,-0.429512322,0.57500416,0.228419363,-0.429680407,0.586461186,0.228782997,-0.429809898,0.510497987,0.234434426,-0.404262602,0.497571886,0.237493381,-0.404177606,0.488157213,0.239959374,-0.40478164,0.613538325,0.254306614,-0.240468308,0.482656091,0.263760984,-0.112462655,0.573121846,0.321600735,-0.378045857,0.510160625,0.325600088,-0.343913674,0.724063873,0.502261877,-0.185510203,0.403748214,0.484345317,0.078409411,0.758441508,0.82642442,-0.286996633,0.207370281,0.629288673,-0.306138694,0.721352637,1.007872581,-0.465318978,0.294821084,0.373595536,-0.869116962,0.701039433,1.104139328,-0.511989832,0.294878036,0.293178439,-0.95961988,0.67577529,1.072062612,-0.493236959,0.314457029,0.287599862,-0.875203431,0.668700874,1.044935703,-0.459940344,0.324145436,0.320972741,-0.85133183,0.648740828,1.000107288,-0.098195188,0.438521683,0.969585776,0.099647984,0.625586033,1.425055146,-0.236043498,0.421712339,1.423856854,0.341359138,0.619391501,1.818148136,0.019478282,0.420531213,1.817049861,0.669851661,0.629016221,1.873960972,0.027088482,0.421793371,1.873605847,0.696100473,0.576469958,1.954369783,-0.334017634,0.424125761,1.955242872,0.373173833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291507155,0.368138999,-2.67E-07,0.314640433,0.346419781,-0.018340128,0.330291152,0.307308108,-0.025315372,0.341107607,0.273817509,-0.0309633,0.358379692,0.254391998,-0.034281455,0.306035966,0.264543563,-0.015336117,0.28564781,0.266409934,-0.032239106,0.285254091,0.296158403,-0.040687073,0.292803645,0.315976143,-0.042649392,0.285258442,0.267635643,-0.012048691,0.269696176,0.276109546,-0.031354018,0.276104927,0.308145702,-0.03690511,0.285063535,0.32502076,-0.036798496,0.267860711,0.276871234,-0.011715737,0.252447903,0.280113846,-0.032214087,0.261174083,0.306062043,-0.035695422,0.272575736,0.322846204,-0.032601885,0.252824187,0.289495051,-0.012630131,0.235599905,0.266156346,-0.024005771,0.221365944,0.253153324,-0.026551696,0.209787145,0.240194887,-0.025641792
Y,0.534109235,0.270801842,-0.372944981,0.558723807,0.230729878,-0.347112447,0.57426089,0.230368957,-0.347395211,0.585588872,0.231085435,-0.347559869,0.511713088,0.236589774,-0.32558164,0.499067068,0.239902973,-0.325655848,0.489646107,0.243002236,-0.326302737,0.612348735,0.256377339,-0.16909644,0.485772848,0.264880121,-0.058757909,0.572288871,0.320038617,-0.30682081,0.50992173,0.324024141,-0.277849346,0.727067173,0.506847322,-0.137887046,0.405591905,0.486655176,0.095159955,0.764858663,0.805280805,-0.236759394,0.213353783,0.63689369,-0.334340483,0.750912368,0.990473688,-0.418262184,0.295890749,0.373569489,-0.941934407,0.734261751,1.095930815,-0.460041612,0.292331487,0.287269056,-1.033655643,0.708392203,1.060870886,-0.453234255,0.314771861,0.283238053,-0.947311401,0.69880265,1.034343123,-0.417486578,0.327853143,0.320962071,-0.923565686,0.644558132,0.995840907,-0.092203654,0.43478626,0.968935072,0.093648277,0.631145775,1.39424777,-0.234618038,0.428047746,1.398062468,0.427250326,0.632047355,1.780267715,-0.020312252,0.436295122,1.783729076,0.791519821,0.644292593,1.840391874,-0.0158832,0.440779269,1.84075141,0.821502864,0.589166462,1.912082911,-0.341331273,0.434716791,1.925899267,0.543529153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292459309,0.369290173,-2.95E-07,0.315032989,0.345404744,-0.015644142,0.329929382,0.307369411,-0.022113835,0.340657175,0.2751019,-0.028070534,0.357131124,0.254832387,-0.032313563,0.305615723,0.264469683,-0.013513411,0.284979552,0.267945588,-0.029710026,0.284351975,0.29644376,-0.03893033,0.291137993,0.316615045,-0.041591763,0.284830034,0.267806202,-0.011554912,0.270272851,0.278344482,-0.030346703,0.276623964,0.309451163,-0.037324335,0.284523934,0.328698397,-0.038406368,0.267460346,0.276745886,-0.012063961,0.253028721,0.282393545,-0.031981114,0.261780441,0.308593094,-0.036767244,0.272037953,0.327283144,-0.034714203,0.252322257,0.288347602,-0.013522174,0.234434918,0.265817702,-0.02447252,0.220053196,0.253056079,-0.027280835,0.207575411,0.241041362,-0.026659371
Y,0.53339982,0.261943519,-0.404840887,0.55843699,0.221420765,-0.378899515,0.573125601,0.220334664,-0.379112482,0.584484339,0.220488071,-0.37931332,0.511252105,0.227458417,-0.352016032,0.498067945,0.231004104,-0.351870209,0.489132017,0.234989226,-0.352496117,0.613243222,0.244866431,-0.201208383,0.485497862,0.257100165,-0.065017216,0.569595516,0.308606088,-0.340688109,0.509905815,0.314195812,-0.30496332,0.722986042,0.506523609,-0.196781933,0.411916316,0.481560588,0.120161973,0.758220792,0.833752394,-0.305628687,0.210521609,0.6257357,-0.266981363,0.717020452,1.048678041,-0.433062971,0.297391891,0.369185328,-0.810630143,0.703383923,1.128954053,-0.47598663,0.296401501,0.293008536,-0.893389821,0.674924493,1.098832846,-0.449376255,0.318745345,0.289713264,-0.802325726,0.669318557,1.070204616,-0.42413345,0.32841754,0.324027836,-0.791967213,0.650925636,1.001613736,-0.120228849,0.439362288,0.959285378,0.121887013,0.623452961,1.433552861,-0.222189382,0.430174917,1.427811742,0.415701926,0.623887897,1.820263982,0.050259698,0.431596696,1.813965678,0.767454386,0.638276935,1.87684679,0.057479747,0.433178902,1.870305538,0.795395911,0.576229572,1.952732801,-0.308520675,0.431324154,1.953785419,0.47121492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291436613,0.367127508,-2.63E-07,0.314166069,0.346302986,-0.018832471,0.329443514,0.307383239,-0.026339868,0.34040764,0.273757786,-0.032616794,0.357036442,0.253472537,-0.036444057,0.305208892,0.263886631,-0.01482638,0.283565342,0.26582709,-0.032835234,0.283253133,0.295737714,-0.041915257,0.290863991,0.315103054,-0.044015143,0.284806371,0.268464297,-0.011616954,0.268642128,0.274666041,-0.032978427,0.27603361,0.307356328,-0.039239258,0.285317361,0.324944645,-0.038722772,0.26794365,0.278114557,-0.011574742,0.251998842,0.279684126,-0.033095036,0.261398196,0.306200862,-0.036661901,0.272835255,0.323079258,-0.032999411,0.253817171,0.291182846,-0.012855553,0.235741615,0.268300742,-0.02469901,0.220925421,0.256005526,-0.027658641,0.208746269,0.242956132,-0.026674483
Y,0.534352362,0.258858681,-0.467728466,0.560340166,0.2161569,-0.432231367,0.576119602,0.216246188,-0.432099968,0.588612974,0.216509208,-0.431983232,0.513165534,0.220925674,-0.412514597,0.499922365,0.223923206,-0.412214667,0.490191638,0.227079257,-0.412686437,0.617271841,0.246894777,-0.200368255,0.485962868,0.256126881,-0.097692274,0.573418677,0.313714713,-0.385051638,0.510374904,0.316173553,-0.357480943,0.729626536,0.505887151,-0.136381969,0.402667463,0.492570609,0.069086283,0.763777494,0.844062686,-0.250759006,0.207064718,0.685801268,-0.282201976,0.694027007,1.043202519,-0.473577172,0.292925864,0.386749744,-0.848447621,0.676286697,1.125739932,-0.545562208,0.300396293,0.300858617,-0.964285493,0.644926429,1.09689939,-0.527873039,0.325538576,0.296164095,-0.888942599,0.641935825,1.070935726,-0.475857437,0.335869759,0.328821778,-0.837998509,0.660903811,1.101574183,-0.077332027,0.435064465,1.008494854,0.080344684,0.642017603,1.56053865,-0.149116412,0.435816854,1.548375249,0.153218523,0.626070678,1.984006882,0.17414993,0.417505264,1.97017014,0.422636688,0.635328054,2.044249058,0.1805069,0.411378294,2.032140493,0.439962953,0.580481231,2.123098373,-0.25407964,0.431031793,2.116986752,0.001852955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286817312,0.369279563,-3.22E-07,0.315643221,0.345408946,-0.012256632,0.33721146,0.310308009,-0.017263623,0.353094608,0.280825555,-0.023343207,0.369196147,0.261728823,-0.027798682,0.311972678,0.270520896,-0.004550716,0.298818052,0.256493658,-0.020892363,0.295387328,0.285622925,-0.030570021,0.297710061,0.308293343,-0.032910589,0.290938795,0.271991998,-0.004411695,0.279391855,0.263941079,-0.023114508,0.281240255,0.296630025,-0.030625859,0.28626734,0.318679214,-0.031108247,0.273451328,0.277144969,-0.007023395,0.261833727,0.26767841,-0.02554113,0.267427087,0.294655859,-0.029040568,0.275501132,0.315378487,-0.025525838,0.258355379,0.284587383,-0.010577093,0.247232854,0.254261166,-0.019076249,0.237359971,0.236848041,-0.019862538,0.229510218,0.221226633,-0.017659638
Y,0.535184681,0.264688849,-0.426165253,0.560038388,0.223462716,-0.39749518,0.575225949,0.223097265,-0.397722334,0.586847246,0.223886624,-0.397868782,0.513152897,0.228462279,-0.372920364,0.499599367,0.231705904,-0.372864634,0.490459681,0.235478222,-0.373496771,0.615127385,0.248496398,-0.203268379,0.486847579,0.257082939,-0.078200191,0.570689797,0.315417111,-0.355634868,0.509954035,0.320111573,-0.322726429,0.727262914,0.515784502,-0.181817442,0.403056443,0.493962705,0.113000616,0.762544394,0.839304507,-0.299428731,0.210042283,0.701065719,-0.2825073,0.72337383,1.059927702,-0.495061159,0.291821212,0.396845281,-0.890633702,0.711936474,1.140296817,-0.553338587,0.289257944,0.310009599,-0.985468209,0.681548595,1.106472611,-0.53185159,0.308589518,0.307569027,-0.903638065,0.674005926,1.079008818,-0.490855992,0.32150054,0.341219604,-0.87639606,0.64611125,1.066896796,-0.114621863,0.433757484,0.967374086,0.116312072,0.624842882,1.473167777,-0.206948191,0.43111974,1.467924953,0.381691068,0.625859559,1.86279273,0.087054856,0.431765854,1.852008939,0.731773436,0.63807869,1.921932817,0.096019365,0.432168573,1.909559727,0.759973466,0.583952487,1.991133809,-0.27213344,0.434009939,1.986449718,0.422855943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287742645,0.378005594,-3.23E-07,0.314785361,0.358473331,-0.014593302,0.335400403,0.322090387,-0.020359369,0.35026893,0.290428758,-0.026355628,0.365939975,0.269580781,-0.030516392,0.312491983,0.280055374,-0.009682148,0.297947556,0.269575238,-0.026683396,0.293357015,0.301011354,-0.035403188,0.296703428,0.324139178,-0.037112944,0.291113168,0.280223012,-0.008325863,0.278915852,0.276824236,-0.028138297,0.280752182,0.311265081,-0.034510691,0.286792815,0.333218455,-0.034165338,0.272529393,0.285840124,-0.009771617,0.260104686,0.279271811,-0.029560706,0.266049206,0.308397084,-0.032857735,0.275070369,0.329378873,-0.029221023,0.256272614,0.293928087,-0.012169117,0.242875174,0.266362041,-0.022045555,0.230803996,0.250948787,-0.023857877,0.221114129,0.236310363,-0.022360491
Y,0.536364079,0.261120021,-0.446776479,0.559427857,0.219220102,-0.42289263,0.575427175,0.219639063,-0.42290014,0.586836934,0.220374644,-0.422942102,0.512853146,0.223497257,-0.399357975,0.500246346,0.226755276,-0.399125308,0.491542101,0.229923546,-0.399651796,0.614770532,0.247522175,-0.222778127,0.485214055,0.25693655,-0.100742504,0.574313462,0.312236786,-0.371812433,0.512308836,0.317868531,-0.338823855,0.725968301,0.50495398,-0.156100854,0.404927433,0.485042393,0.066117935,0.750822902,0.830782175,-0.244820118,0.21507287,0.67449975,-0.303742647,0.711263895,1.044139028,-0.43467015,0.291383743,0.402546346,-0.900270283,0.700870216,1.125252247,-0.490778267,0.297065079,0.320594132,-1.004029036,0.672624946,1.096363187,-0.479057729,0.314718574,0.315268785,-0.935595214,0.665170312,1.068472385,-0.43552199,0.323266983,0.343922317,-0.890827954,0.640813828,1.018349886,-0.087920122,0.427361667,0.974670529,0.090240031,0.612087905,1.471373439,-0.184322625,0.413889319,1.454140306,0.293109328,0.596779525,1.86905539,0.101654567,0.396440387,1.851912975,0.621614635,0.604329407,1.924786091,0.108247831,0.392696232,1.909971356,0.647138953,0.553558111,2.00236845,-0.283197969,0.401761353,1.990888357,0.27588743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288501561,0.378149033,-3.18E-07,0.315291762,0.357999921,-0.015519596,0.335406512,0.322681427,-0.022388997,0.349467248,0.291436672,-0.029220346,0.365168452,0.270633698,-0.034163211,0.311523259,0.279738933,-0.012297343,0.296943635,0.272507548,-0.029663056,0.292812437,0.302763164,-0.038908426,0.294994533,0.326988429,-0.040979438,0.290018678,0.280306995,-0.010422137,0.278774619,0.281443506,-0.029811567,0.281238943,0.314297885,-0.036423318,0.286987543,0.335651964,-0.036633302,0.271679759,0.286912143,-0.011239384,0.259948075,0.282485813,-0.030433428,0.266387403,0.309202433,-0.033855323,0.275819302,0.329600066,-0.030633057,0.255652577,0.296502113,-0.013100678,0.242776871,0.269173622,-0.023159781,0.230229452,0.253929466,-0.025239645,0.219890565,0.240282178,-0.023921059
