class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75
Z,0.50636065,0.286842704,-0.454889864,0.529685616,0.24369587,-0.430405706,0.544437349,0.242968217,-0.430476248,0.55757159,0.242643014,-0.430856049,0.483587444,0.247352943,-0.411632359,0.469781965,0.249205172,-0.411778539,0.459140003,0.251928866,-0.412044197,0.586322248,0.26235503,-0.245173126,0.452031851,0.275200844,-0.148980692,0.536663115,0.336712658,-0.380701512,0.480809987,0.340714455,-0.35386461,0.702168286,0.485149443,-0.183251694,0.394588381,0.484806001,0.015995026,0.757567883,0.834404886,-0.222000122,0.260515779,0.836915076,-0.21112594,0.653998673,0.963407695,-0.370957524,0.299804866,0.485065341,-0.678878665,0.642062724,1.064108372,-0.394502848,0.275314957,0.395433843,-0.748648584,0.610628128,1.02610743,-0.38616997,0.292364299,0.375218272,-0.692947268,0.598710954,0.966795146,-0.362878472,0.314084202,0.411257386,-0.664793909,0.635169566,0.971675277,-0.077006206,0.441922575,0.956882298,0.07670299,0.62175858,0.950100541,-0.649604321,0.286322832,1.159047008,-0.279100895,0.588068902,1.420330644,-0.298119634,0.386811942,1.437267065,0.039948169,0.596164763,1.481556654,-0.264169395,0.420680285,1.470393896,0.074122541,0.570435941,1.588485003,-0.415696144,0.341347456,1.561852694,-0.079553999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295680463,0.4630799,6.40E-09,0.318442792,0.426623136,-0.014583158,0.321124464,0.382027328,-0.021551905,0.304206997,0.349978268,-0.028643623,0.282980978,0.33971718,-0.035614636,0.293557882,0.339147031,-0.012316686,0.275043339,0.289180249,-0.025796445,0.261539519,0.260612667,-0.033657677,0.250429988,0.237377942,-0.03855031,0.274391741,0.358574241,-0.012778974,0.265603513,0.336861074,-0.038729392,0.281234145,0.369664788,-0.045514133,0.295129001,0.397510856,-0.043201629,0.259331107,0.380409777,-0.014828676,0.255737156,0.372043073,-0.039387137,0.273724675,0.401484609,-0.037285116,0.286207825,0.423368514,-0.028527722,0.246254057,0.403997898,-0.01812106,0.245244831,0.396311462,-0.03370465,0.26114133,0.415670931,-0.030952062,0.272365779,0.430492938,-0.024316143
Z,0.5036183,0.28547442,-0.317745835,0.526521206,0.242292538,-0.295799881,0.541380286,0.241316617,-0.295889258,0.554539979,0.24102211,-0.296203405,0.480553061,0.247400463,-0.279123336,0.466976166,0.249696434,-0.279177219,0.455626309,0.252755105,-0.279557556,0.583609581,0.261196077,-0.126938924,0.448347986,0.275879264,-0.039277785,0.537136495,0.333624184,-0.249730632,0.479465485,0.338616639,-0.225276977,0.697132707,0.486694515,-0.074106283,0.383755863,0.490311623,0.103359006,0.721587062,0.83419776,-0.146090761,0.255180299,0.844809532,-0.124829054,0.635100543,0.992578268,-0.323732704,0.293024957,0.495143056,-0.557436347,0.624249995,1.076671481,-0.357094675,0.270801306,0.405109137,-0.632080078,0.577526391,1.023272872,-0.344539046,0.285896301,0.380527794,-0.578142345,0.575770438,0.99002111,-0.317237496,0.306472749,0.412527621,-0.544578135,0.621987998,0.985491037,-0.077850722,0.421002477,0.977915883,0.078045964,0.627210438,1.030252934,-0.484580815,0.303318679,1.243287444,-0.238179207,0.60478133,1.646884203,-0.197500974,0.416813433,1.706507802,-0.058409117,0.612054527,1.716140509,-0.180332705,0.452678442,1.746518612,-0.045480959,0.586304128,1.810702205,-0.424149692,0.396681726,1.909697413,-0.275796056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290344834,0.465884984,-5.63E-09,0.311888367,0.428104311,-0.013824102,0.315725207,0.381126434,-0.02019632,0.299613744,0.350705206,-0.026827656,0.278867036,0.340857625,-0.033375628,0.286993146,0.338932455,-0.011257787,0.268337667,0.289374679,-0.024665635,0.254603326,0.260994077,-0.032472994,0.242967293,0.238567904,-0.037378989,0.268495023,0.358973473,-0.012428765,0.258228451,0.335248083,-0.03817825,0.274044275,0.367260098,-0.045302436,0.288433373,0.39476648,-0.043158475,0.253830791,0.381800085,-0.015145804,0.249754056,0.371731639,-0.040138595,0.26886791,0.401788831,-0.038346231,0.281654507,0.423689067,-0.029589875,0.241160825,0.406534582,-0.018984551,0.240665212,0.397611439,-0.035179622,0.257245421,0.417698294,-0.032434031,0.268724889,0.432904661,-0.025621705
Z,0.50327301,0.287261128,-0.304392159,0.525061548,0.245242417,-0.282797605,0.539974272,0.244466916,-0.282921135,0.553191543,0.2444942,-0.283222765,0.480797529,0.249011859,-0.267289311,0.467736781,0.251092732,-0.267398864,0.455921888,0.25378722,-0.267861545,0.580266058,0.26567775,-0.109372392,0.448154062,0.276756108,-0.028759386,0.536055326,0.333928704,-0.233810037,0.48069033,0.33770752,-0.211491674,0.695215523,0.478655159,-0.043354005,0.384698212,0.48853153,0.111764178,0.721346259,0.816963196,-0.115851738,0.260236353,0.843907595,-0.129090711,0.647363722,0.969634473,-0.2983917,0.29483515,0.491998941,-0.588841319,0.635323882,1.062698722,-0.326905072,0.271947235,0.404262722,-0.66981554,0.609367609,1.028879285,-0.318067789,0.285805345,0.381365895,-0.613919675,0.603138387,0.980017066,-0.294529349,0.307401299,0.414919436,-0.576589942,0.618317068,0.977522135,-0.071625762,0.425952733,0.973715603,0.071894921,0.623550534,1.036620617,-0.4052082,0.318968952,1.2622931,-0.270613164,0.589878857,1.665300965,-0.129724413,0.421195686,1.725573063,-0.113672331,0.598977506,1.735354304,-0.114273742,0.45203504,1.763682961,-0.10329783,0.561760902,1.823075771,-0.364816457,0.413736045,1.926353693,-0.349948734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29096809,0.463173598,8.98E-09,0.312553376,0.426235169,-0.014094484,0.314524859,0.380607545,-0.020680148,0.297186375,0.350114316,-0.027556244,0.276653558,0.341753453,-0.034392942,0.28575179,0.340040833,-0.011339276,0.266669244,0.290780008,-0.025099084,0.252326638,0.26268214,-0.033286322,0.240282282,0.240065813,-0.038418353,0.267313302,0.360387802,-0.012394454,0.258472502,0.33711952,-0.039164707,0.274879783,0.370128453,-0.046460789,0.289275825,0.39845705,-0.044138584,0.252953112,0.383087367,-0.015040288,0.250456303,0.371036142,-0.040801436,0.269141376,0.401931584,-0.038608696,0.281396002,0.425134361,-0.029234918,0.240279377,0.407671601,-0.018815057,0.240674675,0.39623791,-0.035382234,0.256797165,0.416264474,-0.032280918,0.267485321,0.431998223,-0.02503131
Z,0.499829382,0.289512992,-0.294999272,0.522147119,0.246117726,-0.275743157,0.537552953,0.244704425,-0.275866359,0.550665319,0.243903697,-0.276262909,0.476742417,0.251016438,-0.258255124,0.463338703,0.253041387,-0.258265048,0.453544438,0.255434453,-0.258683473,0.581746459,0.264767408,-0.116117753,0.447730005,0.279688656,-0.023482358,0.535091043,0.335236192,-0.229641959,0.477286875,0.342586517,-0.203410953,0.700488329,0.48599577,-0.04927982,0.38529402,0.496021539,0.097511336,0.726636469,0.822491229,-0.132023558,0.255203724,0.843255758,-0.159856111,0.664710641,0.971348703,-0.328566939,0.299840778,0.503310323,-0.62939322,0.654871583,1.064380288,-0.364328861,0.277966857,0.418643773,-0.707029164,0.612830997,1.012142301,-0.356316864,0.293476999,0.385804057,-0.658878982,0.612446308,0.981057405,-0.324924618,0.311870277,0.419748425,-0.617467582,0.624151051,0.981243312,-0.059189212,0.422298342,0.980429828,0.059491228,0.636907697,0.98161751,-0.474998087,0.322349608,1.235345006,-0.226679757,0.578086913,1.602120638,-0.17357187,0.417162955,1.686653852,-0.052621804,0.579296052,1.668095231,-0.154480904,0.446155131,1.725584745,-0.039829466,0.555718064,1.777698636,-0.380696177,0.407825053,1.890382886,-0.267180175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302898735,0.492862165,1.85E-08,0.323230296,0.451151311,-0.01229027,0.330223978,0.413869858,-0.022489281,0.317320764,0.40318805,-0.03391391,0.29742837,0.405212909,-0.045306079,0.299728304,0.357879549,-0.016064081,0.28200078,0.305075645,-0.031191865,0.269365519,0.273889035,-0.041731074,0.257814556,0.248338521,-0.049140591,0.277161032,0.373314947,-0.019024944,0.275061965,0.366437405,-0.04154535,0.291513205,0.401328593,-0.048265021,0.302984774,0.425210327,-0.04861559,0.259688556,0.39475289,-0.023289528,0.261418879,0.394194901,-0.041278582,0.278464139,0.420734882,-0.037843943,0.288975984,0.43641293,-0.03159732,0.245291114,0.419048518,-0.029237516,0.25107643,0.419846267,-0.038713619,0.266268671,0.435828298,-0.033915035,0.276651621,0.444735676,-0.027831618
Z,0.503103971,0.28757292,-0.308455616,0.524887741,0.242758453,-0.29276672,0.540215731,0.241095781,-0.292881012,0.552703679,0.239720404,-0.293230563,0.481284529,0.249004841,-0.270968169,0.46860981,0.250916243,-0.270972133,0.45999679,0.252731204,-0.271404386,0.584340632,0.259010315,-0.143922374,0.455585182,0.277127624,-0.031549372,0.537890732,0.334484935,-0.247268274,0.484096855,0.340850055,-0.215717703,0.701886356,0.48103857,-0.089215569,0.396514684,0.492909789,0.087871708,0.725870192,0.824562967,-0.171321213,0.284039795,0.845421255,-0.156074971,0.663834929,0.977802634,-0.351538986,0.315767854,0.533100009,-0.635368168,0.643043399,1.068415284,-0.386221826,0.300355464,0.462431848,-0.715158999,0.613487005,1.031334162,-0.373294592,0.319511175,0.426436067,-0.6711604,0.610830843,0.979654193,-0.344184726,0.334325016,0.452366412,-0.62552774,0.627388418,0.983204305,-0.068100043,0.434668601,0.965785444,0.068261467,0.627875328,1.028969646,-0.414808929,0.327284962,1.295171022,-0.112955227,0.604190171,1.61719346,-0.090354219,0.416172564,1.700388551,0.096046813,0.609751701,1.674064398,-0.067936465,0.446026653,1.734790564,0.111666583,0.587170005,1.791581392,-0.285710335,0.404115766,1.884708881,-0.111509845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332410753,0.51607275,-6.16E-08,0.351541221,0.48368153,-0.010921386,0.359358341,0.444600195,-0.019242434,0.346158594,0.426059097,-0.028012559,0.325824827,0.423323542,-0.036809675,0.3259615,0.390078574,-0.019451762,0.30905956,0.346832603,-0.03357828,0.295376241,0.31621322,-0.042488802,0.284599483,0.291249335,-0.04826818,0.299584717,0.398218095,-0.021101275,0.311947733,0.422458202,-0.043603711,0.327179551,0.456457347,-0.04784511,0.339770526,0.480975449,-0.04570654,0.281363606,0.4185718,-0.023363063,0.297025084,0.451438189,-0.039787792,0.31116128,0.475815684,-0.034361437,0.322318792,0.491585612,-0.026589237,0.267626226,0.443868041,-0.027421789,0.280970514,0.468489915,-0.035280596,0.295154482,0.485951692,-0.02999681,0.304816842,0.494490206,-0.022864746
Z,0.497287661,0.294979364,-0.359296024,0.521405637,0.246949539,-0.338208318,0.537010491,0.244466007,-0.338284791,0.549882531,0.242495358,-0.338659555,0.472274721,0.256399989,-0.318404466,0.460142076,0.258942664,-0.318414539,0.452039301,0.261135697,-0.318690628,0.580804884,0.263382256,-0.180776969,0.447674841,0.288746893,-0.077179521,0.533290863,0.342085183,-0.296685725,0.475696146,0.349710464,-0.267178953,0.695892334,0.480084419,-0.11647813,0.39687863,0.503406882,0.039126497,0.729710817,0.811245799,-0.148205966,0.292374641,0.864379108,-0.191676721,0.660239697,0.972653508,-0.287414432,0.301099598,0.531799197,-0.654740036,0.660590231,1.057972074,-0.306462049,0.278741777,0.464974999,-0.719236732,0.629840195,1.025573015,-0.294282079,0.295831561,0.419589639,-0.669331074,0.619255066,1.004317403,-0.278738827,0.312971056,0.442441344,-0.641981721,0.634123087,0.967592597,-0.048772819,0.443609089,0.948828101,0.04882459,0.660493791,0.966318011,-0.592579603,0.304651707,1.208372116,-0.241024882,0.595964193,1.389734268,-0.205641702,0.423152059,1.469817042,0.053445626,0.592863798,1.433187962,-0.170110136,0.456865966,1.489894629,0.082965568,0.586726069,1.558281183,-0.318979472,0.411019474,1.618902922,-0.073380962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319122851,0.504472613,-3.18E-08,0.337631404,0.46941337,-0.013414849,0.342443109,0.424638838,-0.021532064,0.325381994,0.401001602,-0.029583212,0.301910907,0.399007171,-0.037581131,0.305392653,0.37812227,-0.020075927,0.28588286,0.33580029,-0.035171859,0.26983887,0.307764471,-0.044319533,0.255999357,0.284582973,-0.050210953,0.281328499,0.390473515,-0.020807846,0.288877964,0.406172395,-0.045760203,0.306968004,0.438788027,-0.050694007,0.321601987,0.461992592,-0.048313368,0.264435321,0.412670642,-0.022509787,0.276441783,0.437072515,-0.042662282,0.294776142,0.461606503,-0.038226552,0.308738381,0.477382988,-0.029943431,0.251407176,0.438730359,-0.02598704,0.26280725,0.458539099,-0.037453253,0.279668301,0.47525239,-0.03381595,0.291533738,0.483273119,-0.027213572
Z,0.497165769,0.295054257,-0.327926427,0.519481838,0.24743396,-0.313149095,0.53551805,0.244890213,-0.313306063,0.547408044,0.243288383,-0.3136608,0.472557127,0.257328331,-0.290662378,0.460386842,0.260207653,-0.290765643,0.451759815,0.262875795,-0.291251808,0.578894556,0.263690531,-0.169114739,0.446540684,0.288978308,-0.052598588,0.533653319,0.341494828,-0.269360721,0.475667477,0.350277215,-0.236864284,0.696411848,0.487087131,-0.121423818,0.395847559,0.500756562,0.075086519,0.717304111,0.835180819,-0.197398528,0.296049058,0.859979391,-0.162380025,0.643149495,0.985012472,-0.337073416,0.309396744,0.532546997,-0.631668866,0.62815398,1.085585356,-0.361326456,0.284471631,0.463151932,-0.707340479,0.602446973,1.052635789,-0.34828797,0.303532749,0.421723306,-0.656881571,0.58630985,0.983990014,-0.328943968,0.32146132,0.448013783,-0.620613396,0.630529821,0.971794546,-0.064763039,0.438403934,0.953897417,0.064897336,0.596663177,1.213285923,-0.334623873,0.351261497,1.321927428,-0.048733383,0.590843856,1.644737363,-0.003477958,0.425656468,1.712028265,0.177675486,0.595656693,1.692775488,0.019940237,0.450466782,1.74751389,0.192848668,0.56785363,1.81437242,-0.210566908,0.419987261,1.882141471,-0.044368301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321932435,0.50332582,3.89E-09,0.339825064,0.471779764,-0.011785661,0.344219774,0.429037184,-0.019376904,0.329915226,0.405050457,-0.027194282,0.308762074,0.401000202,-0.034935214,0.30776462,0.378013819,-0.018245295,0.288832128,0.337386906,-0.03317989,0.273493081,0.30855459,-0.042637631,0.261098564,0.285139918,-0.048773415,0.28415224,0.389641523,-0.019647626,0.294190526,0.406711787,-0.043607756,0.311235875,0.438551724,-0.048367683,0.324612617,0.46051085,-0.046368875,0.267534882,0.412068903,-0.02202834,0.281555086,0.436354339,-0.042040933,0.299105614,0.461239547,-0.037695821,0.312467664,0.477350622,-0.029684717,0.254869998,0.438326418,-0.026061032,0.267427832,0.456264734,-0.038092569,0.284445941,0.473828077,-0.034568962,0.296360433,0.482698232,-0.028066125
Z,0.498213768,0.296008229,-0.355727166,0.523501754,0.249355316,-0.333593875,0.539230108,0.247112691,-0.333693326,0.55237025,0.245797813,-0.334015459,0.473818779,0.256109357,-0.31581527,0.461525857,0.258151114,-0.315843046,0.452754259,0.260165691,-0.316136301,0.583754241,0.265021741,-0.172207847,0.447838008,0.28449446,-0.080303214,0.534227431,0.345279992,-0.292106986,0.477860063,0.353003234,-0.265824258,0.69467628,0.478402197,-0.110440001,0.394579411,0.494895756,0.029436599,0.736048937,0.796186566,-0.163201988,0.288007021,0.862267494,-0.201319009,0.667488039,0.974983156,-0.341229945,0.298949271,0.526954353,-0.648196697,0.664763987,1.064417601,-0.368384808,0.2803666,0.460087955,-0.713068783,0.631052494,1.030029655,-0.362493634,0.300298005,0.422478795,-0.665129244,0.613364518,0.979012072,-0.335974067,0.315944761,0.443694115,-0.635484576,0.635079265,0.962332606,-0.040514104,0.444299519,0.950726628,0.040526897,0.66166997,0.978449404,-0.49213782,0.298734099,1.188948274,-0.360578626,0.631935716,1.42074728,-0.157689556,0.434411198,1.481598973,-0.108189441,0.628460169,1.472530723,-0.130926415,0.470090806,1.501933336,-0.083844177,0.635292768,1.566119075,-0.301192492,0.432713121,1.638036013,-0.257140547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318102747,0.506309569,-8.56E-09,0.336632431,0.474037081,-0.013664339,0.341299534,0.431084126,-0.022001194,0.325717181,0.406673133,-0.030179409,0.303519398,0.402909338,-0.038273584,0.305385768,0.380535096,-0.01980634,0.28616482,0.338874698,-0.034944091,0.270010978,0.310259879,-0.044379655,0.25659579,0.286596298,-0.050485596,0.281862855,0.392323524,-0.020344516,0.288610637,0.407447278,-0.045094807,0.305927098,0.439086497,-0.050298911,0.320462525,0.462081611,-0.048244812,0.264950722,0.414129138,-0.021932019,0.276818305,0.439566642,-0.042378694,0.294918746,0.464724869,-0.038180429,0.308762729,0.481907099,-0.030021492,0.25187996,0.440235168,-0.025301773,0.263110191,0.459642619,-0.037382964,0.279796779,0.477712691,-0.034007601,0.291570872,0.48741886,-0.027510641
Z,0.490732431,0.304569125,-0.317677051,0.513853967,0.255667746,-0.303356022,0.531291425,0.253061771,-0.303475887,0.544166684,0.251273096,-0.303853542,0.467452228,0.262942135,-0.280112058,0.456503153,0.265397131,-0.280233204,0.44749704,0.267872632,-0.28067103,0.576942861,0.270576775,-0.157960802,0.444456875,0.293044686,-0.038651492,0.528337538,0.349502683,-0.258087069,0.471358478,0.356930554,-0.224695683,0.696740627,0.488689601,-0.106421627,0.394354522,0.507550716,0.093877777,0.722098947,0.825228274,-0.173938826,0.291416466,0.864556372,-0.145242333,0.655266881,0.967338681,-0.298079014,0.304777026,0.534908295,-0.605039597,0.642732382,1.052091599,-0.317162365,0.283052295,0.469108224,-0.676186502,0.605830848,0.996674418,-0.300819635,0.300741673,0.424619198,-0.620859206,0.605316043,0.968732595,-0.287792563,0.316726565,0.448066354,-0.592026651,0.635099888,0.97780472,-0.079310589,0.443154484,0.966391027,0.079236068,0.633876383,1.01927793,-0.422445476,0.343830526,1.275928736,-0.113008916,0.608220875,1.583197355,-0.121823832,0.45704633,1.674706817,0.090502508,0.61889118,1.638844728,-0.099993773,0.491115272,1.706008554,0.106084205,0.5916242,1.759191513,-0.299171358,0.445938587,1.863072157,-0.102334879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320708334,0.505408645,-1.04E-08,0.338716179,0.473113,-0.013300498,0.342424899,0.431829333,-0.021562394,0.329697907,0.406895041,-0.029826673,0.309650838,0.401278883,-0.037981823,0.308407664,0.380819112,-0.01928558,0.288353324,0.339159369,-0.034648921,0.271977454,0.310085773,-0.044163335,0.258237839,0.286591113,-0.05020697,0.285247147,0.392906785,-0.019966614,0.290626824,0.40627107,-0.045420021,0.307938278,0.439597487,-0.05048161,0.322042018,0.463699996,-0.047897059,0.268183261,0.414600968,-0.021733828,0.278779984,0.439063042,-0.042456105,0.296507955,0.464660943,-0.037801839,0.310001791,0.481611639,-0.029025495,0.254969954,0.440471351,-0.025277797,0.265311241,0.459150791,-0.03717583,0.281522721,0.477440149,-0.033396855,0.293079108,0.486766994,-0.026490411
Z,0.486619771,0.307401597,-0.323056728,0.509678423,0.25854212,-0.304981112,0.527816117,0.254555404,-0.305103719,0.541224182,0.252219677,-0.305428952,0.462322056,0.269737661,-0.282222658,0.450538218,0.273350179,-0.28227821,0.439665258,0.277405322,-0.282657832,0.573515832,0.269807637,-0.156815022,0.437319428,0.30402416,-0.03872218,0.526971877,0.353725851,-0.263140678,0.467851639,0.364287019,-0.229828358,0.69702971,0.489289224,-0.110395625,0.394240081,0.505575478,0.089734972,0.735041976,0.833968937,-0.192658141,0.288539499,0.866918921,-0.142662346,0.657801747,0.970561981,-0.344641566,0.301508576,0.522694528,-0.603486359,0.637185216,1.054143667,-0.371791482,0.280818671,0.454936087,-0.673016489,0.60561657,1.016971946,-0.352013409,0.299806118,0.41822207,-0.624507368,0.602752507,0.967980802,-0.333063394,0.31573832,0.441289246,-0.592545509,0.634599447,0.97377795,-0.078052729,0.439379603,0.961513102,0.078272313,0.627854228,1.017954707,-0.384291053,0.339161217,1.272321463,-0.141347736,0.585466444,1.574516296,-0.022366561,0.440381944,1.655849218,0.071973436,0.591854572,1.628061295,0.003481662,0.47344321,1.686398625,0.088039726,0.566307783,1.7396034,-0.196441352,0.429100126,1.842305779,-0.124464773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317285717,0.505904078,-3.22E-08,0.335750341,0.471369147,-0.013575301,0.341772795,0.427592158,-0.021945857,0.32472226,0.405552417,-0.030139469,0.302608013,0.401996374,-0.038159642,0.304406941,0.380194783,-0.019599479,0.284520268,0.338203549,-0.034471795,0.268161088,0.310536683,-0.043557271,0.254365712,0.28793323,-0.049362905,0.280962169,0.392974019,-0.020259222,0.287826359,0.406167954,-0.044960987,0.305498749,0.43893075,-0.049963735,0.319868416,0.462341636,-0.047610484,0.264280647,0.415127128,-0.02190765,0.275706291,0.437111914,-0.042429332,0.293873668,0.46290046,-0.037889738,0.307420969,0.479590654,-0.029377734,0.250977129,0.441494912,-0.025227923,0.261566162,0.457220614,-0.036901422,0.278226256,0.475090563,-0.032738559,0.289613098,0.484375924,-0.025676362
