class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75
finally,0.4216216206550598,0.0796760842204094,0.2169666737318039,0.4328891634941101,0.06745851039886475,0.24318738281726837,0.43828684091567993,0.06814128905534744,0.24302253127098083,0.4435926079750061,0.06883365660905838,0.24287745356559753,0.4203398823738098,0.06613922119140625,0.25620752573013306,0.41706743836402893,0.06569308042526245,0.2561452388763428,0.413844496011734,0.06538325548171997,0.25586578249931335,0.4608730375766754,0.08426172286272049,0.34850043058395386,0.418417751789093,0.08005011081695557,0.40537136793136597,0.4344950318336487,0.10292458534240723,0.25126102566719055,0.41945260763168335,0.10161006450653076,0.26694896817207336,0.5076992511749268,0.14117366075515747,0.2734907865524292,0.39228159189224243,0.18686580657958984,0.35128068923950195,0.46842092275619507,0.17372465133666992,0.053820379078388214,0.38886672258377075,0.28917238116264343,0.11684073507785797,0.4024178385734558,0.09945661574602127,-0.024307681247591972,0.39551883935928345,0.2580244541168213,-0.12804251909255981,0.3872939348220825,0.08343250304460526,-0.05988994985818863,0.3958885073661804,0.24883681535720825,-0.1667921096086502,0.3891831636428833,0.09237277507781982,-0.041320595890283585,0.3919914662837982,0.24484893679618835,-0.1703469455242157,0.3989854156970978,0.09596388787031174,-0.01938353106379509,0.3964795768260956,0.2523857355117798,-0.13605228066444397,0.5544579029083252,0.47319740056991577,0.0019702573772519827,0.4532693922519684,0.48671573400497437,-0.0022670060861855745,0.6634950637817383,0.5345085859298706,-0.414248526096344,0.4276767671108246,0.5669631958007812,-0.4072037637233734,0.7252445220947266,0.7657741904258728,-0.40800684690475464,0.45613718032836914,0.5661760568618774,-0.26108404994010925,0.7196391224861145,0.8005277514457703,-0.41314858198165894,0.4594755172729492,0.5700135827064514,-0.2396502047777176,0.7713682651519775,0.8389415144920349,-0.5548002123832703,0.46749940514564514,0.5742266178131104,-0.3013564646244049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
finally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
finally,0.4667149484157562,0.30981332063674927,-0.8812747001647949,0.4875341057777405,0.26738786697387695,-0.8862484693527222,0.4988589286804199,0.26817643642425537,-0.8863027691841125,0.5101308226585388,0.26912716031074524,-0.886602520942688,0.46196937561035156,0.2637403607368469,-0.8750367164611816,0.45330992341041565,0.26174187660217285,-0.8752459287643433,0.44462281465530396,0.25990957021713257,-0.8755208253860474,0.5342667102813721,0.2841874361038208,-0.75586998462677,0.44346341490745544,0.27074840664863586,-0.7073931097984314,0.488839328289032,0.3478059768676758,-0.8197182416915894,0.4534032940864563,0.3430427312850952,-0.8060342073440552,0.6172860860824585,0.45310428738594055,-0.5700588822364807,0.37772196531295776,0.4127015769481659,-0.513815701007843,0.7328904867172241,0.6036643981933594,-0.7141778469085693,0.2571832835674286,0.5470901727676392,-0.6004782915115356,0.7079936861991882,0.5312106609344482,-1.0010896921157837,0.2005968540906906,0.5010128617286682,-0.8961942791938782,0.7032445669174194,0.5017738342285156,-1.0639996528625488,0.18102194368839264,0.4853391945362091,-0.9461280107498169,0.6982210874557495,0.4712557792663574,-1.0427563190460205,0.1904606819152832,0.46415475010871887,-0.9474868774414062,0.6883062720298767,0.4861580431461334,-0.996137261390686,0.20903833210468292,0.47805076837539673,-0.9030133485794067,0.5436386466026306,0.8109017014503479,-0.0251445472240448,0.4193926453590393,0.793566882610321,0.02518329583108425,0.5657707452774048,0.9178447723388672,0.36611253023147583,0.3864521086215973,0.9198479056358337,0.47552961111068726,0.5476595759391785,0.9880950450897217,1.1520007848739624,0.38278740644454956,0.9843838214874268,1.171861171722412,0.5463254451751709,0.9894367456436157,1.2273988723754883,0.3946560323238373,0.9926251173019409,1.2429004907608032,0.5253361463546753,1.0783436298370361,1.1370854377746582,0.3457622528076172,1.0611661672592163,1.136836051940918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
finally,0.4830764830112457,0.33993813395500183,-0.781348705291748,0.499921977519989,0.2973752021789551,-0.7794352769851685,0.5098608136177063,0.29753047227859497,-0.7796443700790405,0.5197857618331909,0.29784300923347473,-0.7800468802452087,0.47656598687171936,0.2963942885398865,-0.7733432054519653,0.4685327410697937,0.2956175208091736,-0.7736232876777649,0.4604964852333069,0.2949378788471222,-0.7740196585655212,0.5378265380859375,0.313468873500824,-0.6509715914726257,0.4567802846431732,0.30929508805274963,-0.6240792870521545,0.5018380284309387,0.37667378783226013,-0.7231297492980957,0.4699910283088684,0.37505608797073364,-0.7157366871833801,0.617865800857544,0.48911088705062866,-0.48522084951400757,0.3857131004333496,0.4498481750488281,-0.46282821893692017,0.7167649269104004,0.6738430857658386,-0.6594708561897278,0.2411021888256073,0.5847508907318115,-0.5333390235900879,0.7415048480033875,0.5274145603179932,-0.9432021975517273,0.18901680409908295,0.5127696990966797,-0.7239888906478882,0.7512650489807129,0.47289684414863586,-1.0031983852386475,0.17132484912872314,0.4790930449962616,-0.7545732259750366,0.7518091201782227,0.44640544056892395,-0.9775518178939819,0.17755858600139618,0.46126213669776917,-0.7563493251800537,0.7361435890197754,0.4703964293003082,-0.9398056268692017,0.19565549492835999,0.46965405344963074,-0.7294428944587708,0.5316178798675537,0.8610325455665588,-0.024901030585169792,0.4097476899623871,0.8367587327957153,0.02496989443898201,0.5548592805862427,0.9273465871810913,0.4535123407840729,0.3673470616340637,0.9154180884361267,0.5280183553695679,0.541218101978302,0.9897897243499756,1.159387230873108,0.3719829022884369,0.9740750789642334,1.1883487701416016,0.5419444441795349,0.9900109767913818,1.2279103994369507,0.3857499957084656,0.9742211699485779,1.2568739652633667,0.5213813781738281,1.067505121231079,1.13590669631958,0.33347493410110474,1.057982325553894,1.1528737545013428,0.751413881778717,0.5928300619125366,0.0,0.713699221611023,0.566409170627594,-0.03585798665881157,0.6953449249267578,0.4898775815963745,-0.05638127401471138,0.714904248714447,0.4305889308452606,-0.07392298430204391,0.7505999803543091,0.4144822657108307,-0.08849869668483734,0.7261448502540588,0.4170764684677124,-0.031198814511299133,0.7259718179702759,0.3367723226547241,-0.06662300229072571,0.7266294360160828,0.27955734729766846,-0.08801117539405823,0.7283081412315369,0.23593738675117493,-0.100574791431427,0.7636433243751526,0.4375530779361725,-0.028119442984461784,0.7634630799293518,0.3941228985786438,-0.06655708700418472,0.7446536421775818,0.4642103612422943,-0.06558806449174881,0.7467072010040283,0.48941266536712646,-0.054955676198005676,0.7917591333389282,0.4646799862384796,-0.03299610689282417,0.7934517860412598,0.4395381510257721,-0.07044437527656555,0.7685478329658508,0.49745360016822815,-0.05799145996570587,0.7677549719810486,0.517041802406311,-0.03969346731901169,0.817665696144104,0.4985397458076477,-0.04289494827389717,0.8176566362380981,0.4798726737499237,-0.06733807176351547,0.7964025139808655,0.5175251364707947,-0.06280199438333511,0.7950960397720337,0.5284860134124756,-0.05179703235626221,0.18495048582553864,0.5643956661224365,0.0,0.2067527174949646,0.5429146885871887,-0.023868614807724953,0.21274083852767944,0.4870432913303375,-0.03984704986214638,0.1915161907672882,0.4594162404537201,-0.05449249967932701,0.15817728638648987,0.4672080874443054,-0.06630022078752518,0.1728883534669876,0.43232962489128113,-0.026533138006925583,0.16776764392852783,0.40977901220321655,-0.04900386556982994,0.17542971670627594,0.43397271633148193,-0.05701454356312752,0.17891989648342133,0.45371711254119873,-0.05974536016583443,0.14382483065128326,0.4528839588165283,-0.025973951444029808,0.1439637690782547,0.4479866623878479,-0.05202873423695564,0.16813924908638,0.4930735230445862,-0.05037502199411392,0.17098894715309143,0.5018494725227356,-0.04347582161426544,0.12107308954000473,0.48190122842788696,-0.029795555397868156,0.12110073864459991,0.47711265087127686,-0.05253902077674866,0.14751195907592773,0.5137477517127991,-0.043690383434295654,0.1535056084394455,0.5247825384140015,-0.03335411474108696,0.10227120667695999,0.5157502293586731,-0.03654705360531807,0.1051577627658844,0.5060437321662903,-0.04799080267548561,0.12627431750297546,0.5291315317153931,-0.04303210601210594,0.13166174292564392,0.5388209819793701,-0.036234885454177856
finally,0.5433924794197083,0.4010370969772339,0.40185269713401794,0.5430717468261719,0.40006834268569946,0.39992523193359375,0.5443239808082581,0.3974384665489197,0.3998804986476898,0.5454602241516113,0.3948805630207062,0.3998503088951111,0.5393147468566895,0.40397244691848755,0.40311917662620544,0.538697361946106,0.40438592433929443,0.40325355529785156,0.5382521152496338,0.4048425555229187,0.40318936109542847,0.5522918105125427,0.3806110620498657,0.38318437337875366,0.5378291010856628,0.39168480038642883,0.40255147218704224,0.5452057123184204,0.39208734035491943,0.39825230836868286,0.5431572198867798,0.39666956663131714,0.40294164419174194,0.556934654712677,0.3293163478374481,0.24514710903167725,0.554351806640625,0.3799711763858795,0.36193495988845825,0.5167744159698486,0.2713034451007843,0.2021367847919464,0.5109030604362488,0.35839584469795227,0.2620621919631958,0.5144019722938538,0.2654556632041931,0.17230002582073212,0.5236285924911499,0.31161007285118103,0.10989687591791153,0.5175813436508179,0.24875470995903015,0.13512055575847626,0.5328168272972107,0.2909328043460846,0.10164878517389297,0.5141987800598145,0.25853657722473145,0.16088765859603882,0.5315667986869812,0.2853792607784271,0.08920980244874954,0.5120474696159363,0.266107439994812,0.18041692674160004,0.52912437915802,0.29015761613845825,0.10301635414361954,0.49877113103866577,0.5072337985038757,-0.03748486936092377,0.5032102465629578,0.5465199947357178,0.036564335227012634,0.5469982624053955,0.5352684855461121,-0.0025593817699700594,0.5016367435455322,0.5487006306648254,0.050953514873981476,0.548137903213501,0.4223077893257141,0.2193712741136551,0.5210068821907043,0.42065107822418213,0.2537095248699188,0.5399102568626404,0.41772836446762085,0.2495754063129425,0.516453206539154,0.41371604800224304,0.2861940562725067,0.5724151134490967,0.35896673798561096,0.32253915071487427,0.5383685231208801,0.35724321007728577,0.3941655457019806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
finally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
finally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
finally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
finally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
finally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
